sample_id,geometry_id,split,fem_path,mat_path,match_status,match_score,air_fraction,iron_fraction,copper_fraction,radial_transition_rate,angular_transition_rate,t_min,target_j,nr,nt,bit_count,penalty_coef,base_fem_file,material_codes,topology_id,feature_group_id
SAMPLE_0019,GEOM_0004,train,IA_test/0103 groupB/best_J0.110898_20260103_164233.fem,IA_test/0103 groupB/best_result_20260103_164233.mat,probable,77.0,0.15,0.5833333333333334,0.26666666666666666,0.27058823529411763,0.5123456790123457,0.8,0.11089760421375137,18,10,180,10.0,blank_18x10.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_b7b2e1f15db4,FEAT_5c9c8442d191
SAMPLE_0020,GEOM_0017,train,IA_test/0104 groupA/best_J0.0994011_20260105_081953.fem,IA_test/0104 groupA/best_result_20260105_081953.mat,probable,77.0,0.16666666666666666,0.5611111111111111,0.2722222222222222,0.29411764705882354,0.5185185185185185,0.8,0.09940107958560766,18,10,180,10.0,blank_18x10.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_64edc9a694d7,FEAT_7d02fbfccc8b
SAMPLE_0021,GEOM_0018,train,IA_test/0104 groupB/best_J0.106306_20260104_150857.fem,IA_test/0104 groupB/best_result_20260104_150857.mat,probable,77.0,0.14444444444444443,0.5777777777777777,0.2777777777777778,0.2823529411764706,0.5123456790123457,0.8,0.10630619197286789,18,10,180,10.0,blank_18x10.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_0de027b3bb9f,FEAT_17467ea97e92
SAMPLE_0022,GEOM_0019,validation,IA_test/0107 groupA2/best_J0.082148_20260107_145512.fem,IA_test/0107 groupA2/best_result_20260107_145512.mat,probable,77.0,0.17222222222222222,0.5555555555555556,0.2722222222222222,0.3,0.5308641975308642,0.8,0.08214802531200001,18,10,180,10.0,blank_18x10.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_c352c68b7161,FEAT_068bc2ce67ca
SAMPLE_0144,GEOM_0114,validation,IA_test/1225/best_J0.177345_20251225_205238.fem,IA_test/1225/best_result_20251225_205238.mat,probable,77.0,0.13333333333333333,0.6,0.26666666666666666,0.525,0.6388888888888888,0.6,0.17734517056981053,9,5,45,10.0,blank_inset_9x5.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_038951ad00c8,FEAT_501f782e8c11
SAMPLE_0145,GEOM_0115,train,IA_test/1226/best_J0.234241_20251226_165530.fem,IA_test/1226/best_result_20251226_165530.mat,probable,77.0,0.044444444444444446,0.6444444444444445,0.3111111111111111,0.325,0.5555555555555556,0.6,0.23424090161836617,9,5,45,10.0,blank_inset_9x5.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_687c445efb2f,FEAT_f1141eaceded
SAMPLE_0146,GEOM_0116,train,IA_test/1227.1/best_J0.239788_20251227_151645.fem,IA_test/1227.1/best_result_20251227_151645.mat,probable,77.0,0.08888888888888889,0.6,0.3111111111111111,0.4,0.6388888888888888,0.6,0.239787507489866,9,5,45,10.0,blank_inset_9x5.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_ff0a1131979c,FEAT_8e7943c33bbc
SAMPLE_0147,GEOM_0117,train,IA_test/1227.2/best_J0.147733_20251228_001658.fem,IA_test/1227.2/best_result_20251228_001658.mat,probable,77.0,0.08888888888888889,0.6,0.3111111111111111,0.475,0.4722222222222222,0.6,0.14773264576270026,9,5,45,10.0,blank_inset_9x5.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_c53ac32ecb02,FEAT_48a2e50cd589
SAMPLE_0149,GEOM_0119,train,IA_test/1229/best_J0.238035_20251229_221434.fem,IA_test/1229/best_result_20251229_221434.mat,probable,77.0,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.475,0.6111111111111112,0.75,0.23803529774927382,9,5,45,10.0,blank_9x5.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_72199402ba5f,FEAT_fbe810621171
SAMPLE_0150,GEOM_0006,train,IA_test/1230.2/best_J0.157009_20251230_165105.fem,IA_test/1230.2/best_result_20251230_165105.mat,probable,77.0,0.37777777777777777,0.6,0.022222222222222223,0.575,0.6111111111111112,0.75,0.15700909785840056,9,5,45,10.0,blank_9x5.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_bedc2b851ed8,FEAT_494179d155df
SAMPLE_0151,GEOM_0005,train,IA_test/1230.3/best_J0.150072_20251230_212929.fem,IA_test/1230.3/best_result_20251230_212929.mat,probable,77.0,0.35555555555555557,0.6222222222222222,0.022222222222222223,0.5,0.5833333333333334,0.75,0.15007208259379337,9,5,45,10.0,blank_9x5.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_dd4bc241fd4f,FEAT_5ef29ec899e3
SAMPLE_0152,GEOM_0007,train,IA_test/1230/best_J0.166453_20251230_130901.fem,IA_test/1230/best_result_20251230_130901.mat,probable,77.0,0.24444444444444444,0.5333333333333333,0.2222222222222222,0.475,0.6666666666666666,0.75,0.1664533999260898,9,5,45,10.0,blank_9x5.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_489b6aca17f4,FEAT_4a3391cdb290
SAMPLE_0153,GEOM_0120,train,IA_test/1231/best_J0.145728_20251231_192359.fem,IA_test/1231/best_result_20251231_192359.mat,probable,77.0,0.37777777777777777,0.6,0.022222222222222223,0.475,0.6666666666666666,0.75,0.14572779136363614,9,5,45,10.0,blank_9x5.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_fa9ea8d3a09a,FEAT_4b0b54ee7322
SAMPLE_0154,GEOM_0003,validation,IA_test/best_J0.080216_20260110_195804.fem,IA_test/best_result_20260110_195804.mat,probable,77.0,0.17222222222222222,0.55,0.2777777777777778,0.31176470588235294,0.5432098765432098,0.8,0.08021601571920854,18,10,180,10.0,blank_18x10.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_c26537d1233c,FEAT_1ea88577ed57
SAMPLE_0155,GEOM_0003,validation,IA_test/best_J0.080216_20260111_184658.fem,IA_test/best_result_20260111_184658.mat,probable,77.0,0.17222222222222222,0.55,0.2777777777777778,0.31176470588235294,0.5432098765432098,0.8,0.08021601571920854,18,10,180,10.0,blank_18x10.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_c26537d1233c,FEAT_1ea88577ed57
SAMPLE_0156,GEOM_0019,validation,IA_test/best_J0.082148_20260108_181234.fem,IA_test/best_result_20260108_181234.mat,probable,77.0,0.17222222222222222,0.5555555555555556,0.2722222222222222,0.3,0.5308641975308642,0.8,0.08214802531200001,18,10,180,10.0,blank_18x10.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_c352c68b7161,FEAT_068bc2ce67ca
SAMPLE_0157,GEOM_0019,validation,IA_test/best_J0.082148_20260108_231323.fem,IA_test/best_result_20260108_231323.mat,probable,77.0,0.17222222222222222,0.5555555555555556,0.2722222222222222,0.3,0.5308641975308642,0.8,0.08214802531200001,18,10,180,10.0,blank_18x10.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_c352c68b7161,FEAT_068bc2ce67ca
SAMPLE_0158,GEOM_0018,train,IA_test/best_J0.106306_20260105_193139.fem,IA_test/best_result_20260105_193139.mat,probable,77.0,0.14444444444444443,0.5777777777777777,0.2777777777777778,0.2823529411764706,0.5123456790123457,0.8,0.10630619197286789,18,10,180,10.0,blank_18x10.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_0de027b3bb9f,FEAT_17467ea97e92
SAMPLE_0159,GEOM_0018,train,IA_test/best_J0.106306_20260106_151138.fem,IA_test/best_result_20260106_151138.mat,probable,77.0,0.14444444444444443,0.5777777777777777,0.2777777777777778,0.2823529411764706,0.5123456790123457,0.8,0.10630619197286789,18,10,180,10.0,blank_18x10.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_0de027b3bb9f,FEAT_17467ea97e92
SAMPLE_0160,GEOM_0018,train,IA_test/best_J0.106306_20260106_224059.fem,IA_test/best_result_20260106_224059.mat,probable,77.0,0.14444444444444443,0.5777777777777777,0.2777777777777778,0.2823529411764706,0.5123456790123457,0.8,0.10630619197286789,18,10,180,10.0,blank_18x10.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_0de027b3bb9f,FEAT_17467ea97e92
SAMPLE_0165,GEOM_0018,train,IA_test/无优化组/best_J0.106306_20260105_011544.fem,IA_test/无优化组/best_result_20260105_011544.mat,probable,77.0,0.14444444444444443,0.5777777777777777,0.2777777777777778,0.2823529411764706,0.5123456790123457,0.8,0.10630619197286789,18,10,180,10.0,blank_18x10.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_0de027b3bb9f,FEAT_17467ea97e92
