sample_id,topology_id,split,fem_path,mat_path,match_status,match_score,t_min,target_j,penalty_coef,base_fem_file,encoding,node_count,face_count,assigned_face_count,ambiguous_face_count,bbox,channel_names,duplicate_run_count,duplicate_sample_ids
SAMPLE_0147,FEMRASTER_088f17063f8f,train,IA_test/1227.2/best_J0.147733_20251228_001658.fem,IA_test/1227.2/best_result_20251228_001658.mat,probable,77.0,0.6,0.14773264576270026,10.0,blank_inset_9x5.fem,utf-8-sig,1499,553,552,0,"[0.0, 0.0, 74.0, 74.0]","['Background', 'Air', 'Iron', 'Copper', 'Magnet']",2,SAMPLE_0147|SAMPLE_0195
SAMPLE_0204,FEMRASTER_0d97208621f0,train,IA_test_groupA/best_J0.113614_20260103_045247.fem,IA_test_groupA/best_result_20260103_045247.mat,probable,73.0,0.8,0.11361423432165038,10.0,blank_18x10.fem,utf-8-sig,1628,292,292,2,"[0.0, 0.0, 74.0, 74.0]","['Background', 'Air', 'Iron', 'Copper', 'Magnet']",1,SAMPLE_0204
SAMPLE_0196,FEMRASTER_17ed75775c09,validation,IA_test_groupA/1228/best_J0.222504_20251229_005752.fem,IA_test_groupA/best_result_20251229_005752.mat,probable,70.0,0.75,0.22250448599492711,10.0,blank_inset_9x5.fem,utf-8-sig,1499,553,552,0,"[0.0, 0.0, 74.0, 74.0]","['Background', 'Air', 'Iron', 'Copper', 'Magnet']",1,SAMPLE_0196
SAMPLE_0144,FEMRASTER_252fda24fd36,train,IA_test/1225/best_J0.177345_20251225_205238.fem,IA_test/1225/best_result_20251225_205238.mat,probable,77.0,0.6,0.17734517056981053,10.0,blank_inset_9x5.fem,utf-8-sig,1499,553,552,0,"[0.0, 0.0, 74.0, 74.0]","['Background', 'Air', 'Iron', 'Copper', 'Magnet']",2,SAMPLE_0144|SAMPLE_0192
SAMPLE_0151,FEMRASTER_3ad955396727,validation,IA_test/1230.3/best_J0.150072_20251230_212929.fem,IA_test/1230.3/best_result_20251230_212929.mat,probable,77.0,0.75,0.15007208259379337,10.0,blank_9x5.fem,utf-8-sig,443,289,288,0,"[0.0, 0.0, 74.0, 74.0]","['Background', 'Air', 'Iron', 'Copper', 'Magnet']",2,SAMPLE_0151|SAMPLE_0199
SAMPLE_0146,FEMRASTER_3da312870218,train,IA_test/1227.1/best_J0.239788_20251227_151645.fem,IA_test/1227.1/best_result_20251227_151645.mat,probable,77.0,0.6,0.239787507489866,10.0,blank_inset_9x5.fem,utf-8-sig,1499,553,552,0,"[0.0, 0.0, 74.0, 74.0]","['Background', 'Air', 'Iron', 'Copper', 'Magnet']",2,SAMPLE_0146|SAMPLE_0194
SAMPLE_0152,FEMRASTER_4d8b83443fb7,validation,IA_test/1230/best_J0.166453_20251230_130901.fem,IA_test/1230/best_result_20251230_130901.mat,probable,77.0,0.75,0.1664533999260898,10.0,blank_9x5.fem,utf-8-sig,659,343,342,0,"[0.0, 0.0, 74.0, 74.0]","['Background', 'Air', 'Iron', 'Copper', 'Magnet']",2,SAMPLE_0152|SAMPLE_0200
SAMPLE_0202,FEMRASTER_60367a4e8c13,train,IA_test_groupA/best_J0.0937403_20260107_221145.fem,IA_test_groupA/best_result_20260107_221145.mat,probable,77.0,0.8,0.09374029236352585,10.0,blank_18x10.fem,utf-8-sig,1814,314,314,2,"[0.0, 0.0, 74.0, 74.0]","['Background', 'Air', 'Iron', 'Copper', 'Magnet']",1,SAMPLE_0202
SAMPLE_0206,FEMRASTER_61467a06368b,validation,IA_test_groupA/best_J0.257147_20251228_164352.fem,IA_test_groupA/best_result_20251228_164352.mat,probable,77.0,0.75,0.2571473675453812,10.0,blank_inset_9x5.fem,utf-8-sig,1499,553,552,0,"[0.0, 0.0, 74.0, 74.0]","['Background', 'Air', 'Iron', 'Copper', 'Magnet']",1,SAMPLE_0206
SAMPLE_0019,FEMRASTER_8ccfedde8c5f,train,IA_test/0103 groupB/best_J0.110898_20260103_164233.fem,IA_test/0103 groupB/best_result_20260103_164233.mat,probable,77.0,0.8,0.11089760421375137,10.0,blank_18x10.fem,utf-8-sig,1712,300,300,2,"[0.0, 0.0, 74.0, 74.0]","['Background', 'Air', 'Iron', 'Copper', 'Magnet']",3,SAMPLE_0019|SAMPLE_0166|SAMPLE_0167
