fem_path,candidate_mat_path,score,matching_evidence,conflicting_evidence
CLONALG/best_J0.150072_20251230_212929.fem,IA_test/1230.3/best_result_20251230_212929.mat,50,"共享运行/时间标签: 20251230_212929；共享数字标识: 20251230, 212929",
CLONALG/best_J0.150072_20251230_212929.fem,IA_test_groupA/1230.3/best_result_20251230_212929.mat,50,"共享运行/时间标签: 20251230_212929；共享数字标识: 20251230, 212929",
CLONALG/best_J0.157009_20251230_165105.fem,IA_test/1230.2/best_result_20251230_165105.mat,58,"共享运行/时间标签: 20251230_165105；共享数字标识: 165105, 20251230；修改时间相差 32.4 分钟",
CLONALG/best_J0.157009_20251230_165105.fem,IA_test_groupA/1230.2/best_result_20251230_165105.mat,58,"共享运行/时间标签: 20251230_165105；共享数字标识: 165105, 20251230；修改时间相差 32.4 分钟",
CLONALG/best_J0.166453_20251230_130901.fem,IA_test/1230/best_result_20251230_130901.mat,50,"共享运行/时间标签: 20251230_130901；共享数字标识: 130901, 20251230",
CLONALG/best_J0.166453_20251230_130901.fem,IA_test_groupA/1230/best_result_20251230_130901.mat,50,"共享运行/时间标签: 20251230_130901；共享数字标识: 130901, 20251230",
IA_test/0109 groupA2 best/best_J0.080216_20260109_165414.fem,IA_test/0109 groupA2 best/best_bits_coarse.mat,27,位于同一目录；修改时间相差 14 秒,
IA_test/0109 groupA2 best/best_J0.080216_20260109_165414.fem,IA_test/0109 groupA2 best/best_result_group4 100gen.mat,27,位于同一目录；修改时间相差 14 秒,
IA_test/1228/best_J0.222504_20251229_005752.fem,IA_test/best_result_20251229_005752.mat,70,"共享运行/时间标签: 20251229_005752；共享数字标识: 005752, 20251229；位于父子目录；修改时间相差 26 秒",
IA_test/1228/best_J0.222504_20251229_005752.fem,IA_test/无优化组/best_result_20251229_005752.mat,66,"共享运行/时间标签: 20251229_005752；共享数字标识: 005752, 20251229；位于相邻目录；修改时间相差 26 秒",
IA_test/1228/best_J0.222504_20251229_005752.fem,IA_test_groupA/best_result_20251229_005752.mat,62,"共享运行/时间标签: 20251229_005752；共享数字标识: 005752, 20251229；修改时间相差 26 秒",
IA_test/best_J0.113614_20260103_045247.fem,IA_test/best_result_20260103_045247.mat,73,"共享运行/时间标签: 20260103_045247；共享数字标识: 045247, 20260103；位于同一目录；修改时间相差 2.6 分钟",
IA_test/best_J0.113614_20260103_045247.fem,IA_test/无优化组/best_result_20260103_045247.mat,66,"共享运行/时间标签: 20260103_045247；共享数字标识: 045247, 20260103；位于父子目录；修改时间相差 2.6 分钟",
IA_test/best_J0.238035_20251229_211603.fem,IA_test/best_result_20251229_211603.mat,77,"共享运行/时间标签: 20251229_211603；共享数字标识: 20251229, 211603；位于同一目录；修改时间相差 20 秒",
IA_test/best_J0.238035_20251229_211603.fem,IA_test/无优化组/best_result_20251229_211603.mat,70,"共享运行/时间标签: 20251229_211603；共享数字标识: 20251229, 211603；位于父子目录；修改时间相差 20 秒",
IA_test/best_J0.257147_20251228_164352.fem,IA_test/best_result_20251228_164352.mat,77,"共享运行/时间标签: 20251228_164352；共享数字标识: 164352, 20251228；位于同一目录；修改时间相差 52 秒",
IA_test/best_J0.257147_20251228_164352.fem,IA_test/无优化组/best_result_20251228_164352.mat,70,"共享运行/时间标签: 20251228_164352；共享数字标识: 164352, 20251228；位于父子目录；修改时间相差 52 秒",
IA_test/无优化组/best_J0.113614_20260103_045247.fem,IA_test/无优化组/best_result_20260103_045247.mat,73,"共享运行/时间标签: 20260103_045247；共享数字标识: 045247, 20260103；位于同一目录；修改时间相差 2.6 分钟",
IA_test/无优化组/best_J0.113614_20260103_045247.fem,IA_test/best_result_20260103_045247.mat,66,"共享运行/时间标签: 20260103_045247；共享数字标识: 045247, 20260103；位于父子目录；修改时间相差 2.6 分钟",
