file,variable_path,variable_name,shape,dtype,reason
CLONALG/best_result_0103_groupB_5gen.mat,J_hist,J_hist,"(5,)",float64,变量名/完整路径包含性能或设计关键词: j_hist
CLONALG/best_result_0103_groupB_5gen.mat,bestOverall,bestOverall,(),float64,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0103_groupB_5gen.mat,best_bits,best_bits,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0103_groupB_5gen.mat,best_bits_hist,best_bits_hist,"(5, 180)",uint8,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0103_groupB_5gen.mat,ctx.domain.design_mask,design_mask,"(10, 18)",uint8,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0103_groupB_5gen.mat,ctx.domain.design_idx,design_idx,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0103_groupB_5gen.mat,ctx.groupId_design,groupId_design,(),int64,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0104_groupA_15gen.mat,J_hist,J_hist,"(10,)",float64,变量名/完整路径包含性能或设计关键词: j_hist
CLONALG/best_result_0104_groupA_15gen.mat,bestOverall,bestOverall,(),float64,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0104_groupA_15gen.mat,best_bits,best_bits,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0104_groupA_15gen.mat,best_bits_hist,best_bits_hist,"(10, 180)",uint8,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0104_groupA_15gen.mat,ctx.domain.design_mask,design_mask,"(10, 18)",uint8,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0104_groupA_15gen.mat,ctx.domain.design_idx,design_idx,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0104_groupA_15gen.mat,ctx.groupId_design,groupId_design,(),int64,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0104_groupB_15gen.mat,J_hist,J_hist,"(10,)",float64,变量名/完整路径包含性能或设计关键词: j_hist
CLONALG/best_result_0104_groupB_15gen.mat,bestOverall,bestOverall,(),float64,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0104_groupB_15gen.mat,best_bits,best_bits,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0104_groupB_15gen.mat,best_bits_hist,best_bits_hist,"(10, 180)",uint8,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0104_groupB_15gen.mat,ctx.domain.design_mask,design_mask,"(10, 18)",uint8,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0104_groupB_15gen.mat,ctx.domain.design_idx,design_idx,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0104_groupB_15gen.mat,ctx.groupId_design,groupId_design,(),int64,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0107_groupA2_25gen.mat,J_hist,J_hist,"(10,)",float64,变量名/完整路径包含性能或设计关键词: j_hist
CLONALG/best_result_0107_groupA2_25gen.mat,bestOverall,bestOverall,(),float64,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0107_groupA2_25gen.mat,best_bits,best_bits,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0107_groupA2_25gen.mat,best_bits_hist,best_bits_hist,"(10, 180)",uint8,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0107_groupA2_25gen.mat,ctx.domain.design_mask,design_mask,"(10, 18)",uint8,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0107_groupA2_25gen.mat,ctx.domain.design_idx,design_idx,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0107_groupA2_25gen.mat,ctx.groupId_design,groupId_design,(),int64,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0109_groupA2_35gen.mat,J_hist,J_hist,"(5,)",float64,变量名/完整路径包含性能或设计关键词: j_hist
CLONALG/best_result_0109_groupA2_35gen.mat,bestOverall,bestOverall,(),float64,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0109_groupA2_35gen.mat,best_bits,best_bits,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0109_groupA2_35gen.mat,best_bits_hist,best_bits_hist,"(5, 180)",uint8,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0109_groupA2_35gen.mat,ctx.domain.design_mask,design_mask,"(10, 18)",uint8,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0109_groupA2_35gen.mat,ctx.domain.design_idx,design_idx,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0109_groupA2_35gen.mat,ctx.groupId_design,groupId_design,(),int64,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0118_groupA2_100gen.mat,J_hist,J_hist,"(10,)",float64,变量名/完整路径包含性能或设计关键词: j_hist
CLONALG/best_result_0118_groupA2_100gen.mat,bestOverall,bestOverall,(),float64,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0118_groupA2_100gen.mat,best_bits,best_bits,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0118_groupA2_100gen.mat,best_bits_hist,best_bits_hist,"(10, 180)",uint8,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0118_groupA2_100gen.mat,ctx.domain.design_mask,design_mask,"(10, 18)",uint8,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0118_groupA2_100gen.mat,ctx.domain.design_idx,design_idx,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0118_groupA2_100gen.mat,ctx.groupId_design,groupId_design,(),int64,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0119_groupA2_120gen.mat,J_hist,J_hist,"(20,)",float64,变量名/完整路径包含性能或设计关键词: j_hist
CLONALG/best_result_0119_groupA2_120gen.mat,bestOverall,bestOverall,(),float64,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0119_groupA2_120gen.mat,best_bits,best_bits,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0119_groupA2_120gen.mat,best_bits_hist,best_bits_hist,"(20, 180)",uint8,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0119_groupA2_120gen.mat,ctx.domain.design_mask,design_mask,"(10, 18)",uint8,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0119_groupA2_120gen.mat,ctx.domain.design_idx,design_idx,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0119_groupA2_120gen.mat,ctx.groupId_design,groupId_design,(),int64,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0120_groupA2_120gen.mat,J_hist,J_hist,"(20,)",float64,变量名/完整路径包含性能或设计关键词: j_hist
CLONALG/best_result_0120_groupA2_120gen.mat,bestOverall,bestOverall,(),float64,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0120_groupA2_120gen.mat,best_bits,best_bits,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0120_groupA2_120gen.mat,best_bits_hist,best_bits_hist,"(20, 180)",uint8,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0120_groupA2_120gen.mat,ctx.domain.design_mask,design_mask,"(10, 18)",uint8,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0120_groupA2_120gen.mat,ctx.domain.design_idx,design_idx,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0120_groupA2_120gen.mat,ctx.groupId_design,groupId_design,(),int64,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0122_groupN_10gen.mat,J_hist,J_hist,"(10,)",float64,变量名/完整路径包含性能或设计关键词: j_hist
CLONALG/best_result_0122_groupN_10gen.mat,bestOverall,bestOverall,(),float64,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0122_groupN_10gen.mat,best_bits,best_bits,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0122_groupN_10gen.mat,best_bits_hist,best_bits_hist,"(10, 180)",uint8,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0122_groupN_10gen.mat,ctx.domain.design_mask,design_mask,"(10, 18)",uint8,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0122_groupN_10gen.mat,ctx.domain.design_idx,design_idx,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0122_groupN_10gen.mat,ctx.groupId_design,groupId_design,(),int64,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0123_groupN_20gen.mat,J_hist,J_hist,"(10,)",float64,变量名/完整路径包含性能或设计关键词: j_hist
CLONALG/best_result_0123_groupN_20gen.mat,bestOverall,bestOverall,(),float64,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0123_groupN_20gen.mat,best_bits,best_bits,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0123_groupN_20gen.mat,best_bits_hist,best_bits_hist,"(10, 180)",uint8,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0123_groupN_20gen.mat,ctx.domain.design_mask,design_mask,"(10, 18)",uint8,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0123_groupN_20gen.mat,ctx.domain.design_idx,design_idx,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0123_groupN_20gen.mat,ctx.groupId_design,groupId_design,(),int64,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0126_groupN_30gen.mat,J_hist,J_hist,"(5,)",float64,变量名/完整路径包含性能或设计关键词: j_hist
CLONALG/best_result_0126_groupN_30gen.mat,bestOverall,bestOverall,(),float64,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0126_groupN_30gen.mat,best_bits,best_bits,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0126_groupN_30gen.mat,best_bits_hist,best_bits_hist,"(5, 180)",uint8,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0126_groupN_30gen.mat,ctx.domain.design_mask,design_mask,"(10, 18)",uint8,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0126_groupN_30gen.mat,ctx.domain.design_idx,design_idx,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0126_groupN_30gen.mat,ctx.groupId_design,groupId_design,(),int64,变量名/完整路径包含性能或设计关键词: design
CLONALG/best_result_0128_groupN_40gen.mat,J_hist,J_hist,"(5,)",float64,变量名/完整路径包含性能或设计关键词: j_hist
CLONALG/best_result_0128_groupN_40gen.mat,bestOverall,bestOverall,(),float64,变量名/完整路径包含性能或设计关键词: best
CLONALG/best_result_0128_groupN_40gen.mat,best_bits,best_bits,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: best
