sample_id,geometry_id,operating_point_id,simulation_id,fem_path,mat_path,match_status,match_score,problem_type,length_unit,axial_length,material_names,geometry_bbox,operating_current,current_angle,speed_rpm,rotor_position,candidate_target_names,validation_status,notes
SAMPLE_0001,GEOM_0001,OP_db5410d5c6,SIM_c15a3a423803,blank_9x5.FEM,,unmatched,11,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",0,,,,,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0002,GEOM_0002,OP_27e025d016,SIM_a34e526113e0,CLONALG/25.12.15_1.fem,,unmatched,20,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",8.66025403784,,,,,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0003,GEOM_0003,OP_69bb88fd98,SIM_d500cbec8e4b,CLONALG/best_J0.080216_20260109_165414.fem,,unmatched,18,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",3.03108891325,,,,,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0004,GEOM_0004,OP_db5410d5c6,SIM_9b3488d6e5e7,CLONALG/best_J0.110898_20260103_164233.fem,IA_test/0103 groupB/best_result_20260103_164233.mat,uncertain,58,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",0,,,,J_hist|bestOverall|best_bits|best_bits_hist,pending_review,需要人工复核配对；operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0005,GEOM_0005,OP_69bb88fd98,SIM_7e3a8c3307da,CLONALG/best_J0.150072_20251230_212929.fem,IA_test/1230.3/best_result_20251230_212929.mat,uncertain,50,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",3.03108891325,,,,J_hist|bestOverall|best_bits|best_bits_hist,pending_review,需要人工复核配对；operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0006,GEOM_0006,OP_db5410d5c6,SIM_2d06b0990293,CLONALG/best_J0.157009_20251230_165105.fem,IA_test/1230.2/best_result_20251230_165105.mat,uncertain,58,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",0,,,,J_hist|bestOverall|best_bits|best_bits_hist,pending_review,需要人工复核配对；operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0007,GEOM_0007,OP_db5410d5c6,SIM_23a058591911,CLONALG/best_J0.166453_20251230_130901.fem,IA_test/1230/best_result_20251230_130901.mat,uncertain,50,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",0,,,,J_hist|bestOverall|best_bits|best_bits_hist,pending_review,需要人工复核配对；operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0008,GEOM_0008,OP_db5410d5c6,SIM_898017b6d978,CLONALG/blank.FEM,,unmatched,18,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",0,,,,,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0009,GEOM_0009,OP_db5410d5c6,SIM_001bc3dcb354,CLONALG/blank9x5.FEM,,unmatched,15,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",0,,,,,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0010,GEOM_0010,OP_db5410d5c6,SIM_ae8248eaac07,CLONALG/blank_18x10.FEM,,unmatched,20,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",0,,,,,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
