geometry_id,simulation_count,operating_point_count,confirmed_pair_count,fem_paths
GEOM_0001,1,1,0,blank_9x5.FEM
GEOM_0002,1,1,0,CLONALG/25.12.15_1.fem
GEOM_0003,5,2,0,CLONALG/best_J0.080216_20260109_165414.fem|IA_test/0109 groupA2 best/best_J0.080216_20260109_165414.fem|IA_test/best_J0.080216_20260110_195804.fem|IA_test/best_J0.080216_20260111_184658.fem|免疫算法测试/01.13/best_J0.080216_20260109_165414.fem
GEOM_0004,4,1,0,CLONALG/best_J0.110898_20260103_164233.fem|IA_test/0103 groupB/best_J0.110898_20260103_164233.fem|IA_test/无优化组/best_J0.110898_20260103_223049.fem|IA_test/无优化组/best_J0.110898_20260104_040203.fem
GEOM_0005,3,2,0,CLONALG/best_J0.150072_20251230_212929.fem|IA_test/1230.3/best_J0.150072_20251230_212929.fem|IA_test_groupA/1230.3/best_J0.150072_20251230_212929.fem
GEOM_0006,3,1,0,CLONALG/best_J0.157009_20251230_165105.fem|IA_test/1230.2/best_J0.157009_20251230_165105.fem|IA_test_groupA/1230.2/best_J0.157009_20251230_165105.fem
GEOM_0007,3,1,0,CLONALG/best_J0.166453_20251230_130901.fem|IA_test/1230/best_J0.166453_20251230_130901.fem|IA_test_groupA/1230/best_J0.166453_20251230_130901.fem
GEOM_0008,1,1,0,CLONALG/blank.FEM
GEOM_0009,1,1,0,CLONALG/blank9x5.FEM
GEOM_0010,2,1,0,CLONALG/blank_18x10.FEM|CLONALG/blank_inset_18x10.FEM
GEOM_0011,1,1,0,CLONALG/blank_9x5.FEM
GEOM_0012,1,1,0,CLONALG/blank_inset_9x5.FEM
GEOM_0013,1,1,0,CLONALG/model.fem
GEOM_0014,3,2,1,CLONALG/seed_bits_fine.FEM|IA_test_group4/best_J0.123215_20260205_145651.fem|免疫算法测试/01.13/seed_bits_fine.FEM
GEOM_0015,3,1,0,CLONALG/strukturFemm.fem|CLONALG/temp_airgap_scan.fem|免疫算法测试/01.13/strukturFemm.fem
GEOM_0016,1,1,0,CLONALG/test.fem
GEOM_0017,2,1,0,IA_test/0104 groupA/best_J0.0994011_20260105_081953.fem|IA_test_groupA/0104 groupA/best_J0.0994011_20260105_081953.fem
GEOM_0018,5,1,0,IA_test/0104 groupB/best_J0.106306_20260104_150857.fem|IA_test/best_J0.106306_20260105_193139.fem|IA_test/best_J0.106306_20260106_151138.fem|IA_test/best_J0.106306_20260106_224059.fem|IA_test/无优化组/best_J0.106306_20260105_011544.fem
GEOM_0019,3,1,0,IA_test/0107 groupA2/best_J0.082148_20260107_145512.fem|IA_test/best_J0.082148_20260108_181234.fem|IA_test/best_J0.082148_20260108_231323.fem
