relative_path,absolute_path,encoding,read_status,format,frequency,precision,min_angle,depth,length_unit,problem_type,coordinates,point_count,boundary_count,material_count,circuit_count,node_count,segment_count,arc_count,block_label_count,material_names,assigned_material_names,circuit_names,current_settings,magnetization_directions,geometry_bbox,model_center,geometry_signature,error
blank_9x5.FEM,C:\Users\26096\Desktop\em\FP\blank_9x5.FEM,utf-8-sig,ok,4.0,0,1e-008,25,36,millimeters,planar,cartesian,0,17,7,6,419,393,306,12,Air|Pure Iron|Copper|N40|Air|N40|Air,Air|N40|Pure Iron,A+|B+|C+|A-|B-|C-,"[{""name"":""A+"",""current_re"":""0""},{""name"":""B+"",""current_re"":""0""},{""name"":""C+"",""current_re"":""0""},{""name"":""A-"",""current_re"":""0""},{""name"":""B-"",""current_re"":""0""},{""name"":""C-"",""current_re"":""0""}]","[0.0,1.0]","[0.0,0.0,74.0,74.0]","[37.0,37.0]",683783a2aaa61fcd6977e7967413acd06707a3b4159d738fc8a6bdafc46909e3,
temp_airgap_scan.fem,C:\Users\26096\Desktop\em\FP\temp_airgap_scan.fem,utf-8-sig,ok,4.0,0,1e-008,30,1,millimeters,planar,cartesian,0,8,16,3,163,164,9,18,Air|Pure Iron|Copper|Copper|Copper|Copper|Copper|Copper|Air|Air|Pure Iron|Air|N40|Air|N40|Air,Air|Copper|N40|Pure Iron,A|B|C,"[{""name"":""A"",""current_re"":""1.0715659492539341e-015""},{""name"":""B"",""current_re"":""3.0310889132455356""},{""name"":""C"",""current_re"":""-3.0310889132455352""}]","[0.0,1.0]","[0.0,0.0,74.0,74.0]","[37.0,37.0]",df01f2ba971a91059beb1a1250d0a6b65fd4e2a1667febb43b14388cdb4e6505,
temp_motor.fem,C:\Users\26096\Desktop\em\FP\temp_motor.fem,utf-8-sig,ok,4.0,0,1e-008,30,1,millimeters,planar,cartesian,0,0,16,12,164,165,10,19,Air|Pure Iron|Copper|Copper|Copper|Copper|Copper|Copper|Air|Air|Pure Iron|Air|N40|Air|N40|Air,Air|Copper|N40|Pure Iron,A|B|C|A|B|C|A|B|C|A|B|C,"[{""name"":""A"",""current_re"":""0""},{""name"":""B"",""current_re"":""0""},{""name"":""C"",""current_re"":""0""},{""name"":""A"",""current_re"":""0""},{""name"":""B"",""current_re"":""0""},{""name"":""C"",""current_re"":""0""},{""name"":""A"",""current_re"":""0""},{""name"":""B"",""current_re"":""0""},{""name"":""C"",""current_re"":""0""},{""name"":""A"",""current_re"":""0""},{""name"":""B"",""current_re"":""0""},{""name"":""C"",""current_re"":""0""}]","[0.0,1.0]","[-4.2865315095700165,0.0,74.0,74.0]","[34.856734245214994,37.0]",a72df803376010add191d32506812de0d358d8c19ad1b02d443765f98f44f3df,
待修改模型.FEM,C:\Users\26096\Desktop\em\FP\待修改模型.FEM,utf-8-sig,ok,4.0,0,1e-008,25,36,millimeters,planar,cartesian,0,8,16,3,161,162,9,18,Air|Pure Iron|Copper|Copper|Copper|Copper|Copper|Copper|Air|Air|Pure Iron|Air|N40|Air|N40|Air,Air|Copper|N40|Pure Iron,A|B|C,"[{""name"":""A"",""current_re"":""0""},{""name"":""B"",""current_re"":""0""},{""name"":""C"",""current_re"":""0""}]","[0.0,1.0]","[0.0,0.0,74.0,74.0]","[37.0,37.0]",d125519477cbf3fb9d7513bad8d26b69ba1190e925808e8d433677c0ea7acb26,
无标题.FEM,C:\Users\26096\Desktop\em\FP\无标题.FEM,utf-8-sig,ok,4.0,0,1e-008,30,1,millimeters,planar,cartesian,0,8,16,3,161,162,9,18,Air|Pure Iron|Copper|Copper|Copper|Copper|Copper|Copper|Air|Air|Pure Iron|Air|N40|Air|N40|Air,Air|Copper|N40|Pure Iron,A|B|C,"[{""name"":""A"",""current_re"":""0""},{""name"":""B"",""current_re"":""0""},{""name"":""C"",""current_re"":""0""}]","[0.0,1.0]","[0.0,0.0,74.0,74.0]","[37.0,37.0]",734dda2f61ff3c1c0b6004a79a516d066256b630f0af23101f0f38256742ef79,
CLONALG/25.12.15_1.fem,C:\Users\26096\Desktop\em\FP\CLONALG\25.12.15_1.fem,utf-8-sig,ok,4.0,0,1e-008,25,36,millimeters,planar,cartesian,0,17,7,6,417,391,305,281,Air|Pure Iron|Copper|N40|Air|N40|Air,Air|Copper|N40|Pure Iron,A+|B+|C+|A-|B-|C-,"[{""name"":""A+"",""current_re"":""0""},{""name"":""B+"",""current_re"":""-8.6602540378443873""},{""name"":""C+"",""current_re"":""8.6602540378443855""},{""name"":""A-"",""current_re"":""0""},{""name"":""B-"",""current_re"":""8.6602540378443873""},{""name"":""C-"",""current_re"":""-8.6602540378443855""}]","[0.0,1.0]","[0.0,0.0,74.0,74.0]","[37.0,37.0]",256ba28773ad7476f5a15d390f5e79fd02a4e113633e266654cf7206d5060486,
CLONALG/best_J0.080216_20260109_165414.fem,C:\Users\26096\Desktop\em\FP\CLONALG\best_J0.080216_20260109_165414.fem,utf-8-sig,ok,4.0,0,1e-008,15,36,millimeters,planar,cartesian,0,26,7,6,1838,1608,264,360,Air|Pure Iron|Copper|N40|Air|N40|Air,Air|Copper|N40|Pure Iron,A+|B+|C+|A-|B-|C-,"[{""name"":""A+"",""current_re"":""-3.0310889132455348""},{""name"":""B+"",""current_re"":""3.0310889132455356""},{""name"":""C+"",""current_re"":""2.1431318985078681e-016""},{""name"":""A-"",""current_re"":""3.0310889132455348""},{""name"":""B-"",""current_re"":""-3.0310889132455356""},{""name"":""C-"",""current_re"":""-2.1431318985078681e-016""}]","[0.0,1.0,30.0,31.0]","[0.0,0.0,74.0,74.0]","[37.0,37.0]",8b6d9cf0347029982a816fb8b5455c5fa2f16b7d68ea63628817a3be9f033a52,
CLONALG/best_J0.110898_20260103_164233.fem,C:\Users\26096\Desktop\em\FP\CLONALG\best_J0.110898_20260103_164233.fem,utf-8-sig,ok,4.0,0,1e-008,15,36,millimeters,planar,cartesian,0,26,7,6,1712,1518,222,330,Air|Pure Iron|Copper|N40|Air|N40|Air,Air|Copper|N40|Pure Iron,A+|B+|C+|A-|B-|C-,"[{""name"":""A+"",""current_re"":""0""},{""name"":""B+"",""current_re"":""0""},{""name"":""C+"",""current_re"":""0""},{""name"":""A-"",""current_re"":""0""},{""name"":""B-"",""current_re"":""0""},{""name"":""C-"",""current_re"":""0""}]","[0.0,1.0,30.0,31.0]","[0.0,0.0,74.0,74.0]","[37.0,37.0]",f96d558e67faf4b0be6e90a71fd58bddd0a6f99d08fc2fb72d07e032af697644,
CLONALG/best_J0.150072_20251230_212929.fem,C:\Users\26096\Desktop\em\FP\CLONALG\best_J0.150072_20251230_212929.fem,utf-8-sig,ok,4.0,0,1e-008,25,36,millimeters,planar,cartesian,0,17,7,6,443,417,306,288,Air|Pure Iron|Copper|N40|Air|N40|Air,Air|Copper|N40|Pure Iron,A+|B+|C+|A-|B-|C-,"[{""name"":""A+"",""current_re"":""2.1431318985078681e-016""},{""name"":""B+"",""current_re"":""3.0310889132455356""},{""name"":""C+"",""current_re"":""-3.0310889132455348""},{""name"":""A-"",""current_re"":""-2.1431318985078681e-016""},{""name"":""B-"",""current_re"":""-3.0310889132455356""},{""name"":""C-"",""current_re"":""3.0310889132455348""}]","[0.0,1.0,30.0,31.0]","[0.0,0.0,74.0,74.0]","[37.0,37.0]",e803b22715d39177577128bc6b2c3c42e59e95e5fa6689163cfa5ff760d48403,
CLONALG/best_J0.157009_20251230_165105.fem,C:\Users\26096\Desktop\em\FP\CLONALG\best_J0.157009_20251230_165105.fem,utf-8-sig,ok,4.0,0,1e-008,25,36,millimeters,planar,cartesian,0,17,7,6,443,417,306,288,Air|Pure Iron|Copper|N40|Air|N40|Air,Air|Copper|N40|Pure Iron,A+|B+|C+|A-|B-|C-,"[{""name"":""A+"",""current_re"":""0""},{""name"":""B+"",""current_re"":""0""},{""name"":""C+"",""current_re"":""0""},{""name"":""A-"",""current_re"":""0""},{""name"":""B-"",""current_re"":""0""},{""name"":""C-"",""current_re"":""0""}]","[0.0,1.0,30.0,31.0]","[0.0,0.0,74.0,74.0]","[37.0,37.0]",ea521cb0a19bc8fcacd3c50a24d6bf16ad30ec6f8bfa0b01b0f7e20416f13486,
CLONALG/best_J0.166453_20251230_130901.fem,C:\Users\26096\Desktop\em\FP\CLONALG\best_J0.166453_20251230_130901.fem,utf-8-sig,ok,4.0,0,1e-008,25,36,millimeters,planar,cartesian,0,17,7,6,659,633,306,342,Air|Pure Iron|Copper|N40|Air|N40|Air,Air|Copper|N40|Pure Iron,A+|B+|C+|A-|B-|C-,"[{""name"":""A+"",""current_re"":""0""},{""name"":""B+"",""current_re"":""0""},{""name"":""C+"",""current_re"":""0""},{""name"":""A-"",""current_re"":""0""},{""name"":""B-"",""current_re"":""0""},{""name"":""C-"",""current_re"":""0""}]","[0.0,1.0,30.0,31.0]","[0.0,0.0,74.0,74.0]","[37.0,37.0]",7ee8e69265e7c43e3b6821476cc9171a3d16f3b75ae7a5d2c014e78605764131,
CLONALG/blank.FEM,C:\Users\26096\Desktop\em\FP\CLONALG\blank.FEM,utf-8-sig,ok,4.0,0,1e-008,25,36,millimeters,planar,cartesian,0,26,7,6,111,114,7,12,Air|Pure Iron|Copper|N40|Air|N40|Air,Air|N40|Pure Iron,A+|B+|C+|A-|B-|C-,"[{""name"":""A+"",""current_re"":""0""},{""name"":""B+"",""current_re"":""0""},{""name"":""C+"",""current_re"":""0""},{""name"":""A-"",""current_re"":""0""},{""name"":""B-"",""current_re"":""0""},{""name"":""C-"",""current_re"":""0""}]","[0.0,1.0]","[0.0,0.0,74.0,74.0]","[37.0,37.0]",38ec9247f50547e932e0f8b3fb849c48807aa7648aa3adf67116fea5f5497409,
CLONALG/blank9x5.FEM,C:\Users\26096\Desktop\em\FP\CLONALG\blank9x5.FEM,utf-8-sig,ok,4.0,0,1e-008,25,36,millimeters,planar,cartesian,0,17,7,6,417,391,305,11,Air|Pure Iron|Copper|N40|Air|N40|Air,Air|N40|Pure Iron,A+|B+|C+|A-|B-|C-,"[{""name"":""A+"",""current_re"":""0""},{""name"":""B+"",""current_re"":""0""},{""name"":""C+"",""current_re"":""0""},{""name"":""A-"",""current_re"":""0""},{""name"":""B-"",""current_re"":""0""},{""name"":""C-"",""current_re"":""0""}]","[0.0,1.0]","[0.0,0.0,74.0,74.0]","[37.0,37.0]",ca4d1d08c51eb88a4b83e7b95721342e6050e41241435e2e186adaf5d71c0e48,
CLONALG/blank_18x10.FEM,C:\Users\26096\Desktop\em\FP\CLONALG\blank_18x10.FEM,utf-8-sig,ok,4.0,0,1e-008,15,36,millimeters,planar,cartesian,0,26,7,6,1268,1212,1146,12,Air|Pure Iron|Copper|N40|Air|N40|Air,Air|N40|Pure Iron,A+|B+|C+|A-|B-|C-,"[{""name"":""A+"",""current_re"":""0""},{""name"":""B+"",""current_re"":""0""},{""name"":""C+"",""current_re"":""0""},{""name"":""A-"",""current_re"":""0""},{""name"":""B-"",""current_re"":""0""},{""name"":""C-"",""current_re"":""0""}]","[0.0,1.0]","[0.0,0.0,74.0,74.0]","[37.0,37.0]",3427db1a590a8fea640855b46b3a97ff0abcbc2ac20571d2749a35df2ca366fd,
CLONALG/blank_9x5.FEM,C:\Users\26096\Desktop\em\FP\CLONALG\blank_9x5.FEM,utf-8-sig,ok,4.0,0,1e-008,25,36,millimeters,planar,cartesian,0,17,7,6,783,483,0,306,Air|Pure Iron|Copper|N40|Air|N40|Air,Air|Copper|N40|Pure Iron,A+|B+|C+|A-|B-|C-,"[{""name"":""A+"",""current_re"":""2.1431318985078681e-016""},{""name"":""B+"",""current_re"":""3.0310889132455356""},{""name"":""C+"",""current_re"":""-3.0310889132455348""},{""name"":""A-"",""current_re"":""-2.1431318985078681e-016""},{""name"":""B-"",""current_re"":""-3.0310889132455356""},{""name"":""C-"",""current_re"":""3.0310889132455348""}]","[0.0,1.0,30.0,31.0]","[0.0,0.0,74.0,74.0]","[37.0,37.0]",bfcfca8a9726397815979da0f0134288da84c878b1d9bd6969abefd9ef613ca1,
