sample_id,fem_path,mat_path,match_score,match_status,matching_evidence,conflicting_evidence
SAMPLE_0001,blank_9x5.FEM,,11,unmatched,位于父子目录；修改时间相差 7.6 小时,最高候选分低于最低证据阈值
SAMPLE_0002,CLONALG/25.12.15_1.fem,,20,unmatched,共享数字标识: 15；位于同一目录,修改时间相差 20.4 天；最高候选分低于最低证据阈值
SAMPLE_0003,CLONALG/best_J0.080216_20260109_165414.fem,,18,unmatched,位于同一目录；修改时间相差 3.1 小时,最高候选分低于最低证据阈值
SAMPLE_0004,CLONALG/best_J0.110898_20260103_164233.fem,IA_test/0103 groupB/best_result_20260103_164233.mat,58,uncertain,"共享运行/时间标签: 20260103_164233；共享数字标识: 164233, 20260103；修改时间相差 10.3 分钟",
SAMPLE_0005,CLONALG/best_J0.150072_20251230_212929.fem,IA_test/1230.3/best_result_20251230_212929.mat,50,uncertain,"共享运行/时间标签: 20251230_212929；共享数字标识: 20251230, 212929",次优候选 IA_test_groupA/1230.3/best_result_20251230_212929.mat 得分 50，分差仅 0
SAMPLE_0006,CLONALG/best_J0.157009_20251230_165105.fem,IA_test/1230.2/best_result_20251230_165105.mat,58,uncertain,"共享运行/时间标签: 20251230_165105；共享数字标识: 165105, 20251230；修改时间相差 32.4 分钟",次优候选 IA_test_groupA/1230.2/best_result_20251230_165105.mat 得分 58，分差仅 0
SAMPLE_0007,CLONALG/best_J0.166453_20251230_130901.fem,IA_test/1230/best_result_20251230_130901.mat,50,uncertain,"共享运行/时间标签: 20251230_130901；共享数字标识: 130901, 20251230",次优候选 IA_test_groupA/1230/best_result_20251230_130901.mat 得分 50，分差仅 0
SAMPLE_0008,CLONALG/blank.FEM,,18,unmatched,位于同一目录；修改时间相差 21.1 小时,最高候选分低于最低证据阈值
SAMPLE_0009,CLONALG/blank9x5.FEM,,15,unmatched,位于同一目录,修改时间相差 19.0 天；最高候选分低于最低证据阈值
SAMPLE_0010,CLONALG/blank_18x10.FEM,,20,unmatched,共享数字标识: 10；位于同一目录,修改时间相差 9.4 天；最高候选分低于最低证据阈值
SAMPLE_0011,CLONALG/blank_9x5.FEM,,15,unmatched,位于同一目录,修改时间相差 1.2 天；最高候选分低于最低证据阈值
SAMPLE_0012,CLONALG/blank_inset_18x10.FEM,,20,unmatched,共享数字标识: 10；位于同一目录,修改时间相差 19.7 天；最高候选分低于最低证据阈值
SAMPLE_0013,CLONALG/blank_inset_9x5.FEM,,18,unmatched,位于同一目录；修改时间相差 6.1 小时,最高候选分低于最低证据阈值
SAMPLE_0014,CLONALG/model.fem,,23,unmatched,位于同一目录；修改时间相差 5.3 分钟,最高候选分低于最低证据阈值
SAMPLE_0015,CLONALG/seed_bits_fine.FEM,CLONALG/seed_bits_fine.mat,95,confirmed,文件 stem 完全相同；位于同一目录,
SAMPLE_0016,CLONALG/strukturFemm.fem,,18,unmatched,位于同一目录；修改时间相差 3.0 小时,最高候选分低于最低证据阈值
SAMPLE_0017,CLONALG/temp_airgap_scan.fem,,15,unmatched,位于同一目录,修改时间相差 66.0 天；最高候选分低于最低证据阈值
SAMPLE_0018,CLONALG/test.fem,,18,unmatched,位于同一目录；修改时间相差 13.2 小时,最高候选分低于最低证据阈值
SAMPLE_0019,IA_test/0103 groupB/best_J0.110898_20260103_164233.fem,IA_test/0103 groupB/best_result_20260103_164233.mat,77,probable,"共享运行/时间标签: 20260103_164233；共享数字标识: 164233, 20260103；位于同一目录；修改时间相差 62 秒",
SAMPLE_0020,IA_test/0104 groupA/best_J0.0994011_20260105_081953.fem,IA_test/0104 groupA/best_result_20260105_081953.mat,77,probable,"共享运行/时间标签: 20260105_081953；共享数字标识: 081953, 20260105；位于同一目录；修改时间相差 20 秒",
SAMPLE_0021,IA_test/0104 groupB/best_J0.106306_20260104_150857.fem,IA_test/0104 groupB/best_result_20260104_150857.mat,77,probable,"共享运行/时间标签: 20260104_150857；共享数字标识: 150857, 20260104；位于同一目录；修改时间相差 14 秒",
SAMPLE_0022,IA_test/0107 groupA2/best_J0.082148_20260107_145512.fem,IA_test/0107 groupA2/best_result_20260107_145512.mat,77,probable,"共享运行/时间标签: 20260107_145512；共享数字标识: 145512, 20260107；位于同一目录；修改时间相差 14 秒",
SAMPLE_0023,IA_test/0109 groupA2 best/best_J0.080216_20260109_165414.fem,IA_test/0109 groupA2 best/best_bits_coarse.mat,27,uncertain,位于同一目录；修改时间相差 14 秒,次优候选 IA_test/0109 groupA2 best/best_result_group4 100gen.mat 得分 27，分差仅 0
SAMPLE_0024,IA_test/0118 groupA2/tmp_eval_20260119_004747212_814724.fem,,18,unmatched,位于同一目录；修改时间相差 2.6 小时,最高候选分低于最低证据阈值
SAMPLE_0025,IA_test/0120/tmp_eval_20260121_103344220_905792.fem,,23,unmatched,共享数字标识: 20260121；位于同一目录；修改时间相差 9.5 小时,最高候选分低于最低证据阈值
SAMPLE_0026,IA_test/12.21 N3G10/w01/blank_inset_9x5_w01.fem,,8,unmatched,位于父子目录,修改时间相差 2.4 天；最高候选分低于最低证据阈值
SAMPLE_0027,IA_test/12.21 N3G10/w01/case_000001.fem,,11,unmatched,位于父子目录；修改时间相差 11.5 小时,最高候选分低于最低证据阈值
SAMPLE_0028,IA_test/12.21 N3G10/w01/case_05963250-a8c1-4677-b3e3-be5039f26d1d.fem,,11,unmatched,位于父子目录；修改时间相差 4.9 小时,最高候选分低于最低证据阈值
