relative_path,material_name,definition_count,assignment_count
blank_9x5.FEM,Air,1,8
blank_9x5.FEM,Pure Iron,1,2
blank_9x5.FEM,Copper,1,0
blank_9x5.FEM,N40,1,2
blank_9x5.FEM,Air,1,8
blank_9x5.FEM,N40,1,2
blank_9x5.FEM,Air,1,8
temp_airgap_scan.fem,Air,1,8
temp_airgap_scan.fem,Pure Iron,1,2
temp_airgap_scan.fem,Copper,1,6
temp_airgap_scan.fem,Copper,1,6
temp_airgap_scan.fem,Copper,1,6
temp_airgap_scan.fem,Copper,1,6
temp_airgap_scan.fem,Copper,1,6
temp_airgap_scan.fem,Copper,1,6
temp_airgap_scan.fem,Air,1,8
temp_airgap_scan.fem,Air,1,8
temp_airgap_scan.fem,Pure Iron,1,2
temp_airgap_scan.fem,Air,1,8
temp_airgap_scan.fem,N40,1,2
temp_airgap_scan.fem,Air,1,8
temp_airgap_scan.fem,N40,1,2
temp_airgap_scan.fem,Air,1,8
temp_motor.fem,Air,1,9
temp_motor.fem,Pure Iron,1,2
temp_motor.fem,Copper,1,6
temp_motor.fem,Copper,1,6
temp_motor.fem,Copper,1,6
temp_motor.fem,Copper,1,6
temp_motor.fem,Copper,1,6
temp_motor.fem,Copper,1,6
temp_motor.fem,Air,1,9
temp_motor.fem,Air,1,9
temp_motor.fem,Pure Iron,1,2
temp_motor.fem,Air,1,9
temp_motor.fem,N40,1,2
temp_motor.fem,Air,1,9
temp_motor.fem,N40,1,2
temp_motor.fem,Air,1,9
待修改模型.FEM,Air,1,8
待修改模型.FEM,Pure Iron,1,2
待修改模型.FEM,Copper,1,6
待修改模型.FEM,Copper,1,6
待修改模型.FEM,Copper,1,6
待修改模型.FEM,Copper,1,6
待修改模型.FEM,Copper,1,6
待修改模型.FEM,Copper,1,6
待修改模型.FEM,Air,1,8
待修改模型.FEM,Air,1,8
待修改模型.FEM,Pure Iron,1,2
待修改模型.FEM,Air,1,8
待修改模型.FEM,N40,1,2
待修改模型.FEM,Air,1,8
待修改模型.FEM,N40,1,2
待修改模型.FEM,Air,1,8
无标题.FEM,Air,1,8
无标题.FEM,Pure Iron,1,2
无标题.FEM,Copper,1,6
无标题.FEM,Copper,1,6
无标题.FEM,Copper,1,6
无标题.FEM,Copper,1,6
无标题.FEM,Copper,1,6
无标题.FEM,Copper,1,6
无标题.FEM,Air,1,8
无标题.FEM,Air,1,8
无标题.FEM,Pure Iron,1,2
无标题.FEM,Air,1,8
无标题.FEM,N40,1,2
无标题.FEM,Air,1,8
无标题.FEM,N40,1,2
无标题.FEM,Air,1,8
CLONALG/25.12.15_1.fem,Air,1,74
CLONALG/25.12.15_1.fem,Pure Iron,1,163
CLONALG/25.12.15_1.fem,Copper,1,42
CLONALG/25.12.15_1.fem,N40,1,2
CLONALG/25.12.15_1.fem,Air,1,74
CLONALG/25.12.15_1.fem,N40,1,2
CLONALG/25.12.15_1.fem,Air,1,74
CLONALG/best_J0.080216_20260109_165414.fem,Air,1,50
CLONALG/best_J0.080216_20260109_165414.fem,Pure Iron,1,8
CLONALG/best_J0.080216_20260109_165414.fem,Copper,1,300
CLONALG/best_J0.080216_20260109_165414.fem,N40,1,2
CLONALG/best_J0.080216_20260109_165414.fem,Air,1,50
