relative_path,absolute_path,filename,stem,extension,size_bytes,modified_time,created_time,quick_hash_sha256,sha256,parent_directory,readable
blank_9x5.FEM,C:\Users\26096\Desktop\em\FP\blank_9x5.FEM,blank_9x5.FEM,blank_9x5,.fem,41521,2025-12-29T11:34:52+01:00,2026-07-30T20:35:03+02:00,c15a3a423803dac01e181195076104dde69b281f76358121f046efb7596e8c6f,,.,True
struktur.m,C:\Users\26096\Desktop\em\FP\struktur.m,struktur.m,struktur,.m,15660,2025-11-13T03:02:52+01:00,2026-07-30T20:35:03+02:00,88d9bfd8116d83e35c2ed7a7b98b20c4973eae7b3ea2c38b252000640b7295ed,,.,True
strukturFemm.m,C:\Users\26096\Desktop\em\FP\strukturFemm.m,strukturFemm.m,strukturFemm,.m,36699,2025-11-29T13:27:48+01:00,2026-07-30T20:35:03+02:00,e49199a3aac9dd51e3ffeee5e961652328987fafe7f362aa2c45c6a7e1771f58,,.,True
temp_airgap_scan.ans,C:\Users\26096\Desktop\em\FP\temp_airgap_scan.ans,temp_airgap_scan.ans,temp_airgap_scan,.ans,2522314,2025-11-28T12:54:54+01:00,2026-07-30T20:35:03+02:00,652b006f5fc18f26dc457ad9698be8859c71273b6322628433281eba29cf11d5,,.,True
temp_airgap_scan.fem,C:\Users\26096\Desktop\em\FP\temp_airgap_scan.fem,temp_airgap_scan.fem,temp_airgap_scan,.fem,20835,2025-11-28T12:54:44+01:00,2026-07-30T20:35:03+02:00,bbd96e79b78fa34d2d031266f4efcc6c2583a46f22c510752035de3f43886d29,,.,True
temp_motor.ans,C:\Users\26096\Desktop\em\FP\temp_motor.ans,temp_motor.ans,temp_motor,.ans,3595458,2025-11-22T05:11:14+01:00,2026-07-30T20:35:03+02:00,394cad578aed032d58e4025707716cff1a4baa356e129cc7a86c336d415aa4b6,,.,True
temp_motor.fem,C:\Users\26096\Desktop\em\FP\temp_motor.fem,temp_motor.fem,temp_motor,.fem,19897,2025-11-22T05:11:16+01:00,2026-07-30T20:35:03+02:00,9b30639614914756632120c98b84f3ba964c3498e3f9fdb86298c17932e59a67,,.,True
会议链接.txt,C:\Users\26096\Desktop\em\FP\会议链接.txt,会议链接.txt,会议链接,.txt,243,2025-12-02T09:25:28+01:00,2026-07-30T20:35:03+02:00,5a4023e7d06fac9d37de7b89016841a057b4e64a0c6d2ce8d7432398396b1514,,.,True
待修改模型.FEM,C:\Users\26096\Desktop\em\FP\待修改模型.FEM,待修改模型.FEM,待修改模型,.fem,20663,2025-12-02T09:51:54+01:00,2026-07-30T20:35:03+02:00,2e3d379044e20c85b3952f687089e6efde9bc73e274c07f05efab8f3980533cc,,.,True
新建画布1.sai2,C:\Users\26096\Desktop\em\FP\新建画布1.sai2,新建画布1.sai2,新建画布1,.sai2,746852,2025-10-27T19:19:58+01:00,2026-07-30T20:35:03+02:00,40b3e42094aa38f20ec9b6d477d04296bb883f5e5e910d465ec72c0e4687646b,,.,True
无标题.ans,C:\Users\26096\Desktop\em\FP\无标题.ans,无标题.ans,无标题,.ans,2512215,2025-12-01T15:32:46+01:00,2026-07-30T20:35:03+02:00,7c51a1a5fcbe7bc92e36b4c93937fc194dd81587348705b0ac73041819fe51a4,,.,True
无标题.FEM,C:\Users\26096\Desktop\em\FP\无标题.FEM,无标题.FEM,无标题,.fem,20681,2025-12-01T15:32:38+01:00,2026-07-30T20:35:03+02:00,e321bf6e75b1dc6fb347dd1e124997e30dcf6b4070a7dc36398e8ebc9e526fbe,,.,True
项目计划.doc,C:\Users\26096\Desktop\em\FP\项目计划.doc,项目计划.doc,项目计划,.doc,26512,2025-10-14T02:02:06+02:00,2026-07-30T20:35:03+02:00,bddc60f6657059f96bf8a1a12d8a1f4be01ba3877baa42402c818f5aacece048,668f0f9ed4e33e337625fcb9afcbf8307040a2887928adca62253a8f4b137d9b,.,True
CLONALG/.poly,C:\Users\26096\Desktop\em\FP\CLONALG\.poly,.poly,.poly,,338962,2026-01-12T04:17:52+01:00,2026-07-30T20:35:03+02:00,b692c25f2d29d7a1bd4143b885792f757572430322f37be3009f7274522c7bcb,,CLONALG,True
CLONALG/25.12.15_1.fem,C:\Users\26096\Desktop\em\FP\CLONALG\25.12.15_1.fem,25.12.15_1.fem,25.12.15_1,.fem,55685,2025-12-15T15:32:12+01:00,2026-07-30T20:35:03+02:00,a34e526113e04d6395593c2a940e8afb1ffb7e266bec89267c878fc4b1f8c8ea,,CLONALG,True
CLONALG/ackleyfcn.m,C:\Users\26096\Desktop\em\FP\CLONALG\ackleyfcn.m,ackleyfcn.m,ackleyfcn,.m,293,2025-12-04T10:36:32+01:00,2026-07-30T20:35:03+02:00,3955cf116a71ea18e13ebbcd399a0c0970c148985a3055feaeb8d348b2eb28b4,5664a74aae5a86521790a081af346a2d64571a7f37bcbcbd0e277aeca66ee3e9,CLONALG,True
CLONALG/best_J0.080216_20260109_165414.ans,C:\Users\26096\Desktop\em\FP\CLONALG\best_J0.080216_20260109_165414.ans,best_J0.080216_20260109_165414.ans,best_J0.080216_20260109_165414,.ans,7422664,2026-01-12T05:30:04+01:00,2026-07-30T20:35:03+02:00,137500ac2239a48335690a90c6e5125a54486f51c9f144505b82a9d414bf86cd,,CLONALG,True
CLONALG/best_J0.080216_20260109_165414.fem,C:\Users\26096\Desktop\em\FP\CLONALG\best_J0.080216_20260109_165414.fem,best_J0.080216_20260109_165414.fem,best_J0.080216_20260109_165414,.fem,151956,2026-02-01T05:05:42+01:00,2026-07-30T20:35:03+02:00,d500cbec8e4bc976197646083827305c78f6b6c22dcb253b31c5a1cac36adeee,,CLONALG,True
CLONALG/best_J0.110898_20260103_164233.ans,C:\Users\26096\Desktop\em\FP\CLONALG\best_J0.110898_20260103_164233.ans,best_J0.110898_20260103_164233.ans,best_J0.110898_20260103_164233,.ans,6486863,2026-01-03T09:53:24+01:00,2026-07-30T20:35:03+02:00,8985b7e93edb528952006da66612735ccf0dae97df3732672a441fd457c54b18,2c8081187d696b8f55d88114d5695d05a81c6d9f3b7661cf1d197d1e0a1ad538,CLONALG,True
CLONALG/best_J0.110898_20260103_164233.fem,C:\Users\26096\Desktop\em\FP\CLONALG\best_J0.110898_20260103_164233.fem,best_J0.110898_20260103_164233.fem,best_J0.110898_20260103_164233,.fem,141183,2026-01-03T09:52:52+01:00,2026-07-30T20:35:03+02:00,9b3488d6e5e740e99d49f687d10e511992d36e6a04ce6a8d3648b1649f3655d1,a32f8386db824a7216faf9be448937acf21027c02ba8c78ac9eb596fa72dece1,CLONALG,True
CLONALG/best_J0.150072_20251230_212929.ans,C:\Users\26096\Desktop\em\FP\CLONALG\best_J0.150072_20251230_212929.ans,best_J0.150072_20251230_212929.ans,best_J0.150072_20251230_212929,.ans,5128770,2025-12-31T02:33:54+01:00,2026-07-30T20:35:03+02:00,7e2163f84e50b7f04dd069fb9164f4f67928374c3f0ec8920e0e28fcdd9baa9a,,CLONALG,True
CLONALG/best_J0.150072_20251230_212929.fem,C:\Users\26096\Desktop\em\FP\CLONALG\best_J0.150072_20251230_212929.fem,best_J0.150072_20251230_212929.fem,best_J0.150072_20251230_212929,.fem,58292,2026-01-02T06:30:06+01:00,2026-07-30T20:35:03+02:00,7e3a8c3307da4f9f7dfdce2780fdb0a728acecc05da95f72ecff1943b395d61b,,CLONALG,True
CLONALG/best_J0.157009_20251230_165105.ans,C:\Users\26096\Desktop\em\FP\CLONALG\best_J0.157009_20251230_165105.ans,best_J0.157009_20251230_165105.ans,best_J0.157009_20251230_165105,.ans,5113421,2025-12-30T10:23:52+01:00,2026-07-30T20:35:03+02:00,8dcafeafec06f5941699794ff6452e7bc8dab9f8deb84ff94346df5212349e10,b1b25273648423e876985f34e2cbffbf29396d24d1db7abe6738377f0564475b,CLONALG,True
CLONALG/best_J0.157009_20251230_165105.fem,C:\Users\26096\Desktop\em\FP\CLONALG\best_J0.157009_20251230_165105.fem,best_J0.157009_20251230_165105.fem,best_J0.157009_20251230_165105,.fem,58167,2025-12-30T10:23:28+01:00,2026-07-30T20:35:03+02:00,2d06b09902932d86cf381eb81d8f18fc1bc421ac7deb997f5852372aab0d0ea3,613232a8efcc31f0547bd80f7dfc00a4181efef17a2b1827d8663d1e7944a247,CLONALG,True
