relative_path,variable_path,variable_name,python_type,shape,dtype,min,max,has_nan,has_inf,is_empty,preview
CLONALG/best_result_0103_groupB_5gen.mat,J_hist,J_hist,ndarray,"(5,)",float64,0.11089760421375137,0.12321971632740555,False,False,False,"[0.12321971632740555,0.12321971632740555,0.12321971632740555,0.11089760421375137,0.11089760421375137]"
CLONALG/best_result_0103_groupB_5gen.mat,bestOverall,bestOverall,float,(),float64,0.11089760421375137,0.11089760421375137,False,False,False,[0.11089760421375137]
CLONALG/best_result_0103_groupB_5gen.mat,best_bits,best_bits,ndarray,"(180,)",uint8,0.0,2.0,False,False,False,"[0,1,1,2,1,1,1,1]"
CLONALG/best_result_0103_groupB_5gen.mat,best_bits_hist,best_bits_hist,ndarray,"(5, 180)",uint8,0.0,2.0,False,False,False,"[0,1,1,1,1,1,1,1]"
CLONALG/best_result_0103_groupB_5gen.mat,cfg,cfg,mat_struct,,struct,,,,,False,"fields=nr,nt,r_inner,r_outer,theta_span_deg,slot_center_deg,lip_w,lip_h,top_w,top_h,bottom_w,bottom_h,slot_depth,yoke_buffer_deg"
CLONALG/best_result_0103_groupB_5gen.mat,cfg.nr,nr,int,(),int64,18.0,18.0,False,False,False,[18]
CLONALG/best_result_0103_groupB_5gen.mat,cfg.nt,nt,int,(),int64,10.0,10.0,False,False,False,[10]
CLONALG/best_result_0103_groupB_5gen.mat,cfg.r_inner,r_inner,float,(),float64,31.5,31.5,False,False,False,[31.5]
CLONALG/best_result_0103_groupB_5gen.mat,cfg.r_outer,r_outer,int,(),int64,52.0,52.0,False,False,False,[52]
CLONALG/best_result_0103_groupB_5gen.mat,cfg.theta_span_deg,theta_span_deg,int,(),int64,15.0,15.0,False,False,False,[15]
CLONALG/best_result_0103_groupB_5gen.mat,cfg.slot_center_deg,slot_center_deg,float,(),float64,7.5,7.5,False,False,False,[7.5]
CLONALG/best_result_0103_groupB_5gen.mat,cfg.lip_w,lip_w,float,(),float64,1.8,1.8,False,False,False,[1.8]
CLONALG/best_result_0103_groupB_5gen.mat,cfg.lip_h,lip_h,float,(),float64,2.5,2.5,False,False,False,[2.5]
CLONALG/best_result_0103_groupB_5gen.mat,cfg.top_w,top_w,float,(),float64,8.7,8.7,False,False,False,[8.7]
CLONALG/best_result_0103_groupB_5gen.mat,cfg.top_h,top_h,int,(),int64,2.0,2.0,False,False,False,[2]
CLONALG/best_result_0103_groupB_5gen.mat,cfg.bottom_w,bottom_w,float,(),float64,15.5,15.5,False,False,False,[15.5]
CLONALG/best_result_0103_groupB_5gen.mat,cfg.bottom_h,bottom_h,float,(),float64,15.145,15.145,False,False,False,[15.145]
CLONALG/best_result_0103_groupB_5gen.mat,cfg.slot_depth,slot_depth,float,(),float64,17.5,17.5,False,False,False,[17.5]
CLONALG/best_result_0103_groupB_5gen.mat,cfg.yoke_buffer_deg,yoke_buffer_deg,float,(),float64,0.1,0.1,False,False,False,[0.1]
CLONALG/best_result_0103_groupB_5gen.mat,ctx,ctx,mat_struct,,struct,,,,,False,"fields=domain,sector_offsets_deg,phase_id_sector,groupId_design,baseFemFile,mats,circNames,T_min,penaltyCoef,N_phase_total,groupId_core,groupId_ring,inset_r_ratio,inset_th_ratio,cfg,airCode,ironCode,cuCode,thetaPeriodic"
CLONALG/best_result_0103_groupB_5gen.mat,ctx.domain,domain,mat_struct,,struct,,,,,False,"fields=r_edges,theta_edges,design_mask,slot_mask,slot_center_deg,slot_outline_uv,notes,design_idx,Nd,x_c,y_c,x_core,y_core,x_ring,y_ring"
CLONALG/best_result_0103_groupB_5gen.mat,ctx.domain.r_edges,r_edges,ndarray,"(19,)",float64,31.5,52.0,False,False,False,"[31.5,32.638888888888886,33.77777777777778,34.916666666666664,36.05555555555556,37.19444444444444,38.333333333333336,39.47222222222222]"
CLONALG/best_result_0103_groupB_5gen.mat,ctx.domain.theta_edges,theta_edges,ndarray,"(11,)",float64,0.0,15.0,False,False,False,"[0.0,1.5,3.0,4.5,6.0,7.5,9.0,10.5]"
CLONALG/best_result_0103_groupB_5gen.mat,ctx.domain.design_mask,design_mask,ndarray,"(10, 18)",uint8,1.0,1.0,False,False,False,"[1,1,1,1,1,1,1,1]"
CLONALG/best_result_0103_groupB_5gen.mat,ctx.domain.slot_mask,slot_mask,ndarray,"(10, 18)",uint8,0.0,0.0,False,False,False,"[0,0,0,0,0,0,0,0]"
CLONALG/best_result_0103_groupB_5gen.mat,ctx.domain.slot_center_deg,slot_center_deg,float,(),float64,,,True,False,False,[NaN]
CLONALG/best_result_0103_groupB_5gen.mat,ctx.domain.slot_outline_uv,slot_outline_uv,ndarray,"(0,)",uint8,,,False,False,True,
CLONALG/best_result_0103_groupB_5gen.mat,ctx.domain.notes,notes,ndarray,"(2,)",object,,,,,False,object/cell array
CLONALG/best_result_0103_groupB_5gen.mat,ctx.domain.notes[0],notes[0],str,(),<U56,,,False,False,False,"[""空白定子设计域：在 r∈[r_inner,r_outer], θ∈[0,theta_span_deg] 内离散化""]"
CLONALG/best_result_0103_groupB_5gen.mat,ctx.domain.notes[1],notes[1],str,(),<U45,,,False,False,False,"[""design_mask: true = 优化可切换材料；false = 冻结（含两侧缓冲）""]"
CLONALG/best_result_0103_groupB_5gen.mat,ctx.domain.design_idx,design_idx,ndarray,"(180,)",uint8,1.0,180.0,False,False,False,"[1,2,3,4,5,6,7,8]"
CLONALG/best_result_0103_groupB_5gen.mat,ctx.domain.Nd,Nd,int,(),int64,180.0,180.0,False,False,False,[180]
