parent_id,archive_order,source_proposal_id,parent_parent_id,lineage_id,chromosome_hash,minimum_archive_hamming,topology_cluster
P0001,1,,,L-SEED,00435b1e344f7280618f320a984a2ee6526a0debe44967d6f071d8662a6ceac3,,1
P0002,2,Q0000014,P0001,L-SEED,35c14d9a0d099e60e44e7cbc4f07334e2a4ed868a00474f74300c286750f6ab6,60,1
P0003,3,Q0000075,P0002,L-SEED,933e6894081de8a0a0bd6ed939b95a9f1f873358652a59e5353fc94fdd323ade,51,8
P0004,4,Q0000161,P0003,L-SEED,eaa822b6bfa5cc37547e65925e784c02df854504df5b69afe48cc4c3c3f685ec,41,2
P0005,5,Q0000197,P0003,L-SEED,75cf0b32d440db994df2349b625625ee1e4c128a332fdddadf5ee4d3ac226710,33,8
P0006,6,Q0000246,P0003,L-SEED,7f18145182775d7917c40d744d7fa791eecb7700e427913ba6b08c541f5eeacc,40,5
P0007,7,Q0000330,P0002,L-SEED,176ae9d2dfd067cac282aa7e46a8b13e7e8ffd5135967fc9d64a8073061f9758,40,10
P0008,8,Q0000366,P0006,L-SEED,23d41a4a049cb1e9b8264bedf4f9ea069a6325c9d507f2210b3439c465d62a7e,36,12
P0009,9,Q0000463,P0004,L-SEED,c15b659a2b8abaf90b96653e51f75a91528d9463bfd18910b93add1116c2af92,40,8
P0010,10,Q0000491,P0007,L-SEED,7162366936dd2916da80b9c67785a6495d3ee042e62c2ef68283c91f19672b4f,40,6
P0011,11,Q0000611,P0003,L-SEED,94f03f2186c755e7ad5118c82851180114eb0c68af9f92ae169916b49bd861de,34,3
P0012,12,Q0000623,P0007,L-SEED,33c212b83f20484bfed726d76d37458bdeb13543a6985bf660ae86ded196903b,48,8
P0013,13,Q0000708,P0002,L-SEED,3705955f8938c1db6a70045a180844a77a34a2effdeb3479727283d427b62767,39,10
P0014,14,Q0000765,P0010,L-SEED,e93d5b7ee61ea58690d3a97c76d09627560312f20056aceead22b3ec955a17bf,35,3
P0015,15,Q0000845,P0001,L-SEED,85ada0dd35103a570d56f0bf64d927ddbe72a5cab42df3db4695653b9acc9d04,36,9
P0016,16,Q0000905,P0013,L-SEED,5c12e402b40206dd93d087240fc359729d96906d1d2977c1020360ac4f3c60cc,40,7
P0017,17,Q0000937,P0004,L-SEED,5d38c9dca3eb686acec4d1bb664f1f3ec9d1c7c2c73b2dc9735ffa71f8d68e75,40,12
P0018,18,Q0001009,P0014,L-SEED,a5f97509b7941073ef8d78eb48dccd3dd9e90df65b0eb419ede553722fdf19fe,42,1
