candidate_id,generation,candidate_order,chromosome_hash,rejection_reasons,chromosome_180,created_at
C000002,1,2,90d2e35e5c22e80a9aa867c62661c59f70c262d53814e693f648710be660003c,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,0,2,2,2,2,0,1,1,1,1,2,2,2,2,1,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1]",2026-08-07T00:08:45.297+02:00
C000003,1,3,b077f29c9c6fb7f14db74d5bd9c0cb04c70c0c328fd2ecfc07744d41b5acab86,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,1,2,0,0,1,1,1,1,2,2,2,2,2,0,0,1,0,1,2,2,2,2,2,0,0,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",2026-08-07T00:08:45.384+02:00
C000004,1,4,9850d770934a429d38b8b5be224342c3fcaad5571b5445d93e1174563ab85f92,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,2,2,1,0,1,2,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,0,1,0,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,2,2,2,2,2,2,0,1,1,1,1,2,2,2,0,2,0,1,1,1,1,2,1,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",2026-08-07T00:08:45.485+02:00
C000005,1,5,f17c8d7e2c800ac6c395c4bf6add1f1a30d729244ba87b3a5d4421287f8577f0,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,2,2,2,0,1,1,0,1,1,0,2,2,2,0,1,0,1,1,1,0,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,2,1,1,2,2,2,2,2,0,1,1,1,1,2,0,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,0,2,2,1,0,1,1,1,0,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,2,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1]",2026-08-07T00:08:45.582+02:00
C000006,1,6,0747cde69927f2008423ba6806b64b66d54f8828a86defa4279ef4d651cc41a0,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,2,1,2,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,0,1,1,2,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,1,0,2,0,1,0,0,1,2,2,2,0,0,1,1,1,2,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1]",2026-08-07T00:08:45.711+02:00
C000007,1,7,aa9abdad86b792a239e4a588244c070a481495d2ba43be37459bdb54c9621a79,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,2,2,0,2,0,1,1,1,1,1,0,1,2,2,0,1,1,1,1,1,0,2,1,2,0,0,1,1,1,1,2,2,2,2,0,0,1,1,0,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,2,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,0,2,0,1,1,1,2,2,2,2,1,0,1,0,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,2,1,1,1,1,0,1,2,1,1,1,1,1]",2026-08-07T00:08:45.805+02:00
C000008,1,8,e49327aeaf553ffcdf53bc790f55f50423878185228d4216240ded40bb122269,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,0,1,1,2,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,0,0,0,0,0,1,1,1,1,2,0,2,2,2,0,1,1,1,1,1,0,2,2,2,1,2,1,1,1,1,0,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,0,1,1,1,2,2,2,2,2,0,1,1,0,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,0,1,1,1,2,1,1,0,2,1,1,1,1,1,0,0,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,1,1]",2026-08-07T00:08:45.904+02:00
C000009,1,9,0970ecb781a6fec6b7fa88064311a0bfac57540477b0c5fbff726a6d08baee00,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,1,1,1,1,0,1,1,2,1,0,1,1,0,1,2,1,1,1,1,0,0,0,1,0,1,1,1,2,1,0,2,0,2,0,1,1,1,1,1,0,2,2,0,2,2,1,1,2,0,0,2,2,2,2,1,1,0,1,1,2,2,2,2,0,1,1,2,1,1,2,2,2,2,2,0,0,1,1,2,2,2,2,0,0,0,0,1,1,1,2,1,2,2,2,0,2,1,1,1,0,2,2,2,2,0,1,0,1,1,0,2,2,0,1,0,1,2,0,1,2,1,2,0,2,0,1,0,1,1,2,2,2,0,1,1,1,1,1,2,0,1,0,1,1,1,0,1,2,1,1,2,0,0,1,0,1,2,1,1,1,1,0,1,1,1,0,2,1,1,2,1,2,1,1,1,0,1,1,1]",2026-08-07T00:08:45.987+02:00
C000010,1,10,9843787acfc75fa8f2cc50c7c9bf9dc3a784f78875c41de0eca6613e9967718d,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,2,1,2,1,1,2,1,0,1,0,1,1,2,2,0,2,1,2,0,1,1,1,1,1,0,1,0,2,0,2,0,0,2,2,0,0,0,2,1,0,0,0,0,2,1,0,0,1,1,1,0,0,0,2,0,0,1,1,2,0,2,0,2,1,1,1,2,2,0,1,2,1,0,2,0,2,2,0,1,2,1,2,1,1,2,0,0,1,1,1,2,2,2,1,1,0,1,2,1,1,1,1,1,1,0,2,1,2,1,2,1,2,2,2,2,0,1,0,1,2,1,0,2,2,0,2,2,2,0,2,0,1,0,1,1,2,2,2,0,2,2,0,2,2,1,1,2,0,2,0,2,1,1,1,2,0,2,2,2,2,0,1,0,0,2,2,0,0,0,0,0,2,1,1,0,1,2,0,0]",2026-08-07T00:08:46.087+02:00
C000011,1,11,4812ecb16c6df9553d6025f4d0b7c23d173c16f5c1800f349d89921ced4dcb01,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,0,0,1,1,1,1,1,0,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,1,2,0,1,1,1,1,1,2,2,0,0,1,1,1,0,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",2026-08-07T00:08:46.191+02:00
