tavg_band_nm,delta_t_band_nm,full_scheme_a_train_pool,retained_v2_train,v3_train_quota,v3_selected_over_pool_percent,v2_test_cell_count,smoothed_standardized_v2_error,error_priority_multiplier
<0.5,<0.5,1459,143,1049,71.89856065798492,19,0.24304462223563297,1.8225045194588683
<0.5,0.5-0.75,969,107,328,33.84932920536636,10,0.17339910196909594,1.3002577226432226
<0.5,0.75-1.0,606,68,198,32.67326732673267,10,0.17603248281824396,1.3200045018761148
<0.5,1.0-1.5,393,37,155,39.44020356234097,3,0.1870739831183215,1.4028007555574171
<0.5,1.5-2.0,57,6,57,100.0,0,0.13335748671163622,1.0
<0.5,>=2.0,13,1,13,100.0,0,0.13335748671163622,1.0
0.5-1.0,<0.5,1714,169,838,48.89148191365228,24,0.2262734618537183,1.6967435982278047
0.5-1.0,0.5-0.75,2293,201,803,35.019624945486264,32,0.24088545845739817,1.806313724090149
0.5-1.0,0.75-1.0,1519,146,492,32.38973008558262,18,0.2221468723547032,1.665799782467853
0.5-1.0,1.0-1.5,1309,133,530,40.48892284186402,17,0.290060762116308,2.0
0.5-1.0,1.5-2.0,279,30,279,100.0,4,0.19941752624084164,1.4953605617362111
0.5-1.0,>=2.0,58,6,58,100.0,1,0.17543383431617254,1.3155154513036043
1.0-1.5,<0.5,3634,375,1279,35.19537699504678,50,0.15605221336149153,1.170179621778033
1.0-1.5,0.5-0.75,3079,313,919,29.847353036700227,41,0.202816452206755,1.5208478894425512
1.0-1.5,0.75-1.0,2237,223,639,28.565042467590523,24,0.1832682032171677,1.3742625759996157
1.0-1.5,1.0-1.5,1722,179,631,36.64343786295006,23,0.2302366937225192,1.7264624536631261
1.0-1.5,1.5-2.0,416,39,416,100.0,8,0.3048087608263999,2.0
1.0-1.5,>=2.0,116,12,116,100.0,1,0.14131490627498858,1.0596698375139522
1.5-2.0,<0.5,12960,1291,2657,20.501543209876544,169,0.10162479379737999,0.7620479082447542
1.5-2.0,0.5-0.75,6832,682,1034,15.134660421545668,83,0.11363100117932466,0.8520781545998474
1.5-2.0,0.75-1.0,3310,324,756,22.83987915407855,43,0.17550704503798925,1.3160644322691426
1.5-2.0,1.0-1.5,2153,206,607,28.19321876451463,32,0.1956450683890184,1.467072252284335
1.5-2.0,1.5-2.0,324,33,324,100.0,5,0.24478870602306332,1.8355827787335173
1.5-2.0,>=2.0,122,17,122,100.0,1,0.17931220132608805,1.344597935576136
2.0-2.5,<0.5,472,48,177,37.5,4,0.12546315617842743,0.9408032445131559
2.0-2.5,0.5-0.75,19096,1920,3772,19.752827817343945,245,0.07172108199460371,0.75
2.0-2.5,0.75-1.0,13557,1356,2690,19.84214796783949,172,0.08171914665554518,0.75
2.0-2.5,1.0-1.5,3269,329,997,30.498623432242276,43,0.14790984026602116,1.1091228840106444
2.0-2.5,1.5-2.0,301,33,301,100.0,2,0.14055481786286064,1.0539702069129984
2.0-2.5,>=2.0,63,5,63,100.0,1,0.16113371816235877,1.2082840051626356
2.5-3.0,<0.5,0,0,0,0.0,0,0.13335748671163622,1.0
2.5-3.0,0.5-0.75,635,66,144,22.677165354330707,10,0.112914378439954,0.8467044575016092
2.5-3.0,0.75-1.0,20913,2086,4225,20.202744704250943,260,0.06937203616828391,0.75
2.5-3.0,1.0-1.5,10055,986,2106,20.944803580308303,136,0.0980328527088266,0.75
2.5-3.0,1.5-2.0,633,75,633,100.0,2,0.1387160728207026,1.0401821168139849
2.5-3.0,>=2.0,53,3,53,100.0,1,0.15178073339638168,1.1381493243388932
>=3.0,<0.5,0,0,0,0.0,0,0.13335748671163622,1.0
>=3.0,0.5-0.75,0,0,0,0.0,0,0.13335748671163622,1.0
>=3.0,0.75-1.0,0,0,0,0.0,0,0.13335748671163622,1.0
>=3.0,1.0-1.5,358,33,358,100.0,3,0.13734431875931752,1.029895824718879
>=3.0,1.5-2.0,100,12,100,100.0,2,0.13583936475313096,1.0186107139740974
>=3.0,>=2.0,81,7,81,100.0,1,0.13722785056658882,1.0290224714816472
