split,target,band_nm,sample_count,split_percent
v3_validation,tavg,<0.5,150,3.0
v3_validation,tavg,0.5-1.0,306,6.12
v3_validation,tavg,1.0-1.5,479,9.58
v3_validation,tavg,1.5-2.0,1097,21.94
v3_validation,tavg,2.0-2.5,1568,31.36
v3_validation,tavg,2.5-3.0,1377,27.54
v3_validation,tavg,>=3.0,23,0.46
v3_validation,delta_t,<0.5,860,17.2
v3_validation,delta_t,0.5-0.75,1403,28.06
v3_validation,delta_t,0.75-1.0,1791,35.82
v3_validation,delta_t,1.0-1.5,829,16.58
v3_validation,delta_t,1.5-2.0,90,1.8
v3_validation,delta_t,>=2.0,27,0.54
core_test_v2_comparison,tavg,<0.5,42,2.8
core_test_v2_comparison,tavg,0.5-1.0,96,6.4
core_test_v2_comparison,tavg,1.0-1.5,147,9.8
core_test_v2_comparison,tavg,1.5-2.0,333,22.2
core_test_v2_comparison,tavg,2.0-2.5,467,31.133333333333333
core_test_v2_comparison,tavg,2.5-3.0,409,27.266666666666666
core_test_v2_comparison,tavg,>=3.0,6,0.4
core_test_v2_comparison,delta_t,<0.5,266,17.733333333333334
core_test_v2_comparison,delta_t,0.5-0.75,421,28.066666666666666
core_test_v2_comparison,delta_t,0.75-1.0,527,35.13333333333333
core_test_v2_comparison,delta_t,1.0-1.5,257,17.133333333333333
core_test_v2_comparison,delta_t,1.5-2.0,23,1.5333333333333334
core_test_v2_comparison,delta_t,>=2.0,6,0.4
full_scheme_a_validation,tavg,<0.5,440,3.002183406113537
full_scheme_a_validation,tavg,0.5-1.0,896,6.11353711790393
full_scheme_a_validation,tavg,1.0-1.5,1404,9.579694323144105
full_scheme_a_validation,tavg,1.5-2.0,3216,21.943231441048034
full_scheme_a_validation,tavg,2.0-2.5,4596,31.359170305676855
full_scheme_a_validation,tavg,2.5-3.0,4036,27.5382096069869
full_scheme_a_validation,tavg,>=3.0,68,0.46397379912663755
full_scheme_a_validation,delta_t,<0.5,2520,17.194323144104803
full_scheme_a_validation,delta_t,0.5-0.75,4109,28.036299126637555
full_scheme_a_validation,delta_t,0.75-1.0,5249,35.81468340611354
full_scheme_a_validation,delta_t,1.0-1.5,2431,16.587063318777293
full_scheme_a_validation,delta_t,1.5-2.0,266,1.8149563318777293
full_scheme_a_validation,delta_t,>=2.0,81,0.552674672489083
full_scheme_a_test,tavg,<0.5,440,3.002388263391334
full_scheme_a_test,tavg,0.5-1.0,896,6.11395428181508
full_scheme_a_test,tavg,1.0-1.5,1403,9.57352439440464
full_scheme_a_test,tavg,1.5-2.0,3216,21.944728761514842
full_scheme_a_test,tavg,2.0-2.5,4596,31.36131013306039
full_scheme_a_test,tavg,2.5-3.0,4036,27.540088706925964
full_scheme_a_test,tavg,>=3.0,68,0.46400545888775163
full_scheme_a_test,delta_t,<0.5,2546,17.372910269532582
full_scheme_a_test,delta_t,0.5-0.75,4138,28.236096895257592
full_scheme_a_test,delta_t,0.75-1.0,5219,35.61241896963494
full_scheme_a_test,delta_t,1.0-1.5,2439,16.642784032753326
full_scheme_a_test,delta_t,1.5-2.0,264,1.8014329580348003
full_scheme_a_test,delta_t,>=2.0,49,0.3343568747867622
