candidate_index,gene_id,source,source_row,generation_source,original_role,family_id,tavg_nm,delta_t_nm
0,e09b8d99bb757d7a54446c704b7f4e709239ee3df9a086b2486a32d3807b211a,historical40000_lcmd,0,old_train,old_train,,3.4584581923093514,0.25304755933490775
1,b40d06656966dc1bbd978c5e023794d11199d23bbc1032d8a5f9b08c51adea18,historical40000_lcmd,1,old_train,old_train,,3.49176354057534,0.32728238842434587
2,78ad181d7fef796cff45b27dabaa2c0267e1c0a114e940460cbec136a6919ab8,historical40000_lcmd,2,old_train,old_train,,2.9460126914973888,0.568446418468119
3,cc684abef062cd7ac5982c841b0d81ef7e118224a4b7a9979e841125a8a1f32a,historical40000_lcmd,3,old_train,old_train,,3.1699854039026882,0.40521455476804613
4,24142df376f62acbb4e8d875d47c398228418aa003fce090fabb275680360719,historical40000_lcmd,4,old_train,old_train,,3.036756558704838,0.1253974045280808
5,6a63952597dddf32d4b5d92844805ef020ace8a1a85cdb111cb247fef359ddf1,historical40000_lcmd,5,old_train,old_train,,3.2819199049204624,0.2953942542317822
6,44ecd76f048463c0dce6238af9f2118c0f87a9145861beb5da32b9f8089c74c9,historical40000_lcmd,6,old_train,old_train,,3.37195345762743,0.6987021144417311
7,1be7f71ee1c760c228750566c90553f65bdfd07de7afaead51c20af67e5628a0,historical40000_lcmd,7,old_train,old_train,,3.011344724859922,0.0904218805955943
8,8da5d315fc513357145034c4c7718dbb3ea72d21f63971495ea2876197964f2a,historical40000_lcmd,8,old_train,old_train,,3.224811892457103,0.436955068067713
9,4ac3ea13a6e4bcc16df14bb69291b7f40069903290364e05e45b7cc4f5838167,historical40000_lcmd,9,old_train,old_train,,3.3559407818973868,0.533353656425446
10,e509786b69b308e472b374d5ddfef89b644cd0e60c49386eb4258b53d8a9505d,historical40000_lcmd,10,old_train,old_train,,3.181293536160315,0.4660234829442689
11,1f3c87dcc318f9a9330f5b69ec146ba9ab809b3bae2421fb24054d5faeebd7ee,historical40000_lcmd,11,old_train,old_train,,3.3618734574837306,0.3974101227469453
12,2c6157a8c41fa84f1639dd13cf903a4c17cd8d24e5c983ea8231b7734d8a191c,historical40000_lcmd,12,old_train,old_train,,3.222904534797364,0.15436059540326807
13,296013b7818c3d90f7f6f5abe47af7dc16a91d6f06eb6af266ed00970834f2a6,historical40000_lcmd,13,old_train,old_train,,1.982271974012648,0.18329756426716504
14,84f97b8528f27ddbd4d6ef2fe6e0c318433b31291e13f0c2c535c22acccb8079,historical40000_lcmd,14,old_train,old_train,,3.125385757284203,0.5685496136410593
15,c245eaf491c8390ff6b4f3f180f90ececcc88931f2025815374303c71ea5ad43,historical40000_lcmd,15,old_train,old_train,,3.2848943580526426,0.4170352511636648
16,e8100c48c74e5c921124766512174127b6a78f55d618dd891873392aea06fee7,historical40000_lcmd,16,old_train,old_train,,3.6454874184180466,0.308647669443912
17,2d1d7be291418d017d6c014988ebdb8908f90c53f71431b2e835748defcb966c,historical40000_lcmd,17,old_train,old_train,,2.5858793770884563,0.21856014987767303
18,279e1d599ba6afa054db76d72c48867d78435ae5218ce1e435659ced18cfeead,historical40000_lcmd,18,old_train,old_train,,3.3357172400049984,0.310792470782578
19,49d65c1d304293f1af9a0cc471079d161c51c8dbfaf8f1a383cabaca11b4b20b,historical40000_lcmd,19,old_train,old_train,,2.9533431104074293,0.2945009561449061
20,c9091bf7f49b4bd11564d26bfaa0bed569e12246c47916ee25d86fe0ec198b56,historical40000_lcmd,20,old_train,old_train,,3.6121372099766056,0.5914068374987149
21,20c4f53b659c5f67747e62e3794e0cf892ce380bc92f1b73f8a5c2bcc113c6a8,historical40000_lcmd,21,old_train,old_train,,3.3275585639752596,0.1454517586728481
22,fef936a03776daa9ff92783488af6d61035711dee812e53b7c2429ef41340168,historical40000_lcmd,22,old_train,old_train,,3.4169724197202824,0.4842525819408232
23,edf817c7906702aa7e20efd6ddd7f626b7bee522f9a9d5264c75d7ef17001d23,historical40000_lcmd,23,old_train,old_train,,2.422659680384691,0.5995214615434716
24,dda999cc7a5a8c2719eae7c56e5b95823102f6ab7c72f2356994a79b9d471f09,historical40000_lcmd,24,old_train,old_train,,2.945015412001355,0.3091304560304122
25,5e590268b859991eaa223953bffcd895373b8f1408e9184506e28d8bb1747759,historical40000_lcmd,25,old_train,old_train,,3.219772171399742,0.35178996760188896
26,3d5d080e638f8391df9e2624853d8f4796dc92a53027ce9ff763f67303a5f7e3,historical40000_lcmd,26,old_train,old_train,,2.856654302391206,0.5901809745322351
27,71d227653070362e100a059b42e0ba394a91d3e7a8fb21b7c0df9e060b26d21a,historical40000_lcmd,27,old_train,old_train,,3.1403466274593885,0.7803168749729692
28,eb80aee0abe0636a7c9f0c7daab198d7cc7c855156ad4e5554c9d8bfa5010f2b,historical40000_lcmd,28,old_train,old_train,,3.305531415100747,0.3559816059521328
29,ba7f2d4baea8375adb8e41dde54b048f40402dc72d9214f170435cdfd89b501f,historical40000_lcmd,29,old_train,old_train,,3.653879673494771,0.40588208878571486
30,d8db2e675f0ab90471f3426d42f60c394670d8ec540fe388aada378048e2df3e,historical40000_lcmd,30,old_train,old_train,,3.6438466282149062,0.3795842371188698
31,1f90c2fb95c49ac04e8d09bd9b4446f18b8e3d866b514e78820a6c8226605c8b,historical40000_lcmd,31,old_train,old_train,,3.4401698230659092,0.4103460216741204
32,95f56cedda7a93200b9b75ecc66ab245557e0db4fd5797ac91d9082f75e6491f,historical40000_lcmd,32,old_train,old_train,,3.5018299233195047,0.3072346328384641
33,e73ef257d0cf6ae0600e050e4632c8c1ff2d538d8390acec63aa4fdb291de528,historical40000_lcmd,33,old_train,old_train,,2.7247892551089095,0.18771498739888814
34,1c1d1ee1e639964df61d1826d3a2a2123e5b718b340e26a530b4569dd3a33152,historical40000_lcmd,34,old_train,old_train,,3.296373137606994,0.41494752475418784
35,021670b21d73186d6babee8459de0fc361be1497b45eb2ea3b8e9b339830c83d,historical40000_lcmd,35,old_train,old_train,,3.5827690288430265,0.23657979719569422
36,1a8fe51f6a9fd56d20ae07e3208a6e04826c789170782d6a88baa95afcd3ad84,historical40000_lcmd,36,old_train,old_train,,2.6820704982394203,0.6852801169019682
37,bebc74e53619784138cc0bebae3ed2b75e972a32815712a8492ab9bbb7e93660,historical40000_lcmd,37,old_train,old_train,,3.1498936499243335,0.3041970517912227
38,4fba576ede5e8167af863279b4c41c48a686158007464f389f3ae17911302af5,historical40000_lcmd,38,old_train,old_train,,3.4226601431005967,0.32129574702877406
39,786fba5ed01de02434cac097e3a48e9b126f2847cd055395e50c8e151e018e71,historical40000_lcmd,39,old_train,old_train,,2.945061103540656,0.277656456570889
40,25a61ac021cb44b83d202514cffb4f9e5793b831df9deaf4128d9e5ca0bde0e0,historical40000_lcmd,40,old_train,old_train,,3.4359637144004407,0.455111684791925
41,de21932eb070d2bfe2e24cd1d7e7a216a0e5a47bb338be013124957c76861e99,historical40000_lcmd,41,old_train,old_train,,3.482879134106307,0.33374191426052624
42,aa66cc1bb338c43b323959ff7522d0c17846d9ccd7d2588349ff06d4b8a7de6a,historical40000_lcmd,42,old_train,old_train,,3.3753581650792195,0.24925623796130703
43,da75769bca420bc23b47b2640e0b48a138dc44be65515fe73282acd8275ab71e,historical40000_lcmd,43,old_train,old_train,,3.5777421318774074,0.3560378030029123
44,3cd5103b8d4a6926e74c3c4710ff942e47c16c02e47890dd42a144356f5074d4,historical40000_lcmd,44,old_train,old_train,,3.225725141708649,0.304479426492239
45,4a0184aad2b75fdd4d91e0d6566f4e81978576448c104de4e4cf4c56e99e869f,historical40000_lcmd,45,old_train,old_train,,3.164467635732597,0.7380007297630131
46,8da0f882ec9b8cab2f8af0b0ad0013c538cffb3b49399d3f2d8b79613a74d6b6,historical40000_lcmd,46,old_train,old_train,,3.5883168091292266,0.25372355435230576
47,e5938fea9502455929bf65e91418031d8610689967aba657375d864301b23932,historical40000_lcmd,47,old_train,old_train,,3.17128562796732,0.46068168638113116
48,1b9af9f209ae4636ffd5d7bf98dc1e3b369457eeb14ed4dd05997252bb1dcda1,historical40000_lcmd,48,old_train,old_train,,3.752015566913061,0.3794772289975943
49,16c3bac22f08b808e89367c09b3f6493482e856f6a23c0d005e2f1e88fed8683,historical40000_lcmd,49,old_train,old_train,,2.2105257883237597,0.235805662624736
50,9a9e5bce0fd7fd1b118156ebf47bbc08abed2a73b2cad5f4bb542fdee156b675,historical40000_lcmd,50,old_train,old_train,,2.3569361278102963,0.37008546618592497
51,1ef42ca7cf4f3c3b34ebe4065b027dd9643c6011c72725987f72a364752f82ec,historical40000_lcmd,51,old_train,old_train,,3.2853283469415455,0.16902448101991174
52,07aec4be397e1ff5b34bc999ac53fc52d2fd3aa9ee7fb6050cb34ed1f5dab775,historical40000_lcmd,52,old_train,old_train,,3.2308576378963125,0.6158203771583328
53,169eb3f9fcdb7ec1623f4a683540debc06915a262e34a8db61c024c06e463662,historical40000_lcmd,53,old_train,old_train,,3.279641726978117,0.545835651104376
54,02fde2404226b8b772d3874aefdbe34a0e1b4d5d697c779d1272b82a1f3d6455,historical40000_lcmd,54,old_train,old_train,,2.3165141891365533,0.747497893753855
55,59c704bf911e5e99272596597d2369cd0ac5bb9220e87be41ec35c0eeff3d509,historical40000_lcmd,55,old_train,old_train,,3.393684432433781,0.09794895309849805
56,14bea618865cc91d36c5c0abc332770b271aefe2c825baef14a08918a3dd6c6e,historical40000_lcmd,56,old_train,old_train,,3.6055158661779116,0.21778540922513523
57,afd5ebcd3c12e42d823667fd803bcf4a98eae223fce7278bae33be1503ae9384,historical40000_lcmd,57,old_train,old_train,,3.3778178637154075,0.225021165866917
58,41e9bb004b09d690700c81dcaf490c453b557ea430dd6ddf044be234fd621cf0,historical40000_lcmd,58,old_train,old_train,,3.6647001261543894,0.17402309616074696
59,1c9fb6da2117990ae3ecdfc040e8c4597827484ca440d1917afd4dad8fc697e8,historical40000_lcmd,59,old_train,old_train,,3.2875770323793465,0.509429580761565
60,04322766233651802f4be3f1cf7e93c5b4ef813da01fbf2c3d9e9f1a4e103d6b,historical40000_lcmd,60,old_train,old_train,,3.289231132987657,0.21612331121208816
61,99efff098736c8e0cf3ba99f2b0c79c9e11ec6624f4b9e3dfe62ccffdcc38edb,historical40000_lcmd,61,old_train,old_train,,2.9306079099718887,0.746531625754872
62,45b3c84be60f5a209f8ef4cb4ceddbf29695a9d1e0a85e31577eae826aef133f,historical40000_lcmd,62,old_train,old_train,,2.876364372906042,0.6194613752641422
63,fa2bda09f5788e9fd9efb5b19c0accdf21cc647fc5de5c3b2768a5e99ac5d04a,historical40000_lcmd,63,old_train,old_train,,3.7291730130622476,0.2613948170322491
64,8501b6a6a2a9788d44600a11fb02593487f5af537c5879587c198cb695b05a72,historical40000_lcmd,64,old_train,old_train,,3.307430053725831,0.5592868571526761
65,8dcce9854bbbf054af4767c6bfe9dc998e07931c6ed6b3dd4658a0fa91d6e9b3,historical40000_lcmd,65,old_train,old_train,,3.466212062574988,0.541640983861015
66,6d3f5ed06ddeed04440159a3aa1d897318355bfa99e2509082f69271e9858929,historical40000_lcmd,66,old_train,old_train,,2.826136213117497,0.3696864723884987
67,71430fde37ad8c890cc9a48ae8150d4c76e6154a57098776cdb604de93d36118,historical40000_lcmd,67,old_train,old_train,,3.1670653710211893,0.22110944324308157
68,3da4ba8568d0616920d14c858294a509bd61d40ed4e13123c022c2ae47e78c57,historical40000_lcmd,68,old_train,old_train,,2.037906243939591,1.007549600078783
69,4cec4ff505213c4ff0fdc6d0f21c8c2926f195c258c5ea2cd0a85d57bd2b0272,historical40000_lcmd,69,old_train,old_train,,3.6120454089320635,0.515241912021013
70,dba56bea9ef1632ecd9582093296375f2033fab6fed0b2a2bbe93dd324678ad8,historical40000_lcmd,70,old_train,old_train,,2.442418909658591,0.7197829651437821
