original_angular_index_0based,copy_index_0based,physical_center_angle_deg,gap90_column_0based
0,0,85.637462670537,4
0,1,49.362537329463,43
0,2,40.637462670537,53
0,3,4.362537329463,92
1,0,84.707336379741,5
1,1,50.292663620259,42
1,2,39.707336379741,54
1,3,5.292663620259,91
2,0,83.777210088944,6
2,1,51.222789911056,41
2,2,38.777210088944,55
2,3,6.222789911056,90
3,0,82.847083798147,7
3,1,52.152916201853,40
3,2,37.847083798147,56
3,3,7.152916201853,89
4,0,81.916957507350,8
4,1,53.083042492650,39
4,2,36.916957507350,57
4,3,8.083042492650,88
5,0,80.986831216553,9
5,1,54.013168783447,38
5,2,35.986831216553,58
5,3,9.013168783447,87
6,0,80.056704925757,10
6,1,54.943295074243,37
6,2,35.056704925757,59
6,3,9.943295074243,86
7,0,79.126578634960,11
7,1,55.873421365040,36
7,2,34.126578634960,60
7,3,10.873421365040,85
8,0,78.196452344163,12
8,1,56.803547655837,35
8,2,33.196452344163,61
8,3,11.803547655837,84
9,0,77.266326053366,13
9,1,57.733673946634,34
9,2,32.266326053366,62
9,3,12.733673946634,83
10,0,76.336199762570,14
10,1,58.663800237430,33
10,2,31.336199762570,63
10,3,13.663800237430,82
11,0,75.406073471773,15
11,1,59.593926528227,32
11,2,30.406073471773,64
11,3,14.593926528227,81
12,0,74.475947180976,16
12,1,60.524052819024,31
12,2,29.475947180976,65
12,3,15.524052819024,80
13,0,73.545820890179,17
13,1,61.454179109821,30
13,2,28.545820890179,66
13,3,16.454179109821,79
14,0,72.615694599382,18
14,1,62.384305400618,29
14,2,27.615694599382,67
14,3,17.384305400618,78
15,0,71.685568308586,19
15,1,63.314431691414,28
15,2,26.685568308586,68
15,3,18.314431691414,77
16,0,70.755442017789,20
16,1,64.244557982211,27
16,2,25.755442017789,69
16,3,19.244557982211,76
17,0,69.825315726992,21
17,1,65.174684273008,26
17,2,24.825315726992,70
17,3,20.174684273008,75
18,0,68.895189436195,22
18,1,66.104810563805,25
18,2,23.895189436195,71
18,3,21.104810563805,74
19,0,67.965063145398,23
19,1,67.034936854602,24
19,2,22.965063145398,72
19,3,22.034936854602,73
