generation,architecture,input,data_source,new_sample_fraction,sp_alpha,sp_beta,update_step,original_epoch,checkpoint_role,checkpoint_path,sha256,passes_original_acceptance,acceptance_reference,selected_for_current_expansion,historical_only_no_new_experiments,state_signature_sha256
f0,mini_inception_v2,logical6x20,old_train_only,0.0,1.0,0.0,0,34,original_frozen,cnn_zone/models/v3_40000_6runs/logical6x20/mini_inception_v2/seed_20260903/best_checkpoint.pt,ecb2d1671d4725b1cff2fadac768b97210dc33b8d401f7b8e6654030d77ace75,reference_not_applicable,own architecture f0; two old MAEs <=1.05 times f0 and new-dev MSE improved,False,True,7d20b45a038999cb27ef797a5fa4389e5d85b7b05c11a7176bbe3769b0ebcded
f0,resnet20_v2,logical6x20,old_train_only,0.0,1.0,0.0,0,77,original_frozen,cnn_zone/models/v3_40000_6runs/logical6x20/resnet20_v2/seed_20260903/best_checkpoint.pt,7ae9772b953a02a2e4b20bb9afde965b8e3ceab38d3d7838a6be4758f9a8054b,reference_not_applicable,own architecture f0; two old MAEs <=1.05 times f0 and new-dev MSE improved,False,False,3c7d93743ecdfd263cbf1b14a5a97b2cae0296c1ffe5e03b1c3d9b6d79d47b49
f0,small_cnn_v2,logical6x20,old_train_only,0.0,1.0,0.0,0,40,original_frozen,cnn_zone/models/v3_40000_6runs/logical6x20/small_cnn_v2/seed_20260903/best_checkpoint.pt,5e50973958fcf8baad986e9b9f69879e1b766223674c8ef5e90aaad791f48126,reference_not_applicable,own architecture f0; two old MAEs <=1.05 times f0 and new-dev MSE improved,False,False,c9c990624624728353a73ac6138603e9213b32aaff7f689d34ed89597d2154ae
f0,vgg16_v2,polar360_224,old_train_only,0.0,1.0,0.0,0,37,original_frozen,cnn_zone/models/v3_40000_6runs/polar360_224/vgg16_v2/seed_20260903/best_checkpoint.pt,4301304cb18531dd580398d5f3e4cec3191ce85d4ea9ac210967b1ac3ef55249,reference_not_applicable,own architecture f0; two old MAEs <=1.05 times f0 and new-dev MSE improved,False,False,545d84ff1bfa5226485bb0b20702f2e825e113efe9f3bd83a0522e71ca380181
f0,vgg16_v2,polar90_224,old_train_only,0.0,1.0,0.0,0,39,original_frozen,cnn_zone/models/v3_40000_6runs/polar90_224/vgg16_v2/seed_20260903/best_checkpoint.pt,34cdee2e373e36ecd40e82197de5ea34941397bafea5f586cb00eb87dbfe58ba,reference_not_applicable,own architecture f0; two old MAEs <=1.05 times f0 and new-dev MSE improved,False,False,e446d9884d1903423d2d21fda57c4123aee32db0e559a4e8abd815233046c8d4
f0,vgg16_v2,xy360_224,old_train_only,0.0,1.0,0.0,0,40,original_frozen,cnn_zone/models/v3_40000_6runs/xy360_224/vgg16_v2/seed_20260903/best_checkpoint.pt,d12eaf15ec0b49b3778cb1ea3ab4021de3ddc5a619f74d9894a017ac2e4e85cd,reference_not_applicable,own architecture f0; two old MAEs <=1.05 times f0 and new-dev MSE improved,False,False,e446d9884d1903423d2d21fda57c4123aee32db0e559a4e8abd815233046c8d4
f0,vgg16_v2,xy90_224,old_train_only,0.0,1.0,0.0,0,39,original_frozen,cnn_zone/models/v3_40000_6runs/xy90_224/vgg16_v2/seed_20260903/best_checkpoint.pt,186fa8fdade93ca4c56609f454a3ad7adcd41b008e09166a0a03715996b90f66,reference_not_applicable,own architecture f0; two old MAEs <=1.05 times f0 and new-dev MSE improved,False,False,e446d9884d1903423d2d21fda57c4123aee32db0e559a4e8abd815233046c8d4
f1,cnn_zone.src.models_v2.Semantic224VGG16V2,polar90_224,G-S,0.125,1.0,0.0,5000,,best_unconstrained,experiments/cnn_replay_update_v2/runs/G-S/best_unconstrained.pt,8c2b481f620b757dcf2a27825c1b374495dbbe38b914c0bed82157839e38dc2b,False,own architecture f0; two old MAEs <=1.05 times f0 and new-dev MSE improved,False,False,e446d9884d1903423d2d21fda57c4123aee32db0e559a4e8abd815233046c8d4
f1,cnn_zone.src.models_v2.Semantic224VGG16V2,polar90_224,F-S,0.125,1.0,0.0,4000,,best_unconstrained,experiments/cnn_replay_update_v2/runs/F-S/best_unconstrained.pt,9612f9892e76bc354ca6c6e885a57b29f865da8b84d0f3b67b195befc6980346,False,own architecture f0; two old MAEs <=1.05 times f0 and new-dev MSE improved,True,False,e446d9884d1903423d2d21fda57c4123aee32db0e559a4e8abd815233046c8d4
f1,cnn_zone.src.models_v2.Logical6x20SmallCNNV2,logical6x20,G-S,0.125,1.0,0.0,15500,,best_unconstrained,experiments/cnn_replay_update_v2/logical6x20/small_cnn_v2/runs/G-S/best_unconstrained.pt,c818d8a4bf417fe511f0d2dc1498dfa9df5c184e19702ca085981e9dbd45f96b,False,own architecture f0; two old MAEs <=1.05 times f0 and new-dev MSE improved,False,False,c9c990624624728353a73ac6138603e9213b32aaff7f689d34ed89597d2154ae
f1,cnn_zone.src.models_v2.Logical6x20SmallCNNV2,logical6x20,G-S,0.125,1.0,0.0,11500,,best_feasible,experiments/cnn_replay_update_v2/logical6x20/small_cnn_v2/runs/G-S/best_feasible.pt,6daf1905395b18d0a6b6677cb5fed4d243c1328219f6208cc04e73b026101d1f,True,own architecture f0; two old MAEs <=1.05 times f0 and new-dev MSE improved,False,False,c9c990624624728353a73ac6138603e9213b32aaff7f689d34ed89597d2154ae
f1,cnn_zone.src.models_v2.Logical6x20SmallCNNV2,logical6x20,F-S,0.125,1.0,0.0,9500,,best_unconstrained,experiments/cnn_replay_update_v2/logical6x20/small_cnn_v2/runs/F-S/best_unconstrained.pt,cef42b40342d0b3c44c94ba1e09dcac2fd07276f8a4c113bbaaf881387ed3c4e,False,own architecture f0; two old MAEs <=1.05 times f0 and new-dev MSE improved,False,False,c9c990624624728353a73ac6138603e9213b32aaff7f689d34ed89597d2154ae
f1,cnn_zone.src.models_v2.Logical6x20ResNet20V2,logical6x20,G-S,0.125,1.0,0.0,15500,,best_unconstrained,experiments/cnn_replay_update_v2/logical6x20/resnet20_v2/runs/G-S/best_unconstrained.pt,46bd26f538d2f5342ade5e7d33ef35ba7f895108c91c23529212a845f3e5b9ab,False,own architecture f0; two old MAEs <=1.05 times f0 and new-dev MSE improved,False,False,3c7d93743ecdfd263cbf1b14a5a97b2cae0296c1ffe5e03b1c3d9b6d79d47b49
f1,cnn_zone.src.models_v2.Logical6x20ResNet20V2,logical6x20,F-S,0.125,1.0,0.0,10000,,best_unconstrained,experiments/cnn_replay_update_v2/logical6x20/resnet20_v2/runs/F-S/best_unconstrained.pt,44f669c611835e4e5b449adc6ff05eb4f39bbd17373debea9fabfa00ef094210,False,own architecture f0; two old MAEs <=1.05 times f0 and new-dev MSE improved,False,False,3c7d93743ecdfd263cbf1b14a5a97b2cae0296c1ffe5e03b1c3d9b6d79d47b49
f2,cnn_zone.src.models_v2.Logical6x20SmallCNNV2,logical6x20,F-S,0.125,0.5,0.01,9000,,best_unconstrained,experiments/cnn_shrink_perturb_v1/alpha_050/runs/F-S/best_unconstrained.pt,c3ec14c1c47401d65490e931d00c384063f646652fc95fa5cb64e0ba3d4e492a,False,own architecture f0; two old MAEs <=1.05 times f0 and new-dev MSE improved,False,False,c9c990624624728353a73ac6138603e9213b32aaff7f689d34ed89597d2154ae
f2,cnn_zone.src.models_v2.Logical6x20SmallCNNV2,logical6x20,G-S,0.125,0.5,0.01,10000,,best_unconstrained,experiments/cnn_shrink_perturb_v1/alpha_050/runs/G-S/best_unconstrained.pt,aafea2727826983663b650e08f681a872a9b04d0dc90fc5ac29cb724cd238419,False,own architecture f0; two old MAEs <=1.05 times f0 and new-dev MSE improved,False,False,c9c990624624728353a73ac6138603e9213b32aaff7f689d34ed89597d2154ae
f2,cnn_zone.src.models_v2.Logical6x20SmallCNNV2,logical6x20,G-S,0.125,0.5,0.01,15000,,best_feasible,experiments/cnn_shrink_perturb_v1/alpha_050/runs/G-S/best_feasible.pt,7aa0b1b728cc37cac4f0031f2fb7504f5b304e66e41545a3253229f8678c3ad0,True,own architecture f0; two old MAEs <=1.05 times f0 and new-dev MSE improved,False,False,c9c990624624728353a73ac6138603e9213b32aaff7f689d34ed89597d2154ae
f2,cnn_zone.src.models_v2.Logical6x20SmallCNNV2,logical6x20,F-S,0.125,0.8,0.01,9500,,best_unconstrained,experiments/cnn_shrink_perturb_v1/alpha_080/runs/F-S/best_unconstrained.pt,03e68bdb0c9da8ae3db6bc6768ea5c0a88927e3086111ae15ebce17ba7b7bfc2,False,own architecture f0; two old MAEs <=1.05 times f0 and new-dev MSE improved,False,False,c9c990624624728353a73ac6138603e9213b32aaff7f689d34ed89597d2154ae
f2,cnn_zone.src.models_v2.Logical6x20SmallCNNV2,logical6x20,G-S,0.125,0.8,0.01,13500,,best_unconstrained,experiments/cnn_shrink_perturb_v1/alpha_080/runs/G-S/best_unconstrained.pt,9a4607a96f6822ed0beb2e24b1831e03903738ea494e03a1a0866cd2e4df3203,True,own architecture f0; two old MAEs <=1.05 times f0 and new-dev MSE improved,False,False,c9c990624624728353a73ac6138603e9213b32aaff7f689d34ed89597d2154ae
f2,cnn_zone.src.models_v2.Logical6x20SmallCNNV2,logical6x20,G-S,0.125,0.8,0.01,13500,,best_feasible,experiments/cnn_shrink_perturb_v1/alpha_080/runs/G-S/best_feasible.pt,beb7917d9abaaff24392ec001e169db654765e6c44b415ed6b70c4cb2c5d3852,True,own architecture f0; two old MAEs <=1.05 times f0 and new-dev MSE improved,False,False,c9c990624624728353a73ac6138603e9213b32aaff7f689d34ed89597d2154ae
f2,cnn_zone.src.models_v2.Logical6x20SmallCNNV2,logical6x20,F-S,0.125,0.95,0.01,12500,,best_unconstrained,experiments/cnn_shrink_perturb_v1/alpha_095/runs/F-S/best_unconstrained.pt,77f07c99a3b9928fffc63fb8a9df5708a67db89d5b4f36ceb13abc039f718853,False,own architecture f0; two old MAEs <=1.05 times f0 and new-dev MSE improved,False,False,c9c990624624728353a73ac6138603e9213b32aaff7f689d34ed89597d2154ae
f2,cnn_zone.src.models_v2.Logical6x20SmallCNNV2,logical6x20,G-S,0.125,0.95,0.01,15500,,best_unconstrained,experiments/cnn_shrink_perturb_v1/alpha_095/runs/G-S/best_unconstrained.pt,f741a55fa77e6fb706b55334e3b2989272cd3c8087e6b0917d2737a0660efa78,True,own architecture f0; two old MAEs <=1.05 times f0 and new-dev MSE improved,False,False,c9c990624624728353a73ac6138603e9213b32aaff7f689d34ed89597d2154ae
f2,cnn_zone.src.models_v2.Logical6x20SmallCNNV2,logical6x20,G-S,0.125,0.95,0.01,15500,,best_feasible,experiments/cnn_shrink_perturb_v1/alpha_095/runs/G-S/best_feasible.pt,4edb960e0f234dc3cc2d7170f1540d83ed92bae7dce10ecc857a566253458da5,True,own architecture f0; two old MAEs <=1.05 times f0 and new-dev MSE improved,False,False,c9c990624624728353a73ac6138603e9213b32aaff7f689d34ed89597d2154ae
