candidate_index,gene_id,split,super_pool,source_primary,generation_source,original_role,stratum
0,e09b8d99bb757d7a54446c704b7f4e709239ee3df9a086b2486a32d3807b211a,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
1,b40d06656966dc1bbd978c5e023794d11199d23bbc1032d8a5f9b08c51adea18,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
2,78ad181d7fef796cff45b27dabaa2c0267e1c0a114e940460cbec136a6919ab8,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
3,cc684abef062cd7ac5982c841b0d81ef7e118224a4b7a9979e841125a8a1f32a,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
4,24142df376f62acbb4e8d875d47c398228418aa003fce090fabb275680360719,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
5,6a63952597dddf32d4b5d92844805ef020ace8a1a85cdb111cb247fef359ddf1,test,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
6,44ecd76f048463c0dce6238af9f2118c0f87a9145861beb5da32b9f8089c74c9,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
7,1be7f71ee1c760c228750566c90553f65bdfd07de7afaead51c20af67e5628a0,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
8,8da5d315fc513357145034c4c7718dbb3ea72d21f63971495ea2876197964f2a,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
9,4ac3ea13a6e4bcc16df14bb69291b7f40069903290364e05e45b7cc4f5838167,test,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
10,e509786b69b308e472b374d5ddfef89b644cd0e60c49386eb4258b53d8a9505d,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
11,1f3c87dcc318f9a9330f5b69ec146ba9ab809b3bae2421fb24054d5faeebd7ee,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
12,2c6157a8c41fa84f1639dd13cf903a4c17cd8d24e5c983ea8231b7734d8a191c,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
13,296013b7818c3d90f7f6f5abe47af7dc16a91d6f06eb6af266ed00970834f2a6,test,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
14,84f97b8528f27ddbd4d6ef2fe6e0c318433b31291e13f0c2c535c22acccb8079,test,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
15,c245eaf491c8390ff6b4f3f180f90ececcc88931f2025815374303c71ea5ad43,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
16,e8100c48c74e5c921124766512174127b6a78f55d618dd891873392aea06fee7,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
17,2d1d7be291418d017d6c014988ebdb8908f90c53f71431b2e835748defcb966c,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
18,279e1d599ba6afa054db76d72c48867d78435ae5218ce1e435659ced18cfeead,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
19,49d65c1d304293f1af9a0cc471079d161c51c8dbfaf8f1a383cabaca11b4b20b,test,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
20,c9091bf7f49b4bd11564d26bfaa0bed569e12246c47916ee25d86fe0ec198b56,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
21,20c4f53b659c5f67747e62e3794e0cf892ce380bc92f1b73f8a5c2bcc113c6a8,validation,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
22,fef936a03776daa9ff92783488af6d61035711dee812e53b7c2429ef41340168,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
23,edf817c7906702aa7e20efd6ddd7f626b7bee522f9a9d5264c75d7ef17001d23,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
24,dda999cc7a5a8c2719eae7c56e5b95823102f6ab7c72f2356994a79b9d471f09,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
25,5e590268b859991eaa223953bffcd895373b8f1408e9184506e28d8bb1747759,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
26,3d5d080e638f8391df9e2624853d8f4796dc92a53027ce9ff763f67303a5f7e3,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
27,71d227653070362e100a059b42e0ba394a91d3e7a8fb21b7c0df9e060b26d21a,test,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
28,eb80aee0abe0636a7c9f0c7daab198d7cc7c855156ad4e5554c9d8bfa5010f2b,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
29,ba7f2d4baea8375adb8e41dde54b048f40402dc72d9214f170435cdfd89b501f,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
30,d8db2e675f0ab90471f3426d42f60c394670d8ec540fe388aada378048e2df3e,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
31,1f90c2fb95c49ac04e8d09bd9b4446f18b8e3d866b514e78820a6c8226605c8b,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
32,95f56cedda7a93200b9b75ecc66ab245557e0db4fd5797ac91d9082f75e6491f,validation,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
33,e73ef257d0cf6ae0600e050e4632c8c1ff2d538d8390acec63aa4fdb291de528,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
34,1c1d1ee1e639964df61d1826d3a2a2123e5b718b340e26a530b4569dd3a33152,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
35,021670b21d73186d6babee8459de0fc361be1497b45eb2ea3b8e9b339830c83d,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
36,1a8fe51f6a9fd56d20ae07e3208a6e04826c789170782d6a88baa95afcd3ad84,test,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
37,bebc74e53619784138cc0bebae3ed2b75e972a32815712a8492ab9bbb7e93660,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
38,4fba576ede5e8167af863279b4c41c48a686158007464f389f3ae17911302af5,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
39,786fba5ed01de02434cac097e3a48e9b126f2847cd055395e50c8e151e018e71,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
40,25a61ac021cb44b83d202514cffb4f9e5793b831df9deaf4128d9e5ca0bde0e0,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
41,de21932eb070d2bfe2e24cd1d7e7a216a0e5a47bb338be013124957c76861e99,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
42,aa66cc1bb338c43b323959ff7522d0c17846d9ccd7d2588349ff06d4b8a7de6a,validation,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
43,da75769bca420bc23b47b2640e0b48a138dc44be65515fe73282acd8275ab71e,test,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
44,3cd5103b8d4a6926e74c3c4710ff942e47c16c02e47890dd42a144356f5074d4,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
45,4a0184aad2b75fdd4d91e0d6566f4e81978576448c104de4e4cf4c56e99e869f,test,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
46,8da0f882ec9b8cab2f8af0b0ad0013c538cffb3b49399d3f2d8b79613a74d6b6,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
47,e5938fea9502455929bf65e91418031d8610689967aba657375d864301b23932,validation,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
48,1b9af9f209ae4636ffd5d7bf98dc1e3b369457eeb14ed4dd05997252bb1dcda1,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
49,16c3bac22f08b808e89367c09b3f6493482e856f6a23c0d005e2f1e88fed8683,test,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
50,9a9e5bce0fd7fd1b118156ebf47bbc08abed2a73b2cad5f4bb542fdee156b675,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
51,1ef42ca7cf4f3c3b34ebe4065b027dd9643c6011c72725987f72a364752f82ec,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
