group,variant,step,role,target,mae_nm,rmse_nm,p95_nm,standardized_mse,feasible
G-S,selected,0,old_validation,tavg,0.006412123559930894,0.01152187896921893,0.017270565032958984,0.005224786694759922,True
G-S,selected,0,old_validation,delta_t,0.011520371856387707,0.01854342306282764,0.030048575997352597,0.005224786694759922,True
G-S,selected,0,dev_common,tavg,0.19154534722618188,0.33201282100803675,0.8081131338919333,0.8517562425509095,True
G-S,selected,0,dev_common,delta_t,0.09616322302572643,0.17507261911815414,0.39244478438091257,0.8517562425509095,True
G-S,unconstrained,2000,old_validation,tavg,0.009330180716260834,0.013946314506918422,0.022986197471618647,0.005874271930736831,False
G-S,unconstrained,2000,old_validation,delta_t,0.012530069967170713,0.019329460791496743,0.03233242332935333,0.005874271930736831,False
G-S,unconstrained,2000,dev_common,tavg,0.04105476820286908,0.06070193873939331,0.14384714320256742,0.04889650586992502,False
G-S,unconstrained,2000,dev_common,delta_t,0.03386374393693682,0.05017574513735982,0.08939057349727754,0.04889650586992502,False
G-S,last,2500,old_validation,tavg,0.006932139580547304,0.011751897315269776,0.017201447486877436,0.006087661114008903,False
G-S,last,2500,old_validation,delta_t,0.013312399150039723,0.020134524251995276,0.03354021161794662,0.006087661114008903,False
G-S,last,2500,dev_common,tavg,0.036845938738115896,0.05743968528220473,0.12991207162488536,0.05012410777620971,False
G-S,last,2500,dev_common,delta_t,0.03536222951851455,0.05213320284150308,0.09888608540247787,0.05012410777620971,False
F-S,selected,0,old_validation,tavg,0.006412123559930894,0.01152187896921893,0.017270565032958984,0.005224786694759922,True
F-S,selected,0,old_validation,delta_t,0.011520371856387707,0.01854342306282764,0.030048575997352597,0.005224786694759922,True
F-S,selected,0,dev_common,tavg,0.19154534722618188,0.33201282100803675,0.8081131338919333,0.8517562425509095,True
F-S,selected,0,dev_common,delta_t,0.09616322302572643,0.17507261911815414,0.39244478438091257,0.8517562425509095,True
F-S,unconstrained,1500,old_validation,tavg,0.008831158880280543,0.013638966162629287,0.022741365432739257,0.006641115146049416,False
F-S,unconstrained,1500,old_validation,delta_t,0.014020101014555154,0.020787385824610812,0.03491170108318329,0.006641115146049416,False
F-S,unconstrained,1500,dev_common,tavg,0.02164085351382765,0.029713023269824345,0.0648112329589327,0.026234016427770256,False
F-S,unconstrained,1500,dev_common,delta_t,0.030231208200109938,0.0407983781207449,0.08835608281754906,0.026234016427770256,False
F-S,last,2500,old_validation,tavg,0.016021476214119226,0.01974701216022621,0.032701921463012686,0.007355205993826432,False
F-S,last,2500,old_validation,delta_t,0.013931011391788395,0.020635742454063515,0.0345596969127655,0.007355205993826432,False
F-S,last,2500,dev_common,tavg,0.03773936136715379,0.04914343638984139,0.09508475034651925,0.03732265958562493,False
F-S,last,2500,dev_common,delta_t,0.03436792382079827,0.04511842957739891,0.09536126254250708,0.03732265958562493,False
