version,architecture,group,kind,step,new_standardized_mse,old_validation_tavg_mae,old_validation_delta_t_mae,dev_common_tavg_mae,dev_common_delta_t_mae,accepted_updated_model
v1,small_cnn_v2,G-S,unconstrained,9000,0.0547368511557579,0.009750620902880978,0.02788876233754308,0.017940332009937776,0.049899390746739124,False
v1,small_cnn_v2,G-S,accepted,0,0.2088231110572815,0.009255197631821815,0.02634946923727664,0.07648475372002426,0.08121747325806541,False
v1,small_cnn_v2,G-S,final,10000,0.05504323214292526,0.01192834223565286,0.028051827289077874,0.019789017104819208,0.04992162712425307,False
v1,small_cnn_v2,F-S,unconstrained,3500,0.04196133278310299,0.011265216134092091,0.028738740491435866,0.016907649608065855,0.043655326964853344,False
v1,small_cnn_v2,F-S,accepted,0,0.2088231110572815,0.009255197631821815,0.02634946923727664,0.07648475372002426,0.08121747325806541,False
v1,small_cnn_v2,F-S,final,10000,0.04553846336901188,0.010044134106327865,0.02873102349655672,0.014262807315410037,0.044921238723243946,False
v1,mini_inception_v2,G-S,unconstrained,5000,0.19595061033964156,0.0242126974154085,0.030512832613702395,0.0915391307776545,0.056941594586204396,False
v1,mini_inception_v2,G-S,accepted,0,0.3952553763985634,0.019608534689801317,0.0288514636362728,0.1599851499378006,0.08348071312377961,False
v1,mini_inception_v2,G-S,final,10000,0.20039066299796104,0.021402715331110968,0.030906410169269538,0.08687060628146061,0.0596993516978363,False
v1,mini_inception_v2,F-S,unconstrained,7000,0.17008582949638368,0.01847898824042456,0.032677211665558294,0.07727084397257204,0.054765558253669556,False
v1,mini_inception_v2,F-S,accepted,0,0.3952553763985634,0.019608534689801317,0.0288514636362728,0.1599851499378006,0.08348071312377961,False
v1,mini_inception_v2,F-S,final,10000,0.17385315656661987,0.019801724863589297,0.03205523999459891,0.0852259002726521,0.05549525965291254,False
v1,resnet20_v2,G-S,unconstrained,3500,0.034843596257269384,0.014861799658181471,0.018760504470840753,0.02481097091605273,0.03679204574557314,False
v1,resnet20_v2,G-S,accepted,0,0.2162198704481125,0.011103510654360611,0.016680869927045722,0.05686935861455718,0.08433155404040814,False
v1,resnet20_v2,G-S,final,10000,0.035158641487360004,0.012912701994074948,0.01774583837313636,0.022106927701428428,0.03757195171551459,False
v1,resnet20_v2,F-S,unconstrained,9500,0.026647898107767104,0.013849411024717054,0.018870702881343605,0.021577222726370016,0.03218173136053437,False
v1,resnet20_v2,F-S,accepted,0,0.2162198704481125,0.011103510654360611,0.016680869927045722,0.05686935861455718,0.08433155404040814,False
v1,resnet20_v2,F-S,final,10000,0.026677937135100364,0.01420404503563571,0.018751766087900208,0.021491046838458937,0.03240385704516498,False
v2,small_cnn_v2,G-S,unconstrained,15500,0.05643099755048752,0.00976933825076702,0.027131448386513705,0.01671684609975646,0.050905131138498164,True
v2,small_cnn_v2,G-S,accepted,11500,0.05720778688788414,0.009601032441548318,0.027222538722893642,0.01891989217965114,0.05104243798851551,True
v2,small_cnn_v2,G-S,final,20000,0.05910117268562317,0.009374612462239263,0.02755507163860889,0.017306636750334344,0.05258766055680782,True
v2,small_cnn_v2,F-S,unconstrained,9500,0.043709380477666857,0.009439991209291114,0.02777847502574258,0.015647212759671743,0.04347657452857859,False
v2,small_cnn_v2,F-S,accepted,0,0.2088231110572815,0.009255197631821815,0.02634946923727664,0.07648475372002426,0.08121747325806541,False
v2,small_cnn_v2,F-S,final,20000,0.0474056239426136,0.009359631662693874,0.0284022002850264,0.015515385126890458,0.04620204258513457,False
v2,mini_inception_v2,G-S,unconstrained,7000,0.18893419906497003,0.02168439305455674,0.029766703454038344,0.08062846398867933,0.05638541205112937,True
v2,mini_inception_v2,G-S,accepted,10500,0.19618783101439477,0.019611823306892016,0.029825179885768896,0.08735865105326532,0.05891352934355575,True
v2,mini_inception_v2,G-S,final,20000,0.19764810889959336,0.02198709988141711,0.029696836345301132,0.09166481641847522,0.058961431381543895,True
v2,mini_inception_v2,F-S,unconstrained,16000,0.171528417468071,0.022439062622949407,0.03072009699055116,0.08632323711140052,0.05155806039477476,False
v2,mini_inception_v2,F-S,accepted,0,0.3952553763985634,0.019608534689801317,0.0288514636362728,0.1599851499378006,0.08348071312377961,False
v2,mini_inception_v2,F-S,final,20000,0.18419885128736496,0.022893409127349124,0.030961285149165737,0.09386166099467647,0.05661738233481197,False
v2,resnet20_v2,G-S,unconstrained,15500,0.03271083123981953,0.01167353492597362,0.017090580365102675,0.021392202687888977,0.035335558574555496,False
v2,resnet20_v2,G-S,accepted,0,0.2162198704481125,0.011103510654360611,0.016680869927045722,0.05686935861455718,0.08433155404040814,False
v2,resnet20_v2,G-S,final,20000,0.03301378101110458,0.01200698599961737,0.017152546891046495,0.021966980734987797,0.03533550683081934,False
v2,resnet20_v2,F-S,unconstrained,10000,0.02564871683716774,0.015380812908568612,0.018430253991016207,0.021552575687295992,0.03152653066294444,False
v2,resnet20_v2,F-S,accepted,0,0.2162198704481125,0.011103510654360611,0.016680869927045722,0.05686935861455718,0.08433155404040814,False
v2,resnet20_v2,F-S,final,20000,0.02672448992729187,0.012941533136787043,0.017597160475495494,0.0212047028780331,0.032133165060939994,False
