setting,group,step,role,source,n,target,mae,rmse,r2,bias,absolute_error_p95
无SP,G-S,15500,old_validation,all,6483,tavg,0.00976933825076702,0.014030741493801463,0.9984328867183002,-0.002907057796274091,0.024736618995666503
无SP,G-S,15500,old_validation,all,6483,delta_t,0.027131448386513705,0.036349565843788824,0.96475123968991,0.0018338915779462627,0.07182251960039136
无SP,G-S,15500,dev_common,all,200,tavg,0.01671684609975646,0.02209316151122427,0.9996102764044525,-0.0033760823325584633,0.045934793314564765
无SP,G-S,15500,dev_common,all,200,delta_t,0.050905131138498164,0.06312766948892316,0.9813209305940054,-0.0012875326812982492,0.12632475358612297
无SP,G-S,15500,dev_common,U,50,tavg,0.01588211371145737,0.02095410482928761,0.9997090331002011,-0.005318264890245328,0.04905517496761624
无SP,G-S,15500,dev_common,U,50,delta_t,0.051763924633022436,0.06475922249223287,0.96984119269614,-0.002448769745732883,0.11446290288254922
无SP,G-S,15500,dev_common,L,50,tavg,0.016210567647215915,0.020812453013950776,0.999670402221901,-0.00387622775333222,0.039041225782464925
无SP,G-S,15500,dev_common,L,50,delta_t,0.05164833726154622,0.06471353503472674,0.9781915402871542,-0.006066475567242359,0.1359306049393264
无SP,G-S,15500,dev_common,B,50,tavg,0.022699438500921064,0.02897175847076725,0.9993574951150059,-0.00252961528353571,0.05390840089038545
无SP,G-S,15500,dev_common,B,50,delta_t,0.06096167398799773,0.07383290431501709,0.9840337698458468,0.013494780304451996,0.13470446840086928
无SP,G-S,15500,dev_common,P,50,tavg,0.01207526453943149,0.015518880233477177,0.997735906898991,-0.0017802214031205966,0.02929734541581041
无SP,G-S,15500,dev_common,P,50,delta_t,0.03924658867142625,0.04590767197681767,0.9672693507232898,-0.01012966571666975,0.08075472382799112
无SP,F-S,9500,old_validation,all,6483,tavg,0.009439991209291114,0.014043726751632945,0.9984299846925514,0.0023969121319854514,0.025008511543273923
无SP,F-S,9500,old_validation,all,6483,delta_t,0.02777847502574258,0.037277021131519913,0.9629295556981524,0.0023485711923254948,0.07412076592445373
无SP,F-S,9500,dev_common,all,200,tavg,0.015647212759671743,0.02014086924965606,0.9996761101145147,0.006187192647032907,0.04079543923551647
无SP,F-S,9500,dev_common,all,200,delta_t,0.04347657452857859,0.055486974196481395,0.9855689541056322,-0.005661704474759096,0.11701096821762753
无SP,F-S,9500,dev_common,U,50,tavg,0.01482749812115098,0.01957653231685026,0.9997460332311928,0.005625302862592807,0.03876806527558214
无SP,F-S,9500,dev_common,U,50,delta_t,0.050719471123157715,0.06417406520533328,0.9703837537114902,-0.017815632460023503,0.11824188517213997
无SP,F-S,9500,dev_common,L,50,tavg,0.016303199767628413,0.019577008987332868,0.9997083711972122,0.00644937096340362,0.03482375324938764
无SP,F-S,9500,dev_common,L,50,delta_t,0.044484072656660836,0.05832204972508256,0.9822866663710716,-0.0038832584589926942,0.11960551257792171
无SP,F-S,9500,dev_common,B,50,tavg,0.017389739529566968,0.023398111407772863,0.999580928302679,0.008976834892703303,0.0498670363220334
无SP,F-S,9500,dev_common,B,50,delta_t,0.0401555169340535,0.051998708026298655,0.992080685561381,0.007335345389863066,0.09360498263998218
无SP,F-S,9500,dev_common,P,50,tavg,0.014068413620340609,0.017568350538215552,0.9970984136808103,0.0036972618694318935,0.03587901899504698
无SP,F-S,9500,dev_common,P,50,delta_t,0.03854723740044228,0.04573378900120068,0.9675168267579359,-0.008283272369883252,0.08237478132415738
α=0.95,G-S,15500,old_validation,all,6483,tavg,0.009693792788275925,0.013975747540512914,0.9984451473473678,-0.0028314420181385037,0.024531412124633778
