setting,group,checkpoint_kind,step,validation,standardized_mse,Tavg_mse_nm2,DeltaT_mse_nm2
无SP,G-S,final,20000,old_validation,0.019211118790023254,0.00018963066895930056,0.0013499425709419023
无SP,G-S,final,20000,dev_common,0.05910117268562317,0.000505583478416056,0.004175279903256235
无SP,G-S,best_new,15500,old_validation,0.01884753414368383,0.0001968617068658821,0.0013212909370319392
无SP,G-S,best_new,15500,dev_common,0.05643099755048752,0.0004881077855610415,0.00398510265510272
无SP,G-S,feasible,11500,old_validation,0.01885774618549956,0.0001971452575612511,0.0013219561319712273
无SP,G-S,feasible,11500,dev_common,0.05720778688788414,0.0005996867226608063,0.004009886624484491
无SP,F-S,final,20000,old_validation,0.020435893046493684,0.00019164940368538485,0.001438894136140467
无SP,F-S,final,20000,dev_common,0.0474056239426136,0.00037778925095663786,0.0033569892051108414
无SP,F-S,best_new,9500,old_validation,0.01978310549147019,0.0001972262610745308,0.0013895763044397822
无SP,F-S,best_new,9500,dev_common,0.043709380477666857,0.000405654614131741,0.003078804305480992
α=0.95,G-S,final,20000,old_validation,0.01941051506874794,0.00018828614964103518,0.0013649039602954298
α=0.95,G-S,final,20000,dev_common,0.05790656089782715,0.000514388766544908,0.004085428470693802
α=0.95,G-S,best_new,15500,old_validation,0.01905910668228946,0.00019532151931615278,0.0013371985301887175
α=0.95,G-S,best_new,15500,dev_common,0.05509422659873962,0.0004774352618314901,0.003890446037580284
α=0.95,G-S,feasible,15500,old_validation,0.01905910668228946,0.00019532151931615278,0.0013371985301887175
α=0.95,G-S,feasible,15500,dev_common,0.05509422659873962,0.0004774352618314901,0.003890446037580284
α=0.95,F-S,final,20000,old_validation,0.020432602333172997,0.00018849304566151705,0.0014395587675022502
α=0.95,F-S,final,20000,dev_common,0.046637512370944025,0.0003381721531572263,0.003312201771602844
α=0.95,F-S,best_new,12500,old_validation,0.019874721512683432,0.00019573910644743976,0.0013966998623793643
α=0.95,F-S,best_new,12500,dev_common,0.043077253699302674,0.00040924585263951615,0.003031565898207881
α=0.80,G-S,final,20000,old_validation,0.01958989612982263,0.0001842697577733829,0.0013791684491332686
α=0.80,G-S,final,20000,dev_common,0.05822957783937454,0.00045067896470766665,0.004127312729236996
α=0.80,G-S,best_new,13500,old_validation,0.019166398049320278,0.00019039531355559308,0.0013464542168184603
α=0.80,G-S,best_new,13500,dev_common,0.0547931170463562,0.0006043944776916608,0.003832026201685782
α=0.80,G-S,feasible,13500,old_validation,0.019166398049320278,0.00019039531355559308,0.0013464542168184603
α=0.80,G-S,feasible,13500,dev_common,0.0547931170463562,0.0006043944776916608,0.003832026201685782
α=0.80,F-S,final,20000,old_validation,0.020333800771143377,0.00019056694072668755,0.0014317416516726614
α=0.80,F-S,final,20000,dev_common,0.0460278844833374,0.0003502736913094443,0.0032641677651660092
α=0.80,F-S,best_new,9500,old_validation,0.019622003886869948,0.00019672134171039795,0.0013779446301474972
α=0.80,F-S,best_new,9500,dev_common,0.040400313809514046,0.000355694631837466,0.0028512396040669768
α=0.50,G-S,final,20000,old_validation,0.01899563544476527,0.00018135719841238124,0.0013365634632220673
α=0.50,G-S,final,20000,dev_common,0.06015679389238358,0.00048641117169623456,0.004257943148539723
α=0.50,G-S,best_new,10000,old_validation,0.019274862771892592,0.00020922141903480959,0.001348983972916449
α=0.50,G-S,best_new,10000,dev_common,0.056588909178972246,0.00042656756177109875,0.0040142943136844255
α=0.50,G-S,feasible,15000,old_validation,0.018908989745747173,0.00017646818196443605,0.001331631800132643
α=0.50,G-S,feasible,15000,dev_common,0.05660938031971455,0.00037754094308043237,0.004029850929895939
α=0.50,F-S,final,20000,old_validation,0.02091368528109687,0.00019395630517979461,0.0014731589867609612
α=0.50,F-S,final,20000,dev_common,0.05255554862320423,0.0004202649672141417,0.003721265239827834
α=0.50,F-S,best_new,9000,old_validation,0.02047834485727899,0.00021857246467263963,0.001434276332745794
α=0.50,F-S,best_new,9000,dev_common,0.044678603485226634,0.00038641167600434427,0.0031551726579962386
