gene_id,bits,source,family_id,split_role,generator_parameters,seed,parent_old_index,parameter_regime,selection_method,selection_rank,selection_distance_squared,display_region_id,experiment_groups,magnet_cells,raw_bits,raw_gene_id,repair_changed_cells,repair_passes,magnet_area_sector_mm2,magnet_area_full_motor_mm2,status
6363814d9ce43ebcdd55652d797587096240322dd8cdbfda48f1b05e7313ae4d,000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000,U,expansion_f1_v1/U/pool/field_6767/attempt_0,train,"{""attempt"": 0, ""m"": 14}",15017052084535604351,,same_range,f1_F_LCMD,626,0.022078447951150645,,f1_expansion,2,000000000001001000000000000000010110000000000000100000000001001000000000000001000000101000000000000000000000010101000000,5e45a1be688860c0a628bea26e9b3ffeb0352e99f852bda75f3af62486ace1f8,12,1,1.9349799432416672,7.739919772966669,pending
2894838498e3d64abae9787b8ae09ddb2d9df2449f0d8b3e52c514770818f90f,000000000000100001011010011101000011000000000110110000101000110010011111000011000011001100010010000000001010000110001000,U,expansion_f1_v1/U/pool/field_22078/attempt_0,train,"{""attempt"": 0, ""m"": 40}",15017052084535604351,,same_range,f1_F_LCMD,852,0.021124061305810224,,f1_expansion,38,100000000100100001011010011101000011000000000110110000101000110010011111000010000011001100010010000000001010100110001000,38ba8cb34dbb5c8f180818bfa561672c21ec0439a13b98c4210c9050b532aaa4,4,1,36.31009343156847,145.24037372627387,pending
0b032f91e2c177b3b4635258c72fcc85c9da9cb4376b3520373c2900a442034f,110110100101001101001110100000111111001001001111010001000000000011001111111001111010010101101011010111001101100100111111,U,expansion_f1_v1/U/pool/field_3625/attempt_0,train,"{""attempt"": 0, ""m"": 65}",15017052084535604351,,same_range,f1_F_LCMD,3875,0.005631153024777229,,f1_expansion,64,110110100101001101001110100000111111001001001111010001000000100011001111111001111010010101101011010111001101100100111111,57573fe66f91146dc51e2e4438895cf8799190c17fe66ee2c0681b33bc29677c,1,1,61.14017162940795,244.5606865176318,pending
93fc2788423be8c3dcacc98f611bbe914f578733da663fbf94c2ac6ace496ad5,111111111110111010111101111101111011111101111011111101111111111100111111001101110010110111111011110000110011110111111111,U,expansion_f1_v1/U/pool/field_3953/attempt_0,train,"{""attempt"": 0, ""m"": 87}",15017052084535604351,,same_range,f1_F_LCMD,600,0.0277045861001806,,f1_expansion,94,010111111110111010011101111101101011111101101011111101111111111100111111001101110010110111111011110000110011010110111111,fa89c987e7587d052acd7da31f3e546dd338287cf7e653bcdfb8d8bb0f013604,7,1,89.0934892658354,356.3739570633416,pending
d6ed1a2f449c29f26ea83eedff55c72395cee8d47b66b0735efca5cbe45b4966,111111111111111111111111111111111111111011111011111111111111111111111111111111111111111111111111111111111111111111111111,U,expansion_f1_v1/U/pool/field_16686/attempt_0,train,"{""attempt"": 0, ""m"": 105}",15017052084535604351,,same_range,f1_F_LCMD,3,0.24378731892388175,,f1_expansion,118,111111111101011111111111111111101111111011111011111111011110111111011111111101110111011110111111111111111111101110111011,e4615d356282451a2f7b9ce5e3908c5d94de6488a9bd470a5e46c2beb52b5c07,13,1,112.23208331865986,448.92833327463944,pending
05166f9c5ec315812c89de09ad42c61cec74850c1e3e5049781b904ebb0d20a9,000000000000000000000000000000000000000000000000000000000001001001000100000000000000000000000000010000100000000000000000,L,expansion_f1_v1/L/pool/field_23132/attempt_0,train,"{""attempt"": 0, ""m"": 12, ""scale"": [0.5, 0.5]}",15017052084535604351,,same_range,f1_F_LCMD,323,0.038589800973310495,,f1_expansion,6,000000000000000100000000000100000000000000000000100000000001001001000100000000000010010000000000010000100001000000000000,5f68545d8b03146cfa8176350ab1cca7ba49330a579b416018d0b24e422c59f6,6,1,5.723774563649462,22.895098254597848,pending
b1255ea95493a472c6cb62a1a18cf85f5b656945eea198bffeed71d6a46532c9,111100111100110000110000110000111000111000111010111010000000000000000000000000000001000001110001111000111000000000000000,L,expansion_f1_v1/L/pool/field_5655/attempt_0,train,"{""attempt"": 0, ""m"": 39, ""scale"": [1.5, 2]}",15017052084535604351,,same_range,f1_F_LCMD,3248,0.00932351142730165,,f1_expansion,39,111100111100110000110000110000111000111000111010111010000000000000000000000000000001000001110001111000111000000000000000,b1255ea95493a472c6cb62a1a18cf85f5b656945eea198bffeed71d6a46532c9,0,0,36.44158116261092,145.7663246504437,pending
5ec4981c3d08406e96d458c2b2f1a499629a7152f4a313439c2527eae2aa6752,111111011111011010101100100000110011111011110011000101110100011000000100000011100010010001001011011111111111011101000000,L,expansion_f1_v1/L/pool/field_9512/attempt_0,train,"{""attempt"": 0, ""m"": 60, ""scale"": [0.5, 0.5]}",15017052084535604351,,same_range,f1_F_LCMD,4800,0.011985965435156296,,f1_expansion,63,111010011111011010101100100000110011011011110011000101110100011000000100000011100010010001001011011111111111011101000000,553c8a785cb6b333f17244ea82ae2386b41ee4c2bd7b4ecd64a6ad7755a6b67e,3,1,60.01846765224349,240.07387060897395,pending
5bed6ac37970a87090ff8ba988fe69d4339cc268af9c55d7816da0ba637165d8,111111111111111111111111111111001111111100111000111000011111001111111111111111000000001111011111111101000000111111000011,L,expansion_f1_v1/L/pool/field_21902/attempt_0,train,"{""attempt"": 0, ""m"": 84, ""scale"": [1.5, 0.5]}",15017052084535604351,,same_range,f1_F_LCMD,699,0.04001987119847143,,f1_expansion,87,011111111110111111111111111110001111111100111000111000011111001111111111111111000000001111011111111101000000111111000011,462f79b07a38bb5aebdcf20d6e729e91f1617318e1683914efd0e7b2df4d8ce2,3,1,82.86486674719588,331.4594669887835,pending
95878664e0637c0c525d1384c0dca93eedf80c15aa89032ff6121e7bf529fc62,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100111110111111111111111111111111,L,expansion_f1_v1/L/pool/field_19760/attempt_0,train,"{""attempt"": 0, ""m"": 108, ""scale"": [0.5, 0.5]}",15017052084535604351,,same_range,f1_F_LCMD,2,0.2976068687010843,,f1_expansion,117,111111111111111111101011111111111111111111111111111111111111111111111011011111111111111100010110111111111111010111111110,0abdbf0cf6d0659e4fcfa3e7fc97d65193bd68cc11c3c7f6ebbf09bf08f5616e,9,1,111.19154460757102,444.76617843028407,pending
