gene_id,reference_index
80e3eaab97b53e4049b7c6690c6625b9885426d87a603b34bf6d0038139a6344,27613
053c415c1f3aed62cd7f04c12e93a713c4160fa119b3b0ea01d310fc16d9259f,1155
7045a04a46d283232eae8c33da46d8caf48ce7e8eed86280e3eae098bc70d754,24049
c1ff5e7cf255d92351ee32b06b1cf1c9d6e42a4f71e1e9a137c493be85e63c13,41378
46053ad5cad1dae328993a10d4ce13d73519c55beb1f51432513db12a2311c11,15102
dff3f8e5754460157d51e90c33b95abeb0048295bf3e2724ad451eaa1a35753f,47726
b7301188ab3359e0d5b6797f33afaacafe5f03768893914a893c5c715439d331,39010
67df532b48557260d771c8c8fcd1730c49997ad74451d2f11c0109baf3ffd4da,22182
00f25d3efce2085f566b328b35819db54e641322123e4304e180fbd5e65e92f3,195
7b40ee44548c404e0ae2f920ae9d64c55ba45427c2df9c880f1904dd6fb9ac62,26425
c8c1da19ea3e39408890f406f3acbe5e0feedd0c8095bf93f3ce0643fae1eacd,42791
1946d0846ce33b1f65fc236b2c30c1fab58085dba84bc6fde0fc416239b17fbe,5502
dce74ba5731f735157a875c6d17db1ac1a314b1b254d06cea98065db615cfe35,47045
14d985a653fa8f3bd52ac5cf65bd69f9a47bda8eac0f6879ff768f8e8c710cd6,4599
d8adaa9b558adeed408791c32e0df11bc1119525ac5b489289c6a6266d1588a8,46120
4badfa7d96ed044b20fc864ac0ac6030563fbb6535af2c5ec720b84d7f36c30e,16325
ed477a31b873e9f36d26be014849585bb261c1ee4ec9e3409897c9a6828701b5,50537
ae7dbf63302fba22cad526c6fa887e725ef35a78b75c8c8bf230e7a26d509be4,37125
c5c594121779e642f35177fb1ea2e68c4aca73f00a4810266e2f2d699350fdba,42167
2336c3b834dbdd46505dfef1771a694c5ecb7c5dc8988a0b32af70ec3235c337,7612
6349e4e22c9d616e530ffa3a72796e6753cfafd4d98a60c835d761cda8b84364,21201
05dd0ba9577f519a9b11837f17d12543740c041aa9f809d8b41b7854ec79b6d1,1289
c116c70ae1e3e915997ad725304a24bf6c053b4ee8996c2f89dbdf67d5a2b7c0,41161
88edf8b754059c7bb83914c00513fda12b7adf5737975129e9c85ae1f1c8c832,29370
40a02978a39540edfc3c27d5af2b4e8ca1fd41830c3707e89cd76d27382874b0,13993
4aea53308cdccc28873f9c39ef7e857c31e50105ef843cb034904d967af3e13c,16149
9e48f25700797a107208c8d439e5c89b58899c0907e82a78adaedba73edf43af,33746
03836f4329745eec652cca8cb77da5e99e2d183ad427a4df697c0bbaaef28ca8,758
f70002d0638e8ce3be7198c5140d17404c5d35cb93f6b4cf36ae3f418c2d5b7f,52620
2473f8dc75dd6b90624a13fe6d184bac9f2196acf0c7300434f966e103b95d2c,7875
793ead42f53c96c54d353ed8c5bae1ccdd98d99618bfd612529aa1ea87a8f7dd,26011
1c29fecb2eff0248b79e95c56336f02d566cd5c76314860ae797a4a3e39d9a92,6109
aaecb9a9f2f19e1c3f0ba9033cfa23d3e8d2e863a5ce1a2f2ec9c3d26d17aa1b,36404
f47998b88629a960e101fae29aa4614ec41073ba025a8994de4d72b31b303844,52068
cd0d018c03e98df3b24d3a52dc66444a7e2e1c21ff3340ed0001e38c32f0961c,43691
b4b00cedb571032894ea8d49fadcc395933481057051d8eda36f7f519491910e,38445
4e87e1186615fffc7bac9cbe9c5e88507018cdfc56920cde4e8f1773a0b8239e,16893
a5fcfc6106e4b68363d845866bec6ddfecaeed7cc1b304c699ba24216aa86c26,35392
58f313cbaa51eeb93f8a5d08fc02e465a5c156b8cd3b2986f23627329a538d32,19099
82082a5bfebad5d644d3258f5ecd2ed436f023d2d6c1c0b921f73e129c85ad5a,27860
9d3588fa62f4a2755dbe3b80ed3ac0185454842515be88e200b54f2c9cb37681,33508
3b00550beac66ed31eac0e1351f190b1c51dad3fb65b73591c13adadd46cc87f,12743
cc62b0dc4f4b1dc0bcf3b09a01ee3d3c7116e8339f596765f8639f35f4e4be65,43560
fa0c6b874fd66923e36af8d61d05eff0ab47e98589c75fb813c9edd1d73e228f,53248
563d4433530375f3c381b723c02208ab729b95641e88902a471bb55d301af95d,18516
463371cd1349e3896d34503d1f7d666918406a3ee959da0f2779299b4f3f4a67,15140
82b5b5c52bf0e9ea096e92ee00ce1365fecc3a8fe26c2380b60a50927a18031b,28002
911432c71fd062c75e47d01e0369cc2ce0aaa9d6306828e7a9c23f1ef564853a,31020
2a32d4ca5d814c3c4004a18cb1de8b61908ef096836ca810577d69bdbf3430f0,9114
8aa303d9c6b77e9d9b620fb6b41b07b6974f5c807bf24ea663638dc55055d713,29722
ee4ff904f6517a707ba438bffa53d7dc828a68d03473deae469a387aad49058b,50747
94efb45711f0c552358961ce7f3ffcccb1bc0487b2552c9416bb9bff2788a20b,31796
2175fe7d4dd5368c6ab8fe2bc0b1a7b7856e7356efc2b7838d1dcca0b6507ca5,7264
1eabe0e81efd13844a44e6baa91747b53d2abb7dbe47c61483b904ab474701a7,6647
1492578cb09f4aa62eaf2ea2c3f0ebb8b0eced106567e2a1627f3e58a2d5c3eb,4524
41a6847c7171785d4815a4484ca1d113ebb950ff1a10a6a75bd1f060ba4d0b85,14208
3969b2bc3a34d5e0a0e7a3272067f8d528687e44c4be46b78b3765a864c134d9,12393
401612c85a50317e4817265d4ed7408b152eb3d46aca5acab4960db77c537c83,13872
8b664a2fde7369368b2312a9ad6a426638e015afdb54c2ad0f021dbc2cfbce41,29879
3a1963e4a812c8d5b354aa1ed892766c8178a3952805469e76442f62313d1451,12549
2c62b83ecb73378694463883a804a08de9aa7d59f313801860a73e6a1f6875b6,9616
a85b05d7e466ddb3714c3a4d0f3225fdf54f20fce391f7ccd2fb4c9ab8b6620b,35889
5e785f4a08dc3344a653d305d1ea2d19eee61bc96e2313982ac1eade817da3a3,20249
6c85a097355f2c65410e9045cb3cb1af2e5757636da640c23b3dddbd1d0f1ce6,23220
84cf6da220e07b9016f891004b04a930ee0c5b50dd32d0c576f58bc7669a9881,28456
e8bbcdcb42f0ed9a6c656abff205acb2edaa2b18d24e7eaf36cf779b61121442,49539
46eba3a484aa43de7afa3a902495495dd1ed1a61250202c159b9b23e712f4be7,15302
3a5ea8986d3b1e78c2e2c6e1e1fc22dc242e51b118e79b38940605a937214175,12616
4b1ad8f42af2c9388fe41b83b6ff74ab2ff3badc1cefc78a9ac672fe42c29ac3,16191
91a52bf2235af6029ecc9fcba7894562512089c14f9a979f4a8ffc25df5e19d1,31136
f2b3ddcfb78162a7a7ef36556dcf4dd0e87bf528fdefb358b09d57d71fd5c47b,51698
b5b6d19a9cea98c3f5ecd908d618939e24610a7be919832a42b10eb51492a086,38693
5c056275f516ba099b89af12bafaf473f55e6f5d8748a84ba0bf6593a0c40f87,19752
a23aa3c27c3b970dcd17e7bcd79c8863530b81cd2913007a1e6c38b7d3ea85ae,34558
9265c7af68529fc9477443e7d2e0b1465b43d709c570bdadc84f0003d257e9e6,31314
de08cba20af1fbca78f0989d25199a0d815af9e82bee54d2d7689ed6bf418155,47312
facab91432ced2392107bd52390ea333e49a7cd374de414f635435ffa55fab73,53412
17509421183fa8d0252db9887f45cb4a26d375715f7bf35f180f11f1fa44af8c,5093
3cebaec17d11aad4d654906ab0e074fd405eedb4777d2893a54c5423ad684ca5,13183
335948dde072eaab9786f379d5dcdce77f8bd3edbe397130acbadb579747171a,11082
201d2b263589086ca1838ec6ac1789f895c833e371bee249f6da68d3850a07df,6974
37a4994b9a2cee359c9406ef2391f93667bb850beb92e54559777bff894aa7c3,12010
c1369d14449b64cf33ecfe4b2d5efe3d5a433c1df417e92778dbb1396b2b1c96,41184
