gene_id,split_role,experiment_group
002d82f2d06fe62881bda74abbb777d013d54b9210cb90cf8f2ff526b513a1b9,train,G-S
002d82f2d06fe62881bda74abbb777d013d54b9210cb90cf8f2ff526b513a1b9,train,G-E
003eb433f97172cfc439d879cf7bc3fbeaadb1b15bc2a4f41564ddc4b881af8f,train,F-S
003eb433f97172cfc439d879cf7bc3fbeaadb1b15bc2a4f41564ddc4b881af8f,train,F-E
00649cc162bd198cd939bacf9e2a259f2ee39249947cd13d87cd29a2524c5d7a,train,G-S
00649cc162bd198cd939bacf9e2a259f2ee39249947cd13d87cd29a2524c5d7a,train,G-E
00649cc162bd198cd939bacf9e2a259f2ee39249947cd13d87cd29a2524c5d7a,train,F-S
00649cc162bd198cd939bacf9e2a259f2ee39249947cd13d87cd29a2524c5d7a,train,F-E
00777d0214d2e180e17a404931bac23f5d837ca0b0fd211c5348922110ef5a7a,train,G-S
00777d0214d2e180e17a404931bac23f5d837ca0b0fd211c5348922110ef5a7a,train,G-E
009b09d6c022a83f5058364b11942e52d66a0656c1844f8c43ba02823e74271a,train,G-S
009b09d6c022a83f5058364b11942e52d66a0656c1844f8c43ba02823e74271a,train,G-E
009ddc00d5a6dd35a3d95dfe4437fe767088660b67a65015729d776f58e1d16e,train,G-S
009ddc00d5a6dd35a3d95dfe4437fe767088660b67a65015729d776f58e1d16e,train,G-E
00a8e06a2172351ed663fa1588c954233535c9ddb780fe7297dc1fd62b93f5f5,train,F-S
00a8e06a2172351ed663fa1588c954233535c9ddb780fe7297dc1fd62b93f5f5,train,F-E
00b8e07f32dd248bbc18c9b9b9ff54b1cf1b7caae308528f740520944442866a,train,F-S
00b8e07f32dd248bbc18c9b9b9ff54b1cf1b7caae308528f740520944442866a,train,F-E
00eafa2104c0fafc951c73617a6583a03dc27573eab14b2c4f910d73005dcb39,test,G-S
00eafa2104c0fafc951c73617a6583a03dc27573eab14b2c4f910d73005dcb39,test,F-S
00eafa2104c0fafc951c73617a6583a03dc27573eab14b2c4f910d73005dcb39,test,G-E
00eafa2104c0fafc951c73617a6583a03dc27573eab14b2c4f910d73005dcb39,test,F-E
00f6b6761d783b29432627304731709bbe1e724ae23c69b1f19866f5abfc3192,train,F-S
00f6b6761d783b29432627304731709bbe1e724ae23c69b1f19866f5abfc3192,train,F-E
010927dcaf6821dd508c2c76f0895d1718b34aed2a8904b87eb16fd255095881,dev,G-S
010927dcaf6821dd508c2c76f0895d1718b34aed2a8904b87eb16fd255095881,dev,F-S
010927dcaf6821dd508c2c76f0895d1718b34aed2a8904b87eb16fd255095881,dev,G-E
010927dcaf6821dd508c2c76f0895d1718b34aed2a8904b87eb16fd255095881,dev,F-E
013ad061ab9710e78735bc83e5e064cd82be07eb21e365a1cb836aa4010ff05f,train,F-S
013ad061ab9710e78735bc83e5e064cd82be07eb21e365a1cb836aa4010ff05f,train,F-E
01d20913f3d5a18ff9176e069679d0d2a919cc5cf72935351d5d44be1aa99bfc,dev,G-S
01d20913f3d5a18ff9176e069679d0d2a919cc5cf72935351d5d44be1aa99bfc,dev,F-S
01d20913f3d5a18ff9176e069679d0d2a919cc5cf72935351d5d44be1aa99bfc,dev,G-E
01d20913f3d5a18ff9176e069679d0d2a919cc5cf72935351d5d44be1aa99bfc,dev,F-E
01e81cbf91bc91af83a8ab8af524880acbd372fabc31f03cd78a3da5b0b61fdd,train,F-S
01e81cbf91bc91af83a8ab8af524880acbd372fabc31f03cd78a3da5b0b61fdd,train,F-E
01ea53152c44d2b5f692e1839a15c291f5069c948a0fd73b9e68ff0569e33906,train,G-S
01ea53152c44d2b5f692e1839a15c291f5069c948a0fd73b9e68ff0569e33906,train,G-E
01fc8b11fca293b844a4a0fb7ffb1bffb4b380bfc2cbfa22112297a0843f56bf,train,G-S
01fc8b11fca293b844a4a0fb7ffb1bffb4b380bfc2cbfa22112297a0843f56bf,train,G-E
020c08714a36fc9c49e3d9e4ceebc9782eb26659e26fe05b3c42a04015ba6c87,train,F-S
020c08714a36fc9c49e3d9e4ceebc9782eb26659e26fe05b3c42a04015ba6c87,train,F-E
021ca5e3111a6981857af3cfcaf1667d877b09ec8f0b85e9cccde32a704eb6b9,train,G-S
021ca5e3111a6981857af3cfcaf1667d877b09ec8f0b85e9cccde32a704eb6b9,train,G-E
021ca5e3111a6981857af3cfcaf1667d877b09ec8f0b85e9cccde32a704eb6b9,train,F-S
021ca5e3111a6981857af3cfcaf1667d877b09ec8f0b85e9cccde32a704eb6b9,train,F-E
02217d86f27a2c1c657654dca880b5df448d1408f28802b92240e64d6db3bee2,train,F-S
02217d86f27a2c1c657654dca880b5df448d1408f28802b92240e64d6db3bee2,train,F-E
022de1912291904224bcd2dc5bc0a181bc86af7cce34b2192b0aeca6eda678a4,train,G-S
022de1912291904224bcd2dc5bc0a181bc86af7cce34b2192b0aeca6eda678a4,train,G-E
0249934261e357d2b78e1c1c5cc62872a20114f177494f036a2da88fabb562ac,train,F-S
0249934261e357d2b78e1c1c5cc62872a20114f177494f036a2da88fabb562ac,train,F-E
0258d007333af7f8d3810a458cd8b37c6374cd4e88aa9726e1e111df67b9dd84,train,F-S
0258d007333af7f8d3810a458cd8b37c6374cd4e88aa9726e1e111df67b9dd84,train,F-E
025f9dfc7ad4c2b34ec5209f3f514bf22917042c60393cc42635a8667fcd2f2f,train,F-S
025f9dfc7ad4c2b34ec5209f3f514bf22917042c60393cc42635a8667fcd2f2f,train,F-E
0266b3f7f7681eebfb4bc56ffff4c1b3098d31c264d485b4eccc36bafe9c8849,train,G-S
0266b3f7f7681eebfb4bc56ffff4c1b3098d31c264d485b4eccc36bafe9c8849,train,G-E
0292dd1fb30feeefb2d4a84a6d3900a72cbcc4e43433cd3247e50cd85608d0a2,train,G-S
0292dd1fb30feeefb2d4a84a6d3900a72cbcc4e43433cd3247e50cd85608d0a2,train,G-E
0292dd1fb30feeefb2d4a84a6d3900a72cbcc4e43433cd3247e50cd85608d0a2,train,F-S
0292dd1fb30feeefb2d4a84a6d3900a72cbcc4e43433cd3247e50cd85608d0a2,train,F-E
02baaf2c2577adfba3316722273ba77eb8c9051060dcde18461466a5484f30c8,test,G-S
02baaf2c2577adfba3316722273ba77eb8c9051060dcde18461466a5484f30c8,test,F-S
02baaf2c2577adfba3316722273ba77eb8c9051060dcde18461466a5484f30c8,test,G-E
02baaf2c2577adfba3316722273ba77eb8c9051060dcde18461466a5484f30c8,test,F-E
02bfde5f319dff89928f5c5fbddfebeee6d84f2c928d21fe39d9f56caa0ffc07,dev,G-S
02bfde5f319dff89928f5c5fbddfebeee6d84f2c928d21fe39d9f56caa0ffc07,dev,F-S
02bfde5f319dff89928f5c5fbddfebeee6d84f2c928d21fe39d9f56caa0ffc07,dev,G-E
02bfde5f319dff89928f5c5fbddfebeee6d84f2c928d21fe39d9f56caa0ffc07,dev,F-E
02c277698a5952c10c2ab7c7453f9cf51401b3473d24ec36501c9f0c2d3c0f84,train,F-S
02c277698a5952c10c2ab7c7453f9cf51401b3473d24ec36501c9f0c2d3c0f84,train,F-E
02c673a7de7ed93d1d8c0c372d7b9cbf699e8ee889f54a1a492bf12c38258d92,train,G-S
02c673a7de7ed93d1d8c0c372d7b9cbf699e8ee889f54a1a492bf12c38258d92,train,G-E
02e7b5a5bc5fcdfd45825ab2d66fd6a50292c50476b088cbda3e2d1569fd469d,train,F-S
02e7b5a5bc5fcdfd45825ab2d66fd6a50292c50476b088cbda3e2d1569fd469d,train,F-E
02f6efc413474703a473cfc4066176144a3b94b681579c8fc1b1d0a3d2f1cfa2,train,G-S
02f6efc413474703a473cfc4066176144a3b94b681579c8fc1b1d0a3d2f1cfa2,train,G-E
02f6efc413474703a473cfc4066176144a3b94b681579c8fc1b1d0a3d2f1cfa2,train,F-S
02f6efc413474703a473cfc4066176144a3b94b681579c8fc1b1d0a3d2f1cfa2,train,F-E
03000969b4eaa68e2ea4490015be08d76aea54923afa75d9bee0acdf280817c9,test,G-S
