role,quantity,n,min,median,max,p10,p90
train_G,magnet_cells,1400,16.0,58.0,106.0,28.0,92.0
train_G,magnet_area_full_motor_mm2,1400,60.94537499082661,219.68515577079006,403.26800119116484,106.4109104357198,350.41967314403774
train_G,nearest_old_train_hamming,1400,11.0,39.0,46.0,28.0,43.0
train_F,magnet_cells,1400,4.0,65.0,117.0,27.900000000000006,98.0
train_F,magnet_area_full_motor_mm2,1400,15.674636184514696,246.06062063470827,445.5453649846096,105.09863041380989,371.7369186261261
train_F,nearest_old_train_hamming,1400,4.0,37.0,46.0,21.0,43.0
dev_common,magnet_cells,200,5.0,69.0,113.0,19.0,98.1
dev_common,magnet_area_full_motor_mm2,200,19.12253668740497,263.06636718286256,430.325254290118,72.73057162499971,371.49731876067113
dev_common,nearest_old_train_hamming,200,5.0,34.0,46.0,13.0,43.099999999999994
train_union,magnet_cells,2699,4.0,63.0,117.0,28.0,95.0
train_union,magnet_area_full_motor_mm2,2699,15.674636184514696,239.22975184178816,445.5453649846096,106.08624937141745,359.7828982385157
train_union,nearest_old_train_hamming,2699,4.0,38.0,46.0,24.0,43.0
