old_index,gene_id,bits,split_role
19742,e34ffc1900334aa2d943b60d24db81df4e573c42f83b1baf5d1a7f919ddd8275,011011100101010101110001000111111001111010011100111110111111110110110111111111111000011111111011001111011101001101110110,old_train_anchor
60079,33e7a9ade4e69c3eeb2366b89afc612b7d24cefd84d4fa6e32e98ddd65c9c1c0,111110110101110011110011111100001000111111111101111010110111110110101111111101101010001111111101111011111100110011101011,old_train_anchor
20011,c0ee38bb7b56e76a5d705c6e7af1880a7401949a22f10559290fa12b31a1d8f7,011011100101010101110001011111101100011111111100010011110111110110101111111111111110111111111101110011110110010001111010,old_train_anchor
30349,d7612d888fa6033a25a755569688ddc45357166c4299d6ffa8b696d6d0bb96b2,100111110001011000011110000011110101000001010111010000110110010100011110111011111011000100101111010111101111000100001101,old_train_anchor
16586,66be97e63fa5b21db6a87f1dc7ddf5aceeb423eba31fd9d3a7b66b6b7c22e575,011001001110001000111011110110000001000010001010111010110111100111101100111110011010101111101101101110111011010001101010,old_train_anchor
47262,5f2c10d385b3a1daf446712aa20c0d9a08ad9aed9a449e1189d66947192cbcd3,110110110101110011111111111111011001110111111110101111111111111100111111111111101101101111101100111111100011101101111011,old_train_anchor
26859,927d34d1cb5b4a56d55c2c3eca7a862eddf2703c04578215f176e853eea93112,100100001011000100100101110011000111000011011101001110111011110110110111111100111100101111011101111001110011010001111011,old_train_anchor
52810,ab5811a3176d28c302a50953f1308867c6249ae5abe389dca4a3cdea6e943806,111010110100111001111110000100001011011011111101110111111101111100111111111111111000111111111011111011110011010001111111,old_train_anchor
9524,a4a805f987eb8ec7c29fd1804ac90c4a1ad3977b494495c90f396808ea786b9c,010100001001001001111111111111011001011111011001101010111111111111110111010011011100111111011111010011111101001101101101,old_train_anchor
58777,f3edb56cbf3c0196dcd3bfa098afc606ddc7b61c48372e5a859b2b613c6ba0ef,111110110101100001010110101111111001011111111101001110111110111111110100011111111110111111011101101110111011100111100101,old_train_anchor
61128,d35c7635b1109df9c7f1f014af1f4b6429b24449e95681b2dc623d3ffad2936e,111110110111011111001110000011101000111111111100101010110010100111110101011101111000101111011101010011111101001101101101,old_train_anchor
8789,1d5f8ff497d7c435dd157a46efb92913afcffb1d792c2eafd6277a5ad6d2bc57,010010010100100101111110101111111001110111100111101001111101101110111110111101111110111111011101111011110111001111101110,old_train_anchor
61692,c41b3abc20f9ce9c2c6127f58984168a5608c220f9c4e8ff3fe0fbe03e2f7aa8,111110111101011111011110001011111000011101111111111110111111101100010111110001111010101111101101101110111111011000010110,old_train_anchor
2099,32ed5e7360fb36fe9185be407426b64c10f8a78f419b9e5bd0354a7514081e27,000110010100100001110001010110110000111100000101111001110010011011110011111111001111101110111011000010011011110100101001,old_train_anchor
228,92763db2b7d76fbfc6741697ed0fa122b8453b7a95dad061f9cb445fd4d6024c,000001100101001101001101001111111100010010011001011100100111111000011100011101111000111111001100100111010001000000101111,old_train_anchor
39447,0585394feb3e0d7c0eb75b63ac59b1c9f239a6b90f891791c55233f1077e09e1,110010010100111010000111000111111001101111111111111110110110110110101111011101111000101111010011111011011011100011100101,old_train_anchor
