gene_id,split_role,source,experiment_groups,magnet_cells,magnet_area_sector_mm2,magnet_area_full_motor_mm2,condition_fingerprint,status,successful_angles,tavg_nm,delta_t_nm,elapsed_seconds_successful_attempts,errors
002d82f2d06fe62881bda74abbb777d013d54b9210cb90cf8f2ff526b513a1b9,train,L,G-S;G-E,44,42.0014018887877,168.0056075551508,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,1.7949961068221312,1.3109895713850839,36.24934269999994,
003eb433f97172cfc439d879cf7bc3fbeaadb1b15bc2a4f41564ddc4b881af8f,train,P,F-S;F-E,100,95.10945878735689,380.43783514942754,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,3.9270359560650334,0.2852291770239268,39.03125360000013,
00649cc162bd198cd939bacf9e2a259f2ee39249947cd13d87cd29a2524c5d7a,train,P,G-S;G-E;F-S;F-E,63,59.856137120092356,239.42454848036942,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,2.2982187377228533,1.08185325583646,36.901163000000224,
00777d0214d2e180e17a404931bac23f5d837ca0b0fd211c5348922110ef5a7a,train,L,G-S;G-E,63,59.77497185401676,239.09988741606705,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,2.33624415272168,1.1302787018625002,33.94568470000013,
009b09d6c022a83f5058364b11942e52d66a0656c1844f8c43ba02823e74271a,train,U,G-S;G-E,24,22.878865201382638,91.51546080553055,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,1.0480803928790376,0.29787262513782675,33.239168600000085,
009ddc00d5a6dd35a3d95dfe4437fe767088660b67a65015729d776f58e1d16e,train,P,G-S;G-E,75,70.91409297022847,283.65637188091387,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,2.675970274045428,1.500759680352797,37.124254800000244,
00a8e06a2172351ed663fa1588c954233535c9ddb780fe7297dc1fd62b93f5f5,train,B,F-S;F-E,61,57.807525804344905,231.23010321737962,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,1.6910910517465114,1.6368285853453481,36.07695609999996,
00b8e07f32dd248bbc18c9b9b9ff54b1cf1b7caae308528f740520944442866a,train,P,F-S;F-E,67,63.15794014404672,252.63176057618688,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,2.588384938496436,0.8158039389536809,36.561503200000516,
00eafa2104c0fafc951c73617a6583a03dc27573eab14b2c4f910d73005dcb39,test,P,G-S;F-S;G-E;F-E,76,72.53902159706149,290.15608638824597,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,2.939636605755258,0.6121852810227528,35.270800199999485,
00f6b6761d783b29432627304731709bbe1e724ae23c69b1f19866f5abfc3192,train,L,F-S;F-E,88,83.93787156471497,335.75148625885987,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,3.707027578508084,0.760595323101573,39.107623399999966,
010927dcaf6821dd508c2c76f0895d1718b34aed2a8904b87eb16fd255095881,dev,P,G-S;F-S;G-E;F-E,63,59.53147605579008,238.12590422316032,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,2.450860235387335,0.393637438290817,34.86383519999936,
013ad061ab9710e78735bc83e5e064cd82be07eb21e365a1cb836aa4010ff05f,train,L,F-S;F-E,83,79.05983907357299,316.23935629429195,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,3.2536522049378864,1.100637788238715,37.22804389999919,
01d20913f3d5a18ff9176e069679d0d2a919cc5cf72935351d5d44be1aa99bfc,dev,B,G-S;F-S;G-E;F-E,24,23.593119542847674,94.3724781713907,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,0.8520434739278046,1.7672293347435601,33.804902999999285,
01e81cbf91bc91af83a8ab8af524880acbd372fabc31f03cd78a3da5b0b61fdd,train,B,F-S;F-E,51,49.13907538747365,196.5563015498946,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,1.6864615785142754,0.514443572151599,37.62719460000062,
01ea53152c44d2b5f692e1839a15c291f5069c948a0fd73b9e68ff0569e33906,train,U,G-S;G-E,38,36.18022900584756,144.72091602339023,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,1.468064471362669,1.2812602678462472,41.65228040000011,
01fc8b11fca293b844a4a0fb7ffb1bffb4b380bfc2cbfa22112297a0843f56bf,train,U,G-S;G-E,16,15.236343747706652,60.94537499082661,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,0.5597194414134038,0.3871567462785034,33.81443669999999,
020c08714a36fc9c49e3d9e4ceebc9782eb26659e26fe05b3c42a04015ba6c87,train,B,F-S;F-E,55,52.9928022207419,211.9712088829676,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,1.7599131475836762,1.553919133659662,39.229609100000744,
021ca5e3111a6981857af3cfcaf1667d877b09ec8f0b85e9cccde32a704eb6b9,train,B,G-S;G-E;F-S;F-E,74,69.56512624805245,278.2605049922098,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,2.7684628541232406,0.9008317701520632,37.65004570000019,
02217d86f27a2c1c657654dca880b5df448d1408f28802b92240e64d6db3bee2,train,U,F-S;F-E,109,103.67888757961595,414.7155503184638,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,4.138168684746572,0.35595777522625305,38.42260710000028,
022de1912291904224bcd2dc5bc0a181bc86af7cce34b2192b0aeca6eda678a4,train,L,G-S;G-E,89,84.83231279686782,339.3292511874713,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,3.43145575928046,0.482177558506351,41.59137890000011,
0249934261e357d2b78e1c1c5cc62872a20114f177494f036a2da88fabb562ac,train,L,F-S;F-E,90,85.72675402902063,342.9070161160825,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,3.360606690566152,0.7972724524724959,41.90919440000016,
0258d007333af7f8d3810a458cd8b37c6374cd4e88aa9726e1e111df67b9dd84,train,U,F-S;F-E,20,19.187468900265497,76.74987560106199,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,0.713613288142655,0.8149259703773888,35.73115910000024,
025f9dfc7ad4c2b34ec5209f3f514bf22917042c60393cc42635a8667fcd2f2f,train,L,F-S;F-E,45,43.22050418524282,172.88201674097127,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,1.8333040470746507,1.015314056960688,38.584793300000456,
0266b3f7f7681eebfb4bc56ffff4c1b3098d31c264d485b4eccc36bafe9c8849,train,U,G-S;G-E,41,38.89601880873624,155.58407523494495,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,1.6235915167871287,0.4367615455206011,35.25572659999989,
0292dd1fb30feeefb2d4a84a6d3900a72cbcc4e43433cd3247e50cd85608d0a2,train,U,G-S;G-E;F-S;F-E,87,82.94603201327152,331.7841280530861,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,3.2758694662582233,1.1620259603453502,37.094286399999646,
02baaf2c2577adfba3316722273ba77eb8c9051060dcde18461466a5484f30c8,test,P,G-S;F-S;G-E;F-E,86,82.16522215362448,328.66088861449794,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,3.231974374279382,0.9873211040746379,38.67763309999964,
02bfde5f319dff89928f5c5fbddfebeee6d84f2c928d21fe39d9f56caa0ffc07,dev,P,G-S;F-S;G-E;F-E,61,57.77505969791466,231.10023879165863,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,2.371612042860877,0.639991879029393,35.78388150000046,
02c277698a5952c10c2ab7c7453f9cf51401b3473d24ec36501c9f0c2d3c0f84,train,L,F-S;F-E,20,19.36603248563179,77.46412994252717,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,0.9196513194654502,0.44095661612944037,33.541005800000676,
02c673a7de7ed93d1d8c0c372d7b9cbf699e8ee889f54a1a492bf12c38258d92,train,U,G-S;G-E,64,60.57201476687895,242.2880590675158,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,2.5403063386781217,0.672683260563165,36.64855919999991,
02e7b5a5bc5fcdfd45825ab2d66fd6a50292c50476b088cbda3e2d1569fd469d,train,P,F-S;F-E,70,66.73408176733649,266.93632706934596,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,2.6641888370728517,0.9822827374722789,36.8320448999998,
02f6efc413474703a473cfc4066176144a3b94b681579c8fc1b1d0a3d2f1cfa2,train,U,G-S;G-E;F-S;F-E,56,53.286620483935444,213.14648193574178,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,2.0511191827899755,0.939550878239211,35.788938300000154,
03000969b4eaa68e2ea4490015be08d76aea54923afa75d9bee0acdf280817c9,test,L,G-S;F-S;G-E;F-E,66,63.010219359789126,252.0408774391565,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,2.6321767560767872,1.458692015710494,35.34877200000028,
0300aa4c69f1e19d4f96bb46ac80eb7301b63e8a3abc44547dc18ad45ee63565,test,B,G-S;F-S;G-E;F-E,38,35.514673824027895,142.05869529611158,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,1.0019874372815574,0.7016391335015011,35.26916080000046,
03122430e0677b0716f873452aec0b01c5d1dba82728f50adc7a83577e34e42c,train,B,F-S;F-E,64,61.38366742763462,245.53466971053848,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,succeeded,6,2.2129292799665476,1.022899296496903,37.865665399999216,
