scenario_id,candidate_id,inner_angle_deg,outer_angle_deg,current_angle_deg,ia_a,ib_a,ic_a,raw_gap_torque_nm,comparison_torque_nm
phase_p120,low_tavg,0,0,120.0,-1.7499999999999991,3.5,-1.7500000000000016,-0.8225569447241405,1.645113889448281
phase_p120,low_tavg,3,0,132.0,-2.341957122256004,3.42351660256832,-1.0815594803123165,-0.754852798476956,1.509705596953912
phase_p120,low_tavg,6,0,144.0,-2.8315594803123156,3.197409101749103,-0.3658496214367868,-1.08314363730653,2.16628727461306
phase_p120,low_tavg,9,0,156.0,-3.197409101749103,2.831559480312316,0.36584962143678545,-0.6747700715343071,1.3495401430686143
phase_p120,low_tavg,12,0,168.0,-3.42351660256832,2.341957122256004,1.0815594803123152,-0.9532449202138319,1.9064898404276638
phase_p120,low_tavg,15,0,180.0,-3.5,1.7500000000000004,1.7500000000000004,-0.8228426937608844,1.6456853875217687
phase_p120,median_tavg,0,0,120.0,-1.7499999999999991,3.5,-1.7500000000000016,-1.671410712280374,3.342821424560748
phase_p120,median_tavg,3,0,132.0,-2.341957122256004,3.42351660256832,-1.0815594803123165,-1.348258145463691,2.696516290927382
phase_p120,median_tavg,6,0,144.0,-2.8315594803123156,3.197409101749103,-0.3658496214367868,-1.6847199877755,3.369439975551
phase_p120,median_tavg,9,0,156.0,-3.197409101749103,2.831559480312316,0.36584962143678545,-1.441838141082374,2.883676282164748
phase_p120,median_tavg,12,0,168.0,-3.42351660256832,2.341957122256004,1.0815594803123152,-1.727725315027227,3.455450630054454
phase_p120,median_tavg,15,0,180.0,-3.5,1.7500000000000004,1.7500000000000004,-1.669991857262958,3.339983714525916
phase_p120,high_tavg,0,0,120.0,-1.7499999999999991,3.5,-1.7500000000000016,-1.85219808834781,3.70439617669562
phase_p120,high_tavg,3,0,132.0,-2.341957122256004,3.42351660256832,-1.0815594803123165,-1.802987760616998,3.605975521233996
phase_p120,high_tavg,6,0,144.0,-2.8315594803123156,3.197409101749103,-0.3658496214367868,-2.10661287475984,4.21322574951968
phase_p120,high_tavg,9,0,156.0,-3.197409101749103,2.831559480312316,0.36584962143678545,-1.840444960312129,3.680889920624258
phase_p120,high_tavg,12,0,168.0,-3.42351660256832,2.341957122256004,1.0815594803123152,-1.963148240893205,3.92629648178641
phase_p120,high_tavg,15,0,180.0,-3.5,1.7500000000000004,1.7500000000000004,-1.853054471647228,3.706108943294456
