model_id,evaluation_set,target,metric,mean,std
logical6x20/small_cnn_v2,full_validation,both,standardized_mse,0.018038361892276537,0.0
logical6x20/small_cnn_v2,full_validation,tavg,mae,0.009255197830498219,0.0
logical6x20/small_cnn_v2,full_validation,tavg,rmse,0.01380886510014534,0.0
logical6x20/small_cnn_v2,full_validation,tavg,r2,0.9984820485115051,0.0
logical6x20/small_cnn_v2,full_validation,tavg,normalized_mae_by_actual_range,0.004489338491111994,0.0
logical6x20/small_cnn_v2,full_validation,tavg,bias,0.0015571893891319633,0.0
logical6x20/small_cnn_v2,full_validation,tavg,calibration_slope_predicted_vs_actual,0.9872834218141009,0.0
logical6x20/small_cnn_v2,full_validation,tavg,calibration_intercept_nm,0.04096288123941639,0.0
logical6x20/small_cnn_v2,full_validation,tavg,absolute_error_p50,0.006737947463989258,0.0
logical6x20/small_cnn_v2,full_validation,tavg,absolute_error_p90,0.018706750124692917,0.0
logical6x20/small_cnn_v2,full_validation,tavg,absolute_error_p95,0.02463841438293457,0.0
logical6x20/small_cnn_v2,full_validation,tavg,fraction_absolute_error_le_0_05_nm,0.987505784359093,0.0
logical6x20/small_cnn_v2,full_validation,tavg,fraction_absolute_error_le_0_10_nm,0.999074502545118,0.0
logical6x20/small_cnn_v2,full_validation,delta_t,mae,0.026349470019340515,0.0
logical6x20/small_cnn_v2,full_validation,delta_t,rmse,0.03555154427886009,0.0
logical6x20/small_cnn_v2,full_validation,delta_t,r2,0.9662819504737854,0.0
logical6x20/small_cnn_v2,full_validation,delta_t,normalized_mae_by_actual_range,0.016613611951470375,0.0
logical6x20/small_cnn_v2,full_validation,delta_t,bias,0.0025466105435043573,0.0
logical6x20/small_cnn_v2,full_validation,delta_t,calibration_slope_predicted_vs_actual,0.9367738721232821,0.0
logical6x20/small_cnn_v2,full_validation,delta_t,calibration_intercept_nm,0.0283947020340958,0.0
logical6x20/small_cnn_v2,full_validation,delta_t,absolute_error_p50,0.02038636803627014,0.0
logical6x20/small_cnn_v2,full_validation,delta_t,absolute_error_p90,0.05695140361785889,0.0
logical6x20/small_cnn_v2,full_validation,delta_t,absolute_error_p95,0.07118640840053558,0.0
logical6x20/small_cnn_v2,full_validation,delta_t,fraction_absolute_error_le_0_05_nm,0.8653401203146691,0.0
logical6x20/small_cnn_v2,full_validation,delta_t,fraction_absolute_error_le_0_10_nm,0.9871972852074656,0.0
logical6x20/small_cnn_v2,full_test,both,standardized_mse,0.019566634024187055,0.0
logical6x20/small_cnn_v2,full_test,tavg,mae,0.009256134094986745,0.0
logical6x20/small_cnn_v2,full_test,tavg,rmse,0.014450388047612787,0.0
logical6x20/small_cnn_v2,full_test,tavg,r2,0.9983555645138382,0.0
logical6x20/small_cnn_v2,full_test,tavg,normalized_mae_by_actual_range,0.00438074842973574,0.0
logical6x20/small_cnn_v2,full_test,tavg,bias,0.0017798686862341255,0.0
logical6x20/small_cnn_v2,full_test,tavg,calibration_slope_predicted_vs_actual,0.9887339036440107,0.0
logical6x20/small_cnn_v2,full_test,tavg,calibration_intercept_nm,0.03669800439172684,0.0
logical6x20/small_cnn_v2,full_test,tavg,absolute_error_p50,0.006529092788696289,0.0
logical6x20/small_cnn_v2,full_test,tavg,absolute_error_p90,0.01872725486755372,0.0
logical6x20/small_cnn_v2,full_test,tavg,absolute_error_p95,0.025695610046386715,0.0
logical6x20/small_cnn_v2,full_test,tavg,fraction_absolute_error_le_0_05_nm,0.987505784359093,0.0
logical6x20/small_cnn_v2,full_test,tavg,fraction_absolute_error_le_0_10_nm,0.9983032546660496,0.0
logical6x20/small_cnn_v2,full_test,delta_t,mae,0.027189958917608274,0.0
logical6x20/small_cnn_v2,full_test,delta_t,rmse,0.03701930943244038,0.0
logical6x20/small_cnn_v2,full_test,delta_t,r2,0.9630123726797074,0.0
logical6x20/small_cnn_v2,full_test,delta_t,normalized_mae_by_actual_range,0.019674877576336625,0.0
logical6x20/small_cnn_v2,full_test,delta_t,bias,0.003428296409127853,0.0
logical6x20/small_cnn_v2,full_test,delta_t,calibration_slope_predicted_vs_actual,0.9356200176921765,0.0
logical6x20/small_cnn_v2,full_test,delta_t,calibration_intercept_nm,0.029580930795008828,0.0
logical6x20/small_cnn_v2,full_test,delta_t,absolute_error_p50,0.020735204219818115,0.0
logical6x20/small_cnn_v2,full_test,delta_t,absolute_error_p90,0.05834760069847108,0.0
logical6x20/small_cnn_v2,full_test,delta_t,absolute_error_p95,0.07425864338874816,0.0
logical6x20/small_cnn_v2,full_test,delta_t,fraction_absolute_error_le_0_05_nm,0.8563936449174765,0.0
logical6x20/small_cnn_v2,full_test,delta_t,fraction_absolute_error_le_0_10_nm,0.9844207928428197,0.0
logical6x20/mini_inception_v2,full_validation,both,standardized_mse,0.026937286504970258,0.0
logical6x20/mini_inception_v2,full_validation,tavg,mae,0.01960853487253189,0.0
logical6x20/mini_inception_v2,full_validation,tavg,rmse,0.042131207883358,0.0
logical6x20/mini_inception_v2,full_validation,tavg,r2,0.985869824886322,0.0
