tavg_band_nm,delta_t_band_nm,clean_unique_pool,v3_train,v3_validation,v3_test,v3_train_selected_over_pool_percent
<2.0,<0.2,16,15,0,1,93.75
<2.0,0.2-0.3,25,20,3,2,80.0
<2.0,0.3-0.4,28,21,4,3,75.0
<2.0,0.4-0.5,22,18,2,2,81.81818181818181
<2.0,0.5-0.75,45,34,6,5,75.55555555555556
<2.0,>=0.75,30,24,2,4,80.0
2.0-2.5,<0.2,431,283,42,31,65.66125290023201
2.0-2.5,0.2-0.3,715,445,76,61,62.23776223776224
2.0-2.5,0.3-0.4,794,493,67,74,62.09068010075567
2.0-2.5,0.4-0.5,816,507,85,88,62.13235294117647
2.0-2.5,0.5-0.75,1364,825,145,154,60.483870967741936
2.0-2.5,>=0.75,646,383,62,69,59.28792569659443
2.5-3.0,<0.2,1307,818,123,146,62.586074980872226
2.5-3.0,0.2-0.3,2764,1716,256,272,62.08393632416787
2.5-3.0,0.3-0.4,3376,2117,310,335,62.70734597156398
2.5-3.0,0.4-0.5,3057,1859,331,301,60.81125286228328
2.5-3.0,0.5-0.75,4585,2821,483,439,61.52671755725191
2.5-3.0,>=0.75,1526,905,159,169,59.30537352555701
3.0-3.25,<0.2,2026,1262,188,182,62.29022704837117
3.0-3.25,0.2-0.3,3557,2222,369,366,62.46837222378409
3.0-3.25,0.3-0.4,3811,2341,378,390,61.42744686434007
3.0-3.25,0.4-0.5,3120,1886,323,331,60.44871794871795
3.0-3.25,0.5-0.75,3933,2424,378,380,61.6323417238749
3.0-3.25,>=0.75,809,496,90,77,61.31025957972806
3.25-3.5,<0.2,3045,1868,307,310,61.34646962233169
3.25-3.5,0.2-0.3,4614,2861,446,475,62.00693541395752
3.25-3.5,0.3-0.4,4694,2870,458,482,61.141883255219426
3.25-3.5,0.4-0.5,3502,2136,370,353,60.99371787549971
3.25-3.5,0.5-0.75,3296,2051,329,307,62.226941747572816
3.25-3.5,>=0.75,425,275,48,31,64.70588235294117
3.5-3.75,<0.2,1129,680,134,108,60.23029229406554
3.5-3.75,0.2-0.3,1562,967,152,161,61.9078104993598
3.5-3.75,0.3-0.4,1507,944,153,149,62.641008626410084
3.5-3.75,0.4-0.5,978,595,91,95,60.83844580777096
3.5-3.75,0.5-0.75,914,558,87,97,61.050328227571114
3.5-3.75,>=0.75,86,61,1,8,70.93023255813954
>=3.75,<0.2,65,50,9,6,76.92307692307692
>=3.75,0.2-0.3,56,43,6,7,76.78571428571429
>=3.75,0.3-0.4,53,42,5,6,79.24528301886792
>=3.75,0.4-0.5,38,33,2,3,86.84210526315789
>=3.75,0.5-0.75,33,27,3,3,81.81818181818181
>=3.75,>=0.75,4,4,0,0,100.0
