split,target,band_nm,sample_count,split_percent
v3_train,tavg,<2.0,132,0.33
v3_train,tavg,2.0-2.5,2936,7.34
v3_train,tavg,2.5-3.0,10236,25.59
v3_train,tavg,3.0-3.25,10631,26.5775
v3_train,tavg,3.25-3.5,12061,30.1525
v3_train,tavg,3.5-3.75,3805,9.5125
v3_train,tavg,>=3.75,199,0.4975
v3_train,delta_t,<0.2,4976,12.44
v3_train,delta_t,0.2-0.3,8274,20.685
v3_train,delta_t,0.3-0.4,8828,22.07
v3_train,delta_t,0.4-0.5,7034,17.585
v3_train,delta_t,0.5-0.75,8740,21.85
v3_train,delta_t,>=0.75,2148,5.37
v3_validation,tavg,<2.0,17,0.2622242788832331
v3_validation,tavg,2.0-2.5,477,7.357704766311893
v3_validation,tavg,2.5-3.0,1662,25.636279500231375
v3_validation,tavg,3.0-3.25,1726,26.62347678543884
v3_validation,tavg,3.25-3.5,1958,30.202066944315902
v3_validation,tavg,3.5-3.75,618,9.53262378528459
v3_validation,tavg,>=3.75,25,0.3856239395341663
v3_validation,delta_t,<0.2,803,12.386240937837421
v3_validation,delta_t,0.2-0.3,1308,20.17584451642758
v3_validation,delta_t,0.3-0.4,1375,21.209316674379146
v3_validation,delta_t,0.4-0.5,1204,18.571648927965448
v3_validation,delta_t,0.5-0.75,1431,22.07311429893568
v3_validation,delta_t,>=0.75,362,5.583834644454727
v3_test,tavg,<2.0,17,0.2622242788832331
v3_test,tavg,2.0-2.5,477,7.357704766311893
v3_test,tavg,2.5-3.0,1662,25.636279500231375
v3_test,tavg,3.0-3.25,1726,26.62347678543884
v3_test,tavg,3.25-3.5,1958,30.202066944315902
v3_test,tavg,3.5-3.75,618,9.53262378528459
v3_test,tavg,>=3.75,25,0.3856239395341663
v3_test,delta_t,<0.2,784,12.093166743791455
v3_test,delta_t,0.2-0.3,1344,20.73114298935678
v3_test,delta_t,0.3-0.4,1439,22.19651395958661
v3_test,delta_t,0.4-0.5,1173,18.093475242943082
v3_test,delta_t,0.5-0.75,1385,21.36356625019281
v3_test,delta_t,>=0.75,358,5.522134814129261
