gene_id,split_role,source,family_id,parent_old_index,parameter_regime
ada4e79d68677036793d6b67ecf14b0b7ddc155cb4307d5c07dce5ea4523af11,train,L,expansion_f1_v1/L/pool/field_20132/attempt_0,,same_range
95878664e0637c0c525d1384c0dca93eedf80c15aa89032ff6121e7bf529fc62,train,L,expansion_f1_v1/L/pool/field_19760/attempt_0,,same_range
d6ed1a2f449c29f26ea83eedff55c72395cee8d47b66b0735efca5cbe45b4966,train,U,expansion_f1_v1/U/pool/field_16686/attempt_0,,same_range
f5ed871af7f72db1667b626260c1bfe43496e550273871e26efddf28a3fd4d81,train,U,expansion_f1_v1/U/pool/field_17841/attempt_0,,same_range
1c4036211dd56f8daee4b7d1f34fbfc5cc7981812b3e3f8cb8ee8d41167ce92b,train,B,expansion_f1_v1/B/pool/field_3085/attempt_0,,same_range
cae8a5600ca32c8176ad4020be43a9d62e04d4e9c7dcae900910558d43882fe4,train,L,expansion_f1_v1/L/pool/field_24837/attempt_0,,same_range
ba3f656f1ba9e7ab008767e27f1f07c24687ba546de1030ecebc437806314615,train,U,expansion_f1_v1/U/pool/field_15452/attempt_0,,same_range
50190197eeb7c43c60d09f8be168fcd47e438338dd2f28a02b598c06ec30c680,train,B,expansion_f1_v1/B/pool/field_2005/attempt_0,,same_range
15bfc106a9c8ec851d54401e2ed189c54c150ca27a099fd9c6d43d65cee52b66,train,B,expansion_f1_v1/B/pool/field_23651/attempt_0,,same_range
d43d2694490f55f360a01d618d825fb70c18efe2190e4ae70c67cded060e89dc,train,U,expansion_f1_v1/U/pool/field_2171/attempt_0,,same_range
a8b82c29df6986956fd09c4ca37af18f1f7d26e33e3200deaa985f1c5bc20919,train,B,expansion_f1_v1/B/pool/field_19746/attempt_0,,same_range
937d4fce1f788ccae9846cb2117cd2e8b7d9dfefd012592369665c7f454cbf2b,train,B,expansion_f1_v1/B/pool/field_16041/attempt_0,,same_range
775cac0fae0a4624d1656ee1d35ba3822bc4fac912fa672aba420330e406591c,train,U,expansion_f1_v1/U/pool/field_20132/attempt_0,,same_range
6ac9a3938c59fb891dc88064c023558679c70a7ae833cc8170d64b4f83aa92cc,train,L,expansion_f1_v1/L/pool/field_3315/attempt_0,,same_range
0bface670eab60a7db7520a0d2fbab734552f0b77faa992d99de9d9afdf72627,train,L,expansion_f1_v1/L/pool/field_19356/attempt_0,,same_range
62f7d0cbeff3d7feae7b2773f1a7c1130f5dd821f38fad0d1443e10dadc1dff1,train,B,expansion_f1_v1/B/pool/field_22769/attempt_0,,same_range
761e43ef326c5697cf237158601ead6f6622039be64fb801e4e2ececf09ee356,train,B,expansion_f1_v1/B/pool/field_15933/attempt_0,,same_range
d0adede66246e766164d1397d093bb599718b193b97bc45ad06aad00f89b9e37,train,B,expansion_f1_v1/B/pool/field_24438/attempt_0,,same_range
3978ad6c2843dcdd1e2f6e1e6f3f1bce4f5012098139e969cce558952e59c786,train,L,expansion_f1_v1/L/pool/field_15142/attempt_0,,same_range
c73f7ba177d86e45fc4a124de0fb1c030a3fc946757172df11167488bbb7dde4,train,U,expansion_f1_v1/U/pool/field_20544/attempt_0,,same_range
71732eebc821b9494b7adb3b0b86de1dcc6f764cd64b3e173f8b529e554b2921,train,B,expansion_f1_v1/B/pool/field_14527/attempt_0,,same_range
33aa6a59d841aebf1f0f1ff76c1577e085cd60990f3a022609af8bf7d8702074,train,U,expansion_f1_v1/U/pool/field_2976/attempt_0,,same_range
e9446bc1424cb0fa985ae38280275c07410322333ab663b201d99ff09cc59175,train,U,expansion_f1_v1/U/pool/field_9010/attempt_0,,same_range
9e9a421379885ba4acba35925347c4535919704777877a76d4627554b760d150,train,U,expansion_f1_v1/U/pool/field_23206/attempt_0,,same_range
64fea94e5ae7fc739eacf5d2e3583ed7c1d7d5bb110fb82813a32109132f0905,train,B,expansion_f1_v1/B/pool/field_15702/attempt_0,,same_range
4a8d0b9fcb2427d605fbfb7240c2605f842a9f6cc5869f54aba9df5de6301cad,train,U,expansion_f1_v1/U/pool/field_3605/attempt_0,,same_range
e21d1ab13cee7b3880553b5cdb8dcfccb11476b8c25446be77b78e9da45f8bc7,train,U,expansion_f1_v1/U/pool/field_12125/attempt_0,,same_range
daf9c11dd8831e796a22cfa9fd83a166f90c953485b3d44fbc32463c2c80a415,train,B,expansion_f1_v1/B/pool/field_20007/attempt_0,,same_range
63db1bae517cd0b2dcdba24de239000558cea7d13b3dc807a399b6cd5358ca9d,train,B,expansion_f1_v1/B/pool/field_23648/attempt_0,,same_range
63033ac8f6b7fd5a22ac8a5c317afb9b263122d6437f928a1b071491b4996329,train,B,expansion_f1_v1/B/pool/field_5702/attempt_0,,same_range
abe32fa1da9c1ea475ce81fd743234318df7f0e2670b2ba0b0755746f89c13ea,train,B,expansion_f1_v1/B/pool/field_11914/attempt_0,,same_range
cfb51f3ad02c25fe2578c9cc9980b00303db81002a2d5a0a86746c04e8d786aa,train,B,expansion_f1_v1/B/pool/field_10977/attempt_0,,same_range
