gene_id,bits,source,family_id,split_role,generator_parameters,seed,parent_old_index,parameter_regime,selection_method,selection_rank,selection_distance_squared,display_region_id,experiment_groups,magnet_cells,raw_bits,raw_gene_id,repair_changed_cells,repair_passes,magnet_area_sector_mm2,magnet_area_full_motor_mm2,status
09e8fcf71d89c475ef5f5673d8ace36d6ed4d131fade7937c7e80329876ea96a,100110101001111100111111110010111010010111100111111011110001111000101111001010100100110100011000001000101010011011011101,U,expansion_f1_v1/U/test/field_0/attempt_0,test,"{""attempt"": 0, ""m"": 65}",3043927880164158447,,same_range,,,,,f1_expansion,68,100110101001111100111111010010111010010111100110111011010001111000101111001010100100110100011000001000101010011011011101,de5ddb92c336a8c80585048ce4158068f6c02128ba1332237df99f1777e4b14f,3,1,64.42574160014718,257.7029664005887,pending
725d4c87c4a169c8db1e896bcd0ed003bc15c939ae1ccb69f3677ba525ba8b7c,000011000011110011111001011010011110101010011011110001001110011100101110100011100010101010101010010101001100110000101100,U,expansion_f1_v1/U/test/field_1/attempt_0,test,"{""attempt"": 0, ""m"": 61}",3043927880164158447,,same_range,,,,,f1_expansion,60,101010000011110011111001011010011110101010011011110001001110011100101110100011100010101010101010010101001100110000101100,48441007d0b825332c0f089fbb4563e45ac1d53a81d809fac32e4a17d5f0941d,3,1,57.01048289148277,228.0419315659311,pending
fa47b46ee808a3322d562ba88d117ee961eb6d099a29d424624896ec02a200e7,011001010111100100011010111100101111100100001010111100100000010100111110010000010011000100000010011001000101001000001100,U,expansion_f1_v1/U/test/field_2/attempt_0,test,"{""attempt"": 0, ""m"": 54}",3043927880164158447,,same_range,,,,,f1_expansion,51,011001010111100100011010111100101111100100001010111100100001010100111110010000010011000100000010011001000101101000001101,5ef681fd53f59964b91977b0ead2a5a1cd9c84877ca722dee9433f4e97ecc18c,3,1,48.40858799279348,193.6343519711739,pending
a1bfad8180c432b176de78d5ef73d660abc9a36c1f780c0da39b610bc738f824,010000100000010000000000000000000000000000010000011000100000100001000001000000000100000011000000000000000000000000000000,U,expansion_f1_v1/U/test/field_3/attempt_0,test,"{""attempt"": 0, ""m"": 20}",3043927880164158447,,same_range,,,,,f1_expansion,13,010100100000010000000000000000000000000100010000011000100000100001000001100000000100000011000000010010000000010001000000,9071bcb5b1844dbb1fd566b9a972c13ff6271b03cb36080407ba52a7e3f32660,7,1,12.293291199806356,49.173164799225425,pending
9425fd3d91a782b100c40fc97797979c72d20476601c5518ae6badcf25cbffe8,001111100111010011100110110101010101001110110011111000110010111111111111110011111110110110001001000001001111001011110111,U,expansion_f1_v1/U/test/field_4/attempt_0,test,"{""attempt"": 0, ""m"": 71}",3043927880164158447,,same_range,,,,,f1_expansion,74,001111100111010011100110110101010101001110110011011000110010111111111110110011111110110110001001000001001111001011110110,bb81600d42a067c4c5d75276f9e72bbda45a416282c17990b31ca48533164842,3,1,70.57157554738956,282.2863021895582,pending
737bb9ef611a3c8216825e59f47c57670839fbffea496e6d24941a7c1b24fcae,100000110000001100100110110010001000001000000000000000011000011000000000001100100000100000101100001000011111010011000101,U,expansion_f1_v1/U/test/field_5/attempt_0,test,"{""attempt"": 0, ""m"": 39}",3043927880164158447,,same_range,,,,,f1_expansion,35,100001110000001100100110110010001000101000000000000010011000011000000000001100100000100000101101001000011111010011000101,b48b1b53257b62c668dfce1ad6b38949d637ba871365b1b928bc265d2a1f8230,4,1,33.058612872581016,132.23445149032406,pending
fa41f55efd7faf578ff7646a8e8dc08e31764bbd847e8af410a26c73f8931303,110010111100011000101100110010011110011011000001011111000011111000111011000111111001111111000100001101010110111101111110,U,expansion_f1_v1/U/test/field_6/attempt_0,test,"{""attempt"": 0, ""m"": 69}",3043927880164158447,,same_range,,,,,f1_expansion,69,110010111100011000101100110010011110011011000001011111000011111000111011000111111001111111000100001101010110111101111110,fa41f55efd7faf578ff7646a8e8dc08e31764bbd847e8af410a26c73f8931303,0,0,65.54744557731155,262.1897823092462,pending
9c1dc20191b4408ef241ad4df360b5fc433168da8a48ec0a9860d2210332a0d5,000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000010000010000000000000000000,U,expansion_f1_v1/U/test/field_7/attempt_0,test,"{""attempt"": 0, ""m"": 12}",3043927880164158447,,same_range,,,,,f1_expansion,4,000000000000000000100110000000000000000000001000000000000100000000001000000001000000010000000010000010000000000100010000,7233671b0f39fd6f904fa0a64a4084551388b0f09aa784cdb4f3f3789698563d,8,1,3.8861929396984647,15.544771758793859,pending
fb2e49d81381665704bc0f11d247a318766e920cac3fca6b452134c10230dc84,111111110100110111011111001111101011111101001101111111101111110110001101100010011101001011001111001000011111101111111111,U,expansion_f1_v1/U/test/field_8/attempt_0,test,"{""attempt"": 0, ""m"": 83}",3043927880164158447,,same_range,,,,,f1_expansion,83,011111110100110111011111001111101011111101001101111111101111110110001101100010011101001011101111001000011111101111111111,ba51aca49bd92191d7ba1c5e08d538e6d475eabf02170213ed74aba48a142fca,2,1,79.25463571215437,317.01854284861747,pending
b4cc360cdc417beb6bd954db9456cfad4e832ef6943d0e9fd5776b432ca7a2e5,111110111100111111111110111110011100000101111111111111111111111110111110111111110110110110111101111110001111111101111101,U,expansion_f1_v1/U/test/field_9/attempt_0,test,"{""attempt"": 0, ""m"": 93}",3043927880164158447,,same_range,,,,,f1_expansion,96,111110111100111111111110111110011100000101111111011101111111111110111110111111010110110110111101111110001111111101111101,e5c7cb5940b778c778d165b19133ed85a9d31131d030990e7099cb6a7684b169,3,1,90.96353699621665,363.8541479848666,pending
34d9a2fde10ffa8ccfd35a5d5b7c1fdcb9d3dc58c5afc5fa18ca9128be118c86,100100100010000000001010000110000100000001000110110101000000011000000000000000000000000000000001000110001011001101000111,U,expansion_f1_v1/U/test/field_10/attempt_0,test,"{""attempt"": 0, ""m"": 34}",3043927880164158447,,same_range,,,,,f1_expansion,30,100100100010000000001010000110010100000001000110110101000000011000000000000000000010000000000001100110001011001101100111,f43ba8bf373307b635f43d2ec1b36f9d4034150262ea6eeb44afd65cc6c63025,4,1,28.813669456828574,115.2546778273143,pending
65f09c49b4241d50ac0d89d45c0dfc42bdb825d57c79725f24cbe0699515ae75,001110100001111000111011111000011101101001010000000010000100000100001000101111011101010000010111011111010111000100011110,U,expansion_f1_v1/U/test/field_11/attempt_0,test,"{""attempt"": 0, ""m"": 55}",3043927880164158447,,same_range,,,,,f1_expansion,56,001110100001111000011011111000011101101001010000000010010100000100001000101111011101010000010111011110010111000100011110,ab51e91c0f3c1e09f2016e9097f664fc7e606b1e46540987002cca11dc338314,3,1,53.31908659036564,213.27634636146257,pending
07ed411b9aeb3793e84b886bb1a57ebcf6c8dc7b5f6ba2448fbc45436d978850,000000000000000000001000001000001110100000100000000000000101001010000001010000001000000000100001010011000100010100100000,U,expansion_f1_v1/U/test/field_12/attempt_0,test,"{""attempt"": 0, ""m"": 26}",3043927880164158447,,same_range,,,,,f1_expansion,23,000010000000000000001000101000001110100000100000000000100101001010000001010000001000000000100001010011000100010100100000,f613f8e7e34ed8e4fe3459ed5b50ed4805e176bbc3a3f7d3f2be27501a0b11dc,3,1,21.870792596724012,87.48317038689605,pending
