candidate_pk,candidate_id,run_id,generation,candidate_order,chromosome_json,chromosome_hash,physical_key_hash,source,parent_candidate_id,parent_rank,clone_index,mutation_operator,mutation_strength,mutation_indices_json,hamming_distance_to_parent,lineage_id,status,validity_status,rejection_reasons_json,duplicate_of_sample_id,torque_ratio,historical_j,fitness_band,created_at,validated_at,completed_at
1,C000001,clonalg_real_2gen_20260806_001,1,1,"[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",00435b1e344f7280618f320a984a2ee6526a0debe44967d6f071d8662a6ceac3,16623498d2af3a714982c966d27cbd1c86b48f2626363ad866269fc43bc5bdb8,seed,,,,,,[],0,L-SEED,completed,valid,[],,0.9893318341621269,0.1240243898712507,B6,2026-08-07T00:07:15.404+02:00,2026-08-07T00:07:15.404+02:00,2026-08-07T00:08:45.243+02:00
2,C000002,clonalg_real_2gen_20260806_001,1,2,"[0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,0,2,2,2,2,0,1,1,1,1,2,2,2,2,1,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1]",90d2e35e5c22e80a9aa867c62661c59f70c262d53814e693f648710be660003c,c4324d21527a7d8f8a820915c7ba8677b8be20272ec4a1a2572a6bd97d8386ff,initial_near,,,,trit_initialization,0.05,"[10,90,104,152,157,176]",6,L-INIT-01,rejected,rejected,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]",,,1000200.0,,2026-08-07T00:08:45.297+02:00,2026-08-07T00:08:45.297+02:00,2026-08-07T00:08:45.305+02:00
3,C000003,clonalg_real_2gen_20260806_001,1,3,"[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,1,2,0,0,1,1,1,1,2,2,2,2,2,0,0,1,0,1,2,2,2,2,2,0,0,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",b077f29c9c6fb7f14db74d5bd9c0cb04c70c0c328fd2ecfc07744d41b5acab86,344652b4b7bb5f5fc9e6fefaf401737be2ace066f10b04064772b626f137802e,initial_near,,,,trit_initialization,0.05,"[52,66,68,76,152,157,164]",7,L-INIT-02,rejected,rejected,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]",,,1000100.0,,2026-08-07T00:08:45.384+02:00,2026-08-07T00:08:45.384+02:00,2026-08-07T00:08:45.392+02:00
4,C000004,clonalg_real_2gen_20260806_001,1,4,"[0,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,2,2,1,0,1,2,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,0,1,0,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,2,2,2,2,2,2,0,1,1,1,1,2,2,2,0,2,0,1,1,1,1,2,1,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",9850d770934a429d38b8b5be224342c3fcaad5571b5445d93e1174563ab85f92,908061c146c01712df872ed049dce49f11746b6343110654f564cca18b8f14a0,initial_near,,,,trit_initialization,0.05,"[4,17,33,36,57,109,123,131]",8,L-INIT-03,rejected,rejected,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]",,,1000250.0,,2026-08-07T00:08:45.485+02:00,2026-08-07T00:08:45.485+02:00,2026-08-07T00:08:45.496+02:00
5,C000005,clonalg_real_2gen_20260806_001,1,5,"[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,2,2,2,0,1,1,0,1,1,0,2,2,2,0,1,0,1,1,1,0,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,2,1,1,2,2,2,2,2,0,1,1,1,1,2,0,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,0,2,2,1,0,1,1,1,0,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,2,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1]",f17c8d7e2c800ac6c395c4bf6add1f1a30d729244ba87b3a5d4421287f8577f0,b9a3971f93b37977c6dec2602bbc514698ce4532311bfe9b31624895b4513b0a,initial_near,,,,trit_initialization,0.05,"[10,37,46,67,81,101,104,109,126,144,148,162,164,176]",14,L-INIT-04,rejected,rejected,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]",,,1000300.0,,2026-08-07T00:08:45.582+02:00,2026-08-07T00:08:45.582+02:00,2026-08-07T00:08:45.590+02:00
6,C000006,clonalg_real_2gen_20260806_001,1,6,"[0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,2,1,2,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,0,1,1,2,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,1,0,2,0,1,0,0,1,2,2,2,0,0,1,1,1,2,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1]",0747cde69927f2008423ba6806b64b66d54f8828a86defa4279ef4d651cc41a0,9cfed47378c96bebdbaada77ba4d14324742aac3128500962ac3b81e636a87da,initial_near,,,,trit_initialization,0.05,"[10,15,32,71,75,88,122,123,127,128,138,153,160,170]",14,L-INIT-05,rejected,rejected,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]",,,1000350.0,,2026-08-07T00:08:45.711+02:00,2026-08-07T00:08:45.711+02:00,2026-08-07T00:08:45.720+02:00
7,C000007,clonalg_real_2gen_20260806_001,1,7,"[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,2,2,0,2,0,1,1,1,1,1,0,1,2,2,0,1,1,1,1,1,0,2,1,2,0,0,1,1,1,1,2,2,2,2,0,0,1,1,0,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,2,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,0,2,0,1,1,1,2,2,2,2,1,0,1,0,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,2,1,1,1,1,0,1,2,1,1,1,1,1]",aa9abdad86b792a239e4a588244c070a481495d2ba43be37459bdb54c9621a79,27f6352291d0d6846e9a2d6656bebfcdd98b1dca10ec1d2bf1c61a097b39239f,initial_middle,,,,trit_initialization,0.12,"[25,26,30,32,41,52,64,68,88,105,114,115,116,124,127,149,160,161,167,172,174]",21,L-INIT-06,rejected,rejected,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]",,,1000550.0,,2026-08-07T00:08:45.805+02:00,2026-08-07T00:08:45.805+02:00,2026-08-07T00:08:45.814+02:00
8,C000008,clonalg_real_2gen_20260806_001,1,8,"[0,0,1,1,2,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,0,0,0,0,0,1,1,1,1,2,0,2,2,2,0,1,1,1,1,1,0,2,2,2,1,2,1,1,1,1,0,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,0,1,1,1,2,2,2,2,2,0,1,1,0,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,0,1,1,1,2,1,1,0,2,1,1,1,1,1,0,0,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,1,1]",e49327aeaf553ffcdf53bc790f55f50423878185228d4216240ded40bb122269,f475df11f1f76026ca9289f3d1c18763d99d85d273dbc9382ecae650cb0e3689,initial_middle,,,,trit_initialization,0.12,"[1,4,16,29,44,45,54,66,78,85,95,105,126,131,132,134,142,147,160,168,171,174,177]",23,L-INIT-07,rejected,rejected,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]",,,1000600.0,,2026-08-07T00:08:45.904+02:00,2026-08-07T00:08:45.904+02:00,2026-08-07T00:08:45.914+02:00
9,C000009,clonalg_real_2gen_20260806_001,1,9,"[0,1,1,1,1,0,1,1,2,1,0,1,1,0,1,2,1,1,1,1,0,0,0,1,0,1,1,1,2,1,0,2,0,2,0,1,1,1,1,1,0,2,2,0,2,2,1,1,2,0,0,2,2,2,2,1,1,0,1,1,2,2,2,2,0,1,1,2,1,1,2,2,2,2,2,0,0,1,1,2,2,2,2,0,0,0,0,1,1,1,2,1,2,2,2,0,2,1,1,1,0,2,2,2,2,0,1,0,1,1,0,2,2,0,1,0,1,2,0,1,2,1,2,0,2,0,1,0,1,1,2,2,2,0,1,1,1,1,1,2,0,1,0,1,1,1,0,1,2,1,1,2,0,0,1,0,1,2,1,1,1,1,0,1,1,1,0,2,1,1,2,1,2,1,1,1,0,1,1,1]",0970ecb781a6fec6b7fa88064311a0bfac57540477b0c5fbff726a6d08baee00,6ee116978d0d3d845a732d114fcb9bd6de33a9f13d02804a3f21eb5dc1908c14,initial_far,,,,trit_initialization,0.25,"[5,8,13,15,23,28,32,43,44,45,48,49,54,55,57,64,65,67,76,79,83,84,86,91,96,100,107,110,113,114,117,118,121,123,127,134,139,141,142,146,148,151,152,153,155,157,162,166,167,170,172,176]",52,L-INIT-08,rejected,rejected,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]",,,1002600.0,,2026-08-07T00:08:45.987+02:00,2026-08-07T00:08:45.987+02:00,2026-08-07T00:08:45.995+02:00
10,C000010,clonalg_real_2gen_20260806_001,1,10,"[0,2,1,2,1,1,2,1,0,1,0,1,1,2,2,0,2,1,2,0,1,1,1,1,1,0,1,0,2,0,2,0,0,2,2,0,0,0,2,1,0,0,0,0,2,1,0,0,1,1,1,0,0,0,2,0,0,1,1,2,0,2,0,2,1,1,1,2,2,0,1,2,1,0,2,0,2,2,0,1,2,1,2,1,1,2,0,0,1,1,1,2,2,2,1,1,0,1,2,1,1,1,1,1,1,0,2,1,2,1,2,1,2,2,2,2,0,1,0,1,2,1,0,2,2,0,2,2,2,0,2,0,1,0,1,1,2,2,2,0,2,2,0,2,2,1,1,2,0,2,0,2,1,1,1,2,0,2,2,2,2,0,1,0,0,2,2,0,0,0,0,0,2,1,1,0,1,2,0,0]",9843787acfc75fa8f2cc50c7c9bf9dc3a784f78875c41de0eca6613e9967718d,819f3a90199174b86fad0359cb9d8a234bc54e56dd52a772b24da052543775c4,initial_random,,,,full_random,,"[1,3,6,8,13,14,15,16,18,19,20,21,22,23,24,25,27,28,29,30,31,32,34,35,36,37,38,41,42,43,44,46,47,50,51,52,53,54,56,59,60,62,64,65,67,68,69,70,72,73,76,77,78,81,83,84,85,86,87,90,94,95,96,98,100,101,102,103,104,106,108,111,115,116,118,121,122,126,127,128,129,131,132,134,136,137,138,139,140,141,142,143,144,147,148,149,150,151,155,156,157,158,159,160,161,163,164,165,166,167,168,169,170,171,172,175,177,178,179]",119,L-RANDOM-1-09,rejected,rejected,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]",,,1004250.0,,2026-08-07T00:08:46.087+02:00,2026-08-07T00:08:46.087+02:00,2026-08-07T00:08:46.093+02:00
