candidate_pk,candidate_id,run_id,generation,candidate_order,chromosome_json,chromosome_hash,physical_key_hash,source,parent_candidate_id,parent_rank,clone_index,mutation_operator,mutation_strength,mutation_indices_json,hamming_distance_to_parent,lineage_id,status,validity_status,rejection_reasons_json,duplicate_of_sample_id,torque_ratio,historical_j,fitness_band,created_at,validated_at,completed_at
1,C000001,improved_dataset_1000_20260807_001,0,1,"[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",00435b1e344f7280618f320a984a2ee6526a0debe44967d6f071d8662a6ceac3,16623498d2af3a714982c966d27cbd1c86b48f2626363ad866269fc43bc5bdb8,improved_initial_parent,,1,,,,[],0,L-SEED,completed,valid,[],,0.9893318341621269,0.1240243898712507,B6,2026-08-07T01:34:43.094+02:00,2026-08-07T01:34:43.094+02:00,2026-08-07T01:36:12.025+02:00
2,C000002,improved_dataset_1000_20260807_001,0,2,"[2,2,2,2,0,2,0,0,0,0,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,1,0,2,2,2,0,2,2,2,2,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0e029a408a20d987fd4779ff0c0e081c76b9f13e4d6ddd33bcabba6cc88c3b78,52c123036edd7eb0a6c5c26721d1ef330faed29911f3b9b6aef40d2514783b66,improved_initial_parent,,2,,,,[],0,L-SEED,completed,valid,[],,0.1203928161065561,8.729340416324618,B1,2026-08-07T01:36:12.162+02:00,2026-08-07T01:36:12.162+02:00,2026-08-07T01:37:10.242+02:00
3,C000003,improved_dataset_1000_20260807_001,0,3,"[2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,0,2,2,0,0,0,1,1,1,1,0,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1]",fcb16126af2775876bf45d40a1cba0aeb86b966c96d052b8522dfd6ac00c0f89,69b9b5563e80b7c104df3e486ae740b7c8e5a3d24df3a4436481d3b15ee45f33,improved_initial_parent,,3,,,,[],0,L-SEED,completed,valid,[],,0.6397225367019447,3.3061462197811045,B3,2026-08-07T01:37:10.387+02:00,2026-08-07T01:37:10.387+02:00,2026-08-07T01:38:59.989+02:00
4,C000004,improved_dataset_1000_20260807_001,0,4,"[2,2,1,1,0,1,0,0,0,0,2,1,1,1,1,1,1,0,0,0,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,1,1,1,2,2,1,1,1,0,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",003241021410a984e37578d263484fefd770835e3ab2b7fdd61ecc533c91fa96,30d80c115a1586489a929fb103af176094f7567be78743e881ea233c73ce8edc,improved_initial_parent,,4,,,,[],0,L-SEED,completed,valid,[],,0.18731727961826358,11.566277320168856,B1,2026-08-07T01:39:00.163+02:00,2026-08-07T01:39:00.163+02:00,2026-08-07T01:45:09.999+02:00
5,C000005,improved_dataset_1000_20260807_001,0,5,"[2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,1,1,1,0,0,2,2,2,0,1,1,1,1,0,0,2,2,2,0,1,1,1,1,1,0,2,2,2,2,1,1,1,1,0,2,2,2,2,2,2,2,1,1,1,2,0,2,0,2,1,1,1,1,1,2,0,2,2,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,2,2,1,1,1,0,0,0,1,1,2,2,2,2,2,0,1,1,1,1,2,0,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",a5f97509b7941073ef8d78eb48dccd3dd9e90df65b0eb419ede553722fdf19fe,dd22db9bcd103c03c28d836cf4f186d27f05e43b2dfe4f0dd8930a6c327af29e,improved_initial_parent,,5,,,,[],0,L-SEED,completed,valid,[],,0.34404926514342293,6.400070240669342,B1,2026-08-07T01:45:10.142+02:00,2026-08-07T01:45:10.142+02:00,2026-08-07T02:19:29.696+02:00
6,C000006,improved_dataset_1000_20260807_001,0,6,"[0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,2,2,2,2,0,0,2,2,2,0,2,2,2,0,0,0,2,0,2,0,0,2,2,2,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",99b5dd3b763c86adffe5f6ec20ab9bc27bef0c76272666194054b29d0620a9ee,ba2bbf02996a871c6c9f3be7467c53347ab5f1033a65fd7454e75e32ce469540,improved_initial_parent,,6,,,,[],0,L-SEED,completed,valid,[],,0.08632730654339835,9.166036658141195,B1,2026-08-07T02:22:48.220+02:00,2026-08-07T02:22:48.220+02:00,2026-08-07T02:24:12.700+02:00
7,C000007,improved_dataset_1000_20260807_001,0,7,"[0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,2,2,2,2,0,0,2,2,2,0,2,2,2,0,0,0,2,2,2,0,0,2,2,2,2,0,2,2,2,0,0,2,0,2,2,2,2,2,2,2,0,2,2,2,1,2,2,2,2,2,0,2,1,1,1,2,2,2,2,2,0,2,2,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",abea64b08c0671fc72f7d376d82a193c990530e9f0941a372ff4938bb1806d03,0c0ddb21057e548b5874b6e6e6c7e0de2eb89bbed99eec26c3642762c43b74e5,improved_initial_parent,,7,,,,[],0,L-SEED,completed,valid,[],,0.12264845835203314,8.708134267113602,B1,2026-08-07T02:24:12.828+02:00,2026-08-07T02:24:12.828+02:00,2026-08-07T02:26:02.897+02:00
8,C000008,improved_dataset_1000_20260807_001,0,8,"[2,2,2,2,0,2,0,0,0,0,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,0,0,0,0,0,2,2,1,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,1,1,1,2,2,1,1,1,0,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",aeacf5a36ac4a9cc1820ba987a0988e6288fc15b836b36fedfa680629b942ce1,3681c336631b75e6ebba8eeb4beaa18c7a7f3772b0d0bc6934778e671bc05c54,improved_initial_parent,,8,,,,[],0,L-SEED,completed,valid,[],,0.10496079414286412,8.951524192145639,B1,2026-08-07T02:26:03.094+02:00,2026-08-07T02:26:03.094+02:00,2026-08-07T02:31:05.363+02:00
9,C000009,improved_dataset_1000_20260807_001,0,9,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",35c14d9a0d099e60e44e7cbc4f07334e2a4ed868a00474f74300c286750f6ab6,2f02c7e92d6514d1d2c43b73ff83d30938dedc54ca5f673a3eced05ecd1a3b76,improved_initial_parent,,9,,,,[],0,L-SEED,completed,valid,[],,0.0817534533545541,9.164780749307733,B1,2026-08-07T02:31:05.538+02:00,2026-08-07T02:31:05.538+02:00,2026-08-07T02:31:52.869+02:00
10,C000010,improved_dataset_1000_20260807_001,0,10,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,2,2,2,0,2,2,2,2,0,0,2,2,2,2,2,0,1,0,0,0,2,2,2,2,2,0,1,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",5c12e402b40206dd93d087240fc359729d96906d1d2977c1020360ac4f3c60cc,c70bea51a635ca676a422b9886610c7e9c4655ff5d1887f1945b29863e2a0e41,improved_initial_parent,,10,,,,[],0,L-SEED,completed,valid,[],,0.08911984261137666,9.07794706735766,B1,2026-08-07T02:31:53.020+02:00,2026-08-07T02:31:53.020+02:00,2026-08-07T02:32:43.706+02:00
