sample_pk,sample_id,run_id,first_candidate_id,sample_kind,physical_key_hash,chromosome_json,material_matrix_json,chromosome_hash,config_hash,geometry_mode,angles_json,status,completed_angle_count,t_avg,t_min,t_max,t_ripple,t_avg_ref,torque_ratio,historical_j,fitness_band,selection_fitness,build_time,mesh_time,solve_time,postprocess_time,total_time,mesh_nodes,mesh_elements,geometry_points,geometry_segments,material_labels,femm_version,solver_status,attempt_count,error_type,error_message,created_at,started_at,completed_at
1,S000001,improved_dataset_1000_20260807_001,,reference,fc56f88dd6fc5b0e6a83b5e2847e0e1f7cabebcc81f87f35f967606da9dd992e,,,,f18b26cec31861eb763ac2c0500d3832779dd39cb27d4f58c59382f0d1c5f4a3,strukturFemm_unsegmented,"[0.0,3.0,6.0,9.0,12.0,15.0]",classified,6,0.8707406437252049,0.8239739430460672,0.9264456473553854,0.11768338258671775,,,,,,0.0,1.3547436999942875,17.59380840000813,0.12173290000646375,19.40189699998882,10718,20614,161,171,18,4.2,completed,6,,,2026-08-07T01:34:04.115+02:00,2026-08-07T01:34:04.126+02:00,2026-08-07T01:34:29.090+02:00
2,S000002,improved_dataset_1000_20260807_001,C000001,candidate,16623498d2af3a714982c966d27cbd1c86b48f2626363ad866269fc43bc5bdb8,"[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[[0,1,1,1,1,1,1,1,1,1],[0,1,1,1,1,1,1,1,1,1],[0,0,0,0,0,1,1,1,1,1],[0,2,2,2,0,1,1,1,1,1],[0,2,2,2,0,1,1,1,1,1],[0,2,2,2,0,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,0,0,1,1,1,1,1],[0,0,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1]]",00435b1e344f7280618f320a984a2ee6526a0debe44967d6f071d8662a6ceac3,f18b26cec31861eb763ac2c0500d3832779dd39cb27d4f58c59382f0d1c5f4a3,merged_copper_v5,"[0.0,3.0,6.0,9.0,12.0,15.0]",classified,6,0.861451438136168,0.8219841185726818,0.9288250944140395,0.12402437457475056,0.8707406437252049,0.9893318341621269,0.1240243898712507,B6,0.9893318341621269,4.068572199998016,2.785003400000278,74.46055329999217,0.23767660000157775,82.20901979998598,22642,44052,848,888,48,4.2,completed,6,,,2026-08-07T01:34:43.102+02:00,2026-08-07T01:34:43.146+02:00,2026-08-07T01:36:11.966+02:00
3,S000003,improved_dataset_1000_20260807_001,C000002,candidate,52c123036edd7eb0a6c5c26721d1ef330faed29911f3b9b6aef40d2514783b66,"[2,2,2,2,0,2,0,0,0,0,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,1,0,2,2,2,0,2,2,2,2,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[[2,2,2,2,0,2,0,0,0,0],[2,2,2,2,2,2,2,0,0,0],[2,2,2,2,2,2,2,2,2,2],[2,2,2,2,2,2,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[2,0,0,0,0,2,1,1,1,0],[2,2,2,0,2,2,2,2,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,0,0,1,1,1,1,1],[0,0,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1]]",0e029a408a20d987fd4779ff0c0e081c76b9f13e4d6ddd33bcabba6cc88c3b78,f18b26cec31861eb763ac2c0500d3832779dd39cb27d4f58c59382f0d1c5f4a3,merged_copper_v5,"[0.0,3.0,6.0,9.0,12.0,15.0]",classified,6,0.10483091819651287,0.1026817794822575,0.106846384630872,0.03972687848452929,0.8707406437252049,0.1203928161065561,8.729340416324618,B1,0.1203928161065561,5.479152499996417,3.188188000007358,41.42733670001326,0.26350210000236984,51.074278799998865,25788,50344,1160,1224,78,4.2,completed,6,,,2026-08-07T01:36:12.169+02:00,2026-08-07T01:36:12.257+02:00,2026-08-07T01:37:10.143+02:00
4,S000004,improved_dataset_1000_20260807_001,C000003,candidate,69b9b5563e80b7c104df3e486ae740b7c8e5a3d24df3a4436481d3b15ee45f33,"[2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,0,2,2,0,0,0,1,1,1,1,0,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1]","[[2,1,1,1,1,1,1,1,1,1],[2,1,1,1,1,1,1,1,1,1],[2,2,2,2,2,1,1,1,1,1],[2,2,2,2,2,1,1,1,1,1],[2,2,2,2,2,1,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[0,2,2,0,0,0,1,1,1,1],[0,2,0,0,0,0,1,1,1,1],[0,0,0,0,0,0,1,1,1,1],[0,0,0,0,0,0,1,0,1,1],[0,0,0,0,0,0,0,0,1,1],[0,0,0,0,0,0,0,0,0,1],[0,0,0,0,0,0,0,0,0,1],[0,0,0,0,0,0,0,0,1,1],[0,0,0,0,0,0,0,0,1,1]]",fcb16126af2775876bf45d40a1cba0aeb86b966c96d052b8522dfd6ac00c0f89,f18b26cec31861eb763ac2c0500d3832779dd39cb27d4f58c59382f0d1c5f4a3,merged_copper_v5,"[0.0,3.0,6.0,9.0,12.0,15.0]",classified,6,0.5570324134133723,0.4744811821431186,0.6243515173049913,0.26905137215175723,0.8707406437252049,0.6397225367019447,3.3061462197811045,B3,0.6397225367019447,3.6195895000055316,2.7172525000059977,95.54771579999215,0.2307624000168289,102.76825130000361,22956,44682,830,858,36,4.2,completed,6,,,2026-08-07T01:37:10.397+02:00,2026-08-07T01:37:10.458+02:00,2026-08-07T01:38:59.878+02:00
5,S000005,improved_dataset_1000_20260807_001,C000004,candidate,30d80c115a1586489a929fb103af176094f7567be78743e881ea233c73ce8edc,"[2,2,1,1,0,1,0,0,0,0,2,1,1,1,1,1,1,0,0,0,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,1,1,1,2,2,1,1,1,0,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[[2,2,1,1,0,1,0,0,0,0],[2,1,1,1,1,1,1,0,0,0],[2,1,1,1,1,1,1,1,1,0],[1,1,1,1,1,1,1,0,0,0],[0,1,1,1,1,1,0,0,0,0],[0,1,0,1,1,0,0,0,0,0],[1,1,1,1,1,1,1,1,1,0],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,0,0],[2,1,1,1,2,2,1,1,1,0],[2,2,2,1,2,2,2,2,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,0,0,1,1,1,1,1],[0,0,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1]]",003241021410a984e37578d263484fefd770835e3ab2b7fdd61ecc533c91fa96,f18b26cec31861eb763ac2c0500d3832779dd39cb27d4f58c59382f0d1c5f4a3,merged_copper_v5,"[0.0,3.0,6.0,9.0,12.0,15.0]",classified,6,0.16310476863566103,-0.1278595668544958,0.460147299972153,3.6050869128181184,0.8707406437252049,0.18731727961826358,11.566277320168856,B1,0.18731727961826358,3.5164317000017036,3.2286159000068437,354.74749140000495,0.4367915999973775,362.786128599997,27378,53516,1070,1140,90,4.2,completed,6,,,2026-08-07T01:39:00.170+02:00,2026-08-07T01:39:00.257+02:00,2026-08-07T01:45:09.908+02:00
6,S000006,improved_dataset_1000_20260807_001,C000005,candidate,dd22db9bcd103c03c28d836cf4f186d27f05e43b2dfe4f0dd8930a6c327af29e,"[2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,1,1,1,0,0,2,2,2,0,1,1,1,1,0,0,2,2,2,0,1,1,1,1,1,0,2,2,2,2,1,1,1,1,0,2,2,2,2,2,2,2,1,1,1,2,0,2,0,2,1,1,1,1,1,2,0,2,2,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,2,2,1,1,1,0,0,0,1,1,2,2,2,2,2,0,1,1,1,1,2,0,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[[2,2,2,2,2,2,2,2,0,0],[0,2,2,2,2,2,2,2,2,0],[0,2,2,2,2,2,1,1,1,0],[0,2,2,2,0,1,1,1,1,0],[0,2,2,2,0,1,1,1,1,1],[0,2,2,2,2,1,1,1,1,0],[2,2,2,2,2,2,2,1,1,1],[2,0,2,0,2,1,1,1,1,1],[2,0,2,2,1,1,0,1,1,1],[1,1,1,1,1,1,0,0,1,1],[2,2,1,1,1,0,0,0,1,1],[2,2,2,2,2,0,1,1,1,1],[2,0,2,2,2,2,1,1,1,1],[2,2,2,2,2,1,1,1,1,1],[2,2,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1]]",a5f97509b7941073ef8d78eb48dccd3dd9e90df65b0eb419ede553722fdf19fe,f18b26cec31861eb763ac2c0500d3832779dd39cb27d4f58c59382f0d1c5f4a3,merged_copper_v5,"[0.0,3.0,6.0,9.0,12.0,15.0]",classified,6,0.2995776786041678,0.2769253803730499,0.3203015943254964,0.1447912079249385,0.8707406437252049,0.34404926514342293,6.400070240669342,B1,0.34404926514342293,7.3272217999983695,4.2987591000055545,552.9197062000021,0.3464287000024342,565.9711792999951,35767,70298,1508,1578,96,4.2,completed,8,,,2026-08-07T01:45:10.149+02:00,2026-08-07T01:45:10.218+02:00,2026-08-07T02:19:29.541+02:00
7,S000007,improved_dataset_1000_20260807_001,C000006,candidate,ba2bbf02996a871c6c9f3be7467c53347ab5f1033a65fd7454e75e32ce469540,"[0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,2,2,2,2,0,0,2,2,2,0,2,2,2,0,0,0,2,0,2,0,0,2,2,2,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[[0,0,0,0,0,2,2,0,2,0],[0,0,0,0,0,0,2,2,2,2],[0,0,0,0,0,2,2,2,2,0],[0,2,2,2,0,2,2,2,0,0],[0,2,0,2,0,0,2,2,2,2],[0,0,0,0,0,0,2,0,2,2],[0,0,0,0,0,0,2,2,2,1],[0,0,0,0,0,0,2,1,1,1],[0,0,0,0,0,0,2,2,1,1],[0,0,0,0,0,0,1,1,1,1],[0,0,0,0,0,0,1,1,1,1],[0,0,0,0,0,0,1,1,1,1],[0,0,0,0,0,0,1,1,1,1],[0,0,0,0,0,1,1,1,1,1],[0,0,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1]]",99b5dd3b763c86adffe5f6ec20ab9bc27bef0c76272666194054b29d0620a9ee,f18b26cec31861eb763ac2c0500d3832779dd39cb27d4f58c59382f0d1c5f4a3,merged_copper_v5,"[0.0,3.0,6.0,9.0,12.0,15.0]",classified,6,0.07516869447066177,0.06992882635902195,0.07787004742058365,0.10564532372796691,0.8707406437252049,0.08632730654339835,9.166036658141195,B1,0.08632730654339835,4.687278099998366,3.541987800010247,68.14480390000244,0.3104707000020426,77.55520420000539,30794,60360,1220,1266,78,4.2,completed,6,,,2026-08-07T02:22:48.227+02:00,2026-08-07T02:22:48.274+02:00,2026-08-07T02:24:12.638+02:00
8,S000008,improved_dataset_1000_20260807_001,C000007,candidate,0c0ddb21057e548b5874b6e6e6c7e0de2eb89bbed99eec26c3642762c43b74e5,"[0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,2,2,2,2,0,0,2,2,2,0,2,2,2,0,0,0,2,2,2,0,0,2,2,2,2,0,2,2,2,0,0,2,0,2,2,2,2,2,2,2,0,2,2,2,1,2,2,2,2,2,0,2,1,1,1,2,2,2,2,2,0,2,2,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[[0,0,0,0,0,2,2,0,2,0],[0,0,0,0,0,0,2,2,2,2],[0,0,0,0,0,2,2,2,2,0],[0,2,2,2,0,2,2,2,0,0],[0,2,2,2,0,0,2,2,2,2],[0,2,2,2,0,0,2,0,2,2],[2,2,2,2,2,0,2,2,2,1],[2,2,2,2,2,0,2,1,1,1],[2,2,2,2,2,0,2,2,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,0,0,1,1,1,1,1],[0,0,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1]]",abea64b08c0671fc72f7d376d82a193c990530e9f0941a372ff4938bb1806d03,f18b26cec31861eb763ac2c0500d3832779dd39cb27d4f58c59382f0d1c5f4a3,merged_copper_v5,"[0.0,3.0,6.0,9.0,12.0,15.0]",classified,6,0.10679499757735332,0.1035409522169608,0.1081407966138387,0.04307172153401808,0.8707406437252049,0.12264845835203314,8.708134267113602,B1,0.12264845835203314,8.286762999996427,4.212869899994985,88.72458400000323,0.35188419999030884,102.55663709998771,35501,69766,1400,1464,90,4.2,completed,6,,,2026-08-07T02:24:12.836+02:00,2026-08-07T02:24:12.905+02:00,2026-08-07T02:26:02.748+02:00
9,S000009,improved_dataset_1000_20260807_001,C000008,candidate,3681c336631b75e6ebba8eeb4beaa18c7a7f3772b0d0bc6934778e671bc05c54,"[2,2,2,2,0,2,0,0,0,0,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,0,0,0,0,0,2,2,1,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,1,1,1,2,2,1,1,1,0,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[[2,2,2,2,0,2,0,0,0,0],[2,2,2,2,2,2,2,0,0,0],[2,2,2,2,2,2,2,2,2,2],[2,2,2,2,2,2,2,0,0,0],[0,2,2,2,2,2,0,0,0,0],[0,2,2,1,2,0,0,0,0,0],[1,1,1,1,1,1,1,1,1,0],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,0,0],[2,1,1,1,2,2,1,1,1,0],[2,2,2,1,2,2,2,2,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,0,0,1,1,1,1,1],[0,0,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1]]",aeacf5a36ac4a9cc1820ba987a0988e6288fc15b836b36fedfa680629b942ce1,f18b26cec31861eb763ac2c0500d3832779dd39cb27d4f58c59382f0d1c5f4a3,merged_copper_v5,"[0.0,3.0,6.0,9.0,12.0,15.0]",classified,6,0.09139362945786622,0.08833288884802856,0.0969188217899693,0.09394454507246566,0.8707406437252049,0.10496079414286412,8.951524192145639,B1,0.10496079414286412,6.248069599998416,3.674334199997247,283.9697324000008,0.31572859999141656,295.073693600003,30679,60120,1316,1392,90,4.2,completed,6,,,2026-08-07T02:26:03.103+02:00,2026-08-07T02:26:03.160+02:00,2026-08-07T02:31:05.285+02:00
10,S000010,improved_dataset_1000_20260807_001,C000009,candidate,2f02c7e92d6514d1d2c43b73ff83d30938dedc54ca5f673a3eced05ecd1a3b76,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,2,2,2,0,0,0,0,0,0],[0,2,2,2,0,0,0,0,0,0],[0,2,2,2,0,0,0,0,0,0],[2,2,2,2,2,2,2,2,2,2],[2,2,2,2,2,2,2,2,2,2],[2,2,2,2,2,2,2,2,2,2],[2,2,2,2,2,2,2,2,2,2],[2,2,2,2,2,2,2,2,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,0,0,1,1,1,1,1],[0,0,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1]]",35c14d9a0d099e60e44e7cbc4f07334e2a4ed868a00474f74300c286750f6ab6,f18b26cec31861eb763ac2c0500d3832779dd39cb27d4f58c59382f0d1c5f4a3,merged_copper_v5,"[0.0,3.0,6.0,9.0,12.0,15.0]",classified,6,0.07118605460070294,0.06911232221863596,0.07299953756657869,0.05460641652001801,0.8707406437252049,0.0817534533545541,9.164780749307733,B1,0.0817534533545541,5.358866800001124,2.4344638000038685,31.623530299999402,0.21718370000598952,40.204851700007566,20326,39410,866,912,54,4.2,completed,6,,,2026-08-07T02:31:05.545+02:00,2026-08-07T02:31:05.657+02:00,2026-08-07T02:31:52.768+02:00
