sample_pk,sample_id,run_id,first_candidate_id,sample_kind,physical_key_hash,chromosome_json,material_matrix_json,chromosome_hash,config_hash,geometry_mode,angles_json,status,completed_angle_count,t_avg,t_min,t_max,t_ripple,t_avg_ref,torque_ratio,historical_j,fitness_band,selection_fitness,build_time,mesh_time,solve_time,postprocess_time,total_time,mesh_nodes,mesh_elements,geometry_points,geometry_segments,material_labels,femm_version,solver_status,attempt_count,error_type,error_message,created_at,started_at,completed_at
1,S000001,band_supplement_300_20260808_001,,reference,fc56f88dd6fc5b0e6a83b5e2847e0e1f7cabebcc81f87f35f967606da9dd992e,,,,15da216552b4cfea918047a7df61cbefcef1478be37754a079fdc1a1303a6d55,strukturFemm_unsegmented,"[0.0,3.0,6.0,9.0,12.0,15.0]",classified,6,0.8707406437252049,0.8239739430460672,0.9264456473553854,0.11768338258671775,,,,,,0.0,1.3699305999907665,17.31193730002269,0.11930500000016764,19.143840799981263,10718,20614,161,171,18,4.2,completed,6,,,2026-08-08T16:15:52.397+02:00,2026-08-08T16:15:52.407+02:00,2026-08-08T16:16:17.156+02:00
2,S000002,band_supplement_300_20260808_001,C000001,candidate,1908b71eb0fe0af518d665e301e830fe36a74c141d67c80c46798211d449cbb9,"[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,0,0,1,1,1,0,1,1,2,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,0,0,0,2,2,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[[0,1,1,1,1,1,1,1,1,1],[0,1,1,1,1,1,0,0,1,1],[0,0,0,0,0,0,0,0,0,1],[0,2,2,2,0,0,0,1,1,1],[0,1,1,2,0,0,0,0,1,1],[0,1,0,1,0,0,0,1,1,1],[0,1,1,1,1,0,0,1,1,1],[0,0,1,1,1,1,1,1,1,1],[0,0,0,0,2,1,1,1,1,1],[0,0,0,2,2,1,1,1,1,1],[0,0,0,0,2,1,1,1,1,1],[0,0,0,0,0,1,1,1,1,1],[0,0,0,0,0,1,1,1,1,1],[0,0,0,0,0,1,1,1,1,1],[0,0,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1]]",03e8feb85ae05b45e1531004c2a1b7b412a610906b2d109c6d968950d26c3470,15da216552b4cfea918047a7df61cbefcef1478be37754a079fdc1a1303a6d55,merged_copper_v5,"[0.0,3.0,6.0,9.0,12.0,15.0]",classified,6,0.5008316544192007,0.3640692635514394,0.6477833867598535,0.5664860052374858,0.8707406437252049,0.5751789100788284,4.306090340293977,B2,0.5751789100788284,3.6327361000003293,2.8580168000189587,127.00216490001185,0.2246784000308253,134.40117309999187,22715,44198,878,918,54,4.2,completed,6,,,2026-08-08T16:16:17.316+02:00,2026-08-08T16:16:17.782+02:00,2026-08-08T16:18:39.063+02:00
3,S000003,band_supplement_300_20260808_001,C000002,candidate,686e02ef78b2c1f4eae01764c7008e0827e339dbb1a347f81042b08cdc78da2f,"[1,1,2,2,2,1,1,1,1,1,1,1,2,0,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,0,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,0,2,2,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[[1,1,2,2,2,1,1,1,1,1],[1,1,2,0,2,2,1,1,1,1],[1,2,2,2,2,1,1,1,1,1],[1,2,2,2,0,1,1,1,1,1],[1,2,2,2,1,1,1,1,1,1],[1,1,2,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,2,2,1,1,1,1,1,1],[1,2,2,2,2,1,1,1,1,1],[2,2,2,2,2,1,1,1,1,1],[2,2,2,2,2,1,1,1,1,1],[2,2,2,2,2,1,1,1,1,1],[2,2,2,2,2,1,1,1,1,1],[0,2,2,0,0,1,1,1,1,1],[0,0,0,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1]]",9e55f418163f4d76d9dc8611be7afe93dc9de55cb939e43b8fe38ac455fc6c3f,15da216552b4cfea918047a7df61cbefcef1478be37754a079fdc1a1303a6d55,merged_copper_v5,"[0.0,3.0,6.0,9.0,12.0,15.0]",classified,6,0.6954173764529076,0.5596503597283486,0.7614082053093479,0.2901248263454371,0.8707406437252049,0.7986504149820906,1.5974076359805933,B4,0.7986504149820906,7.531227400002535,3.6118073999823537,232.38894829998026,0.2362495999550447,244.58114049996948,28444,55652,1112,1158,72,4.2,completed,6,,,2026-08-08T16:16:17.447+02:00,2026-08-08T16:16:17.801+02:00,2026-08-08T16:20:29.989+02:00
4,S000004,band_supplement_300_20260808_001,C000003,candidate,6f8eda3b22723113dd1f1697d1ca5aa14d8fbffcf70be2c2a3898a08886135d5,"[2,2,2,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,2,2,2,2,0,2,2,0,0,0,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0,0,0,2,1,2,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[[2,2,2,0,0,0,0,0,0,0],[2,2,2,2,0,0,0,0,0,0],[2,2,2,2,2,2,0,0,0,0],[2,2,2,2,0,2,2,0,0,0],[2,2,2,2,0,0,0,0,0,0],[2,2,2,2,2,2,2,0,0,0],[2,2,2,2,2,2,2,0,0,0],[2,1,2,0,0,1,1,0,0,0],[1,1,0,0,1,1,1,0,0,0],[1,1,1,1,1,1,1,1,0,0],[1,1,1,1,1,1,1,1,0,0],[1,1,1,1,1,1,1,1,1,1],[1,1,0,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1]]",fcb475fdb7ac01dd4a7a8ed41ca745cb9baf8e688744717895d4ebd1e12b4c8a,15da216552b4cfea918047a7df61cbefcef1478be37754a079fdc1a1303a6d55,merged_copper_v5,"[0.0,3.0,6.0,9.0,12.0,15.0]",classified,6,0.1296295712427121,0.126936711393606,0.1325003402313114,0.042919441793789107,0.8707406437252049,0.14887276960924958,8.422549816556387,B1,0.14887276960924958,6.581091400003061,3.1139187999651767,53.90942789998371,0.22950630000559613,64.55171050006174,23883,46536,956,990,48,4.2,completed,6,,,2026-08-08T16:16:17.595+02:00,2026-08-08T16:16:17.824+02:00,2026-08-08T16:17:30.279+02:00
5,S000005,band_supplement_300_20260808_001,C000004,candidate,8f018c8d010c15bdfbad1c69980fc1e1c35e7e3878e99ffacd1d5d46b8831afd,"[2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,0,0,1,1,1,1,1,2,0,2,2,0,1,1,1,1,1,2,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1]","[[2,1,1,1,1,1,1,1,1,1],[2,1,1,1,1,1,1,1,1,1],[2,2,2,0,0,1,1,1,1,1],[2,0,2,2,0,1,1,1,1,1],[2,0,0,0,0,0,0,0,1,1],[2,2,0,0,0,0,0,0,1,1],[1,1,1,1,0,0,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,0,0,0,0,1,0,1,1],[1,1,1,0,0,0,0,0,1,1],[0,0,0,0,0,0,0,0,0,1],[0,0,0,0,0,0,0,0,0,1],[0,0,0,0,0,0,0,0,1,1],[0,0,0,0,0,0,0,0,1,1]]",d3d2cd58e062afb64f839bc9670f63c303d4294b1dea48c77da668886f234107,15da216552b4cfea918047a7df61cbefcef1478be37754a079fdc1a1303a6d55,merged_copper_v5,"[0.0,3.0,6.0,9.0,12.0,15.0]",classified,6,0.7137790294685488,0.6650907225131814,0.7452608578279563,0.11231786309898509,0.8707406437252049,0.8197378112670353,1.1900800100386264,B5,0.8197378112670353,4.201397500000894,2.7813622999819927,160.90850359998876,0.19417560001602396,168.71813390002353,22326,43420,872,906,42,4.2,completed,6,,,2026-08-08T16:16:17.719+02:00,2026-08-08T16:16:17.847+02:00,2026-08-08T16:19:13.201+02:00
6,S000006,band_supplement_300_20260808_001,C000005,candidate,a29868be40052ae8c0ece82437917c5efcb197b069f4e86577d5eaf4c5f501c9,"[2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,0,0,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,0,1,2,2,2,2,2,2,1,1,0,0,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,0,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1]","[[2,1,1,1,1,1,1,1,1,1],[2,1,1,1,1,1,1,1,1,1],[2,2,2,2,2,1,1,1,0,0],[2,2,2,2,2,1,1,1,1,1],[2,2,2,2,2,1,1,1,1,1],[2,2,2,2,2,2,1,1,1,1],[2,2,2,2,2,2,1,1,0,1],[2,2,2,2,2,2,1,1,0,0],[2,2,2,2,2,2,1,1,1,1],[2,2,2,2,2,2,1,1,1,1],[2,2,2,2,2,2,1,1,1,1],[2,2,2,2,2,2,1,1,1,1],[2,2,2,2,2,2,1,0,1,1],[2,2,2,2,2,2,2,2,1,1],[2,2,2,2,2,2,2,2,2,1],[2,2,2,2,2,2,2,2,2,1],[2,2,2,2,2,2,2,2,1,1],[2,2,2,2,2,2,2,2,1,1]]",def714b1bba1a9ce275b739f362a296b270ba2c1f23e97630120cb655dac847c,15da216552b4cfea918047a7df61cbefcef1478be37754a079fdc1a1303a6d55,merged_copper_v5,"[0.0,3.0,6.0,9.0,12.0,15.0]",classified,6,0.5221666431909604,0.4474597301679357,0.591370061976114,0.2756023075866015,0.8707406437252049,0.599681026668315,3.748519282996097,B2,0.599681026668315,8.798554499982856,3.0372858999762684,177.46076630000607,0.2233898999984376,190.21638269996038,25163,49098,962,1002,48,4.2,completed,6,,,2026-08-08T16:20:30.305+02:00,2026-08-08T16:20:30.569+02:00,2026-08-08T16:23:46.566+02:00
7,S000007,band_supplement_300_20260808_001,C000006,candidate,70f830366fa8f396c52c3319325a28238838985e8c0b534a958ace6aec7abd5d,"[2,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,0,2,2,2,2,2,1,1,1,1,0,0,0,2,2,2,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1]","[[2,1,1,1,1,1,1,1,1,0],[2,1,1,1,1,1,1,1,1,0],[2,2,2,2,2,1,1,1,1,0],[0,0,2,2,2,1,1,1,1,1],[0,0,0,0,2,1,1,1,1,1],[0,0,0,0,2,0,1,1,1,1],[0,0,0,0,0,0,1,1,1,1],[0,0,0,0,0,0,1,1,1,1],[0,0,0,0,0,0,0,0,1,1],[0,0,0,0,0,0,0,0,1,1],[0,0,0,0,0,0,0,0,1,1],[0,0,0,0,0,0,1,1,1,1],[0,0,0,0,0,0,1,0,1,1],[0,0,0,0,0,0,0,0,1,1],[0,0,0,0,0,0,0,0,0,1],[0,0,0,0,0,0,0,0,0,1],[0,0,0,0,0,0,0,0,1,1],[0,0,0,0,0,0,0,0,1,1]]",6c878caef5cf3d69c0f0c3410d4c352e08364f6fe2025961a7588a83da4b8a68,15da216552b4cfea918047a7df61cbefcef1478be37754a079fdc1a1303a6d55,merged_copper_v5,"[0.0,3.0,6.0,9.0,12.0,15.0]",classified,6,0.5620549281982268,0.5066651441649713,0.6018630066159206,0.16937466015309932,0.8707406437252049,0.6454906317381051,3.143688072971766,B3,0.6454906317381051,2.6367282000137493,2.63081620002049,73.7007089999679,0.19524419997469522,79.74711909997859,21002,40766,776,810,42,4.2,completed,6,,,2026-08-08T16:20:30.405+02:00,2026-08-08T16:20:30.590+02:00,2026-08-08T16:21:56.874+02:00
8,S000008,band_supplement_300_20260808_001,C000007,candidate,2672f64e053a6940e18bba411e110fce9deeec5f0e6660026513386cf212fce3,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,1,1,1,0,2,2,2,0,0,0,1,1,1,0,2,2,2,0,0,0,0,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,2,2,2,0,0,0,1,1,1],[0,2,2,2,0,0,0,1,1,1],[0,2,2,2,0,0,0,0,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,0,0,1,1,1,1,1],[0,0,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1]]",c8e7a6e3e39f92849fde0531e52cc773ae8ed4d3edc1d68d677623f5cf637ac6,15da216552b4cfea918047a7df61cbefcef1478be37754a079fdc1a1303a6d55,merged_copper_v5,"[0.0,3.0,6.0,9.0,12.0,15.0]",classified,6,0.23977080748360638,0.2372245827465346,0.240863763578226,0.015177747741205819,0.8707406437252049,0.2753642077138128,7.018042669492626,B1,0.2753642077138128,4.939588800014462,2.7476296999375336,35.00602450000588,0.2008769999956712,43.51029430003837,22023,42806,836,876,48,4.2,completed,6,,,2026-08-08T16:20:30.521+02:00,2026-08-08T16:20:30.647+02:00,2026-08-08T16:21:20.344+02:00
9,S000009,band_supplement_300_20260808_001,C000008,candidate,4a2c00f6056d7c6ccc5cf18fb02847b16b942a6c984366918d6838faf40515f9,"[2,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,1,1,1,1,1,2,0,2,2,0,1,1,1,1,1,2,0,0,0,0,1,1,1,1,1,2,2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1]","[[2,2,2,2,2,2,2,0,2,1],[2,2,2,2,2,2,2,2,2,1],[2,2,2,0,0,1,1,1,1,1],[2,0,2,2,0,1,1,1,1,1],[2,0,0,0,0,1,1,1,1,1],[2,2,0,0,0,0,1,1,1,1],[0,0,0,0,0,1,1,1,1,1],[0,1,0,0,0,0,1,1,1,1],[1,1,1,1,0,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[0,1,1,1,1,1,1,0,1,1],[0,0,1,1,1,1,0,0,1,1],[0,0,1,1,1,1,0,0,0,1],[0,0,1,1,0,0,0,0,0,1],[0,0,0,0,0,0,0,0,1,1],[0,0,0,0,0,0,0,0,1,1]]",18061329d473d05e1cc2975f2ab8718de78bea1d03e8fb5438934192cbea60e9,15da216552b4cfea918047a7df61cbefcef1478be37754a079fdc1a1303a6d55,merged_copper_v5,"[0.0,3.0,6.0,9.0,12.0,15.0]",classified,6,0.445865959891299,0.301546860236911,0.6261749600208584,0.7280845119082221,0.8707406437252049,0.5120536902742866,5.154760028563485,B2,0.5120536902742866,6.487570199999027,3.3389070999983232,114.56229029994574,0.25868689999333583,125.44855220004683,26589,51944,1040,1080,48,4.2,completed,6,,,2026-08-08T16:23:46.904+02:00,2026-08-08T16:23:47.336+02:00,2026-08-08T16:25:59.964+02:00
10,S000010,band_supplement_300_20260808_001,C000009,candidate,145d340794f1c0cbe07e9da9e30302ce332bd9bfd3b413582c154cc2d8bd24db,"[1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,0,2,2,2,1,1,1,1,1,1,0,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1]","[[1,0,0,0,1,1,1,1,1,1],[1,1,1,1,1,0,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,2,2,2,1,1,1,1,1,1],[0,2,2,2,1,1,1,1,1,1],[0,2,2,2,0,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,0,1,1,1,1],[2,2,2,2,2,1,1,1,1,1],[2,2,2,0,0,1,0,1,1,1],[0,0,0,0,0,0,1,1,1,1],[0,0,0,0,0,0,0,1,1,1],[0,0,0,0,0,0,1,1,1,1],[0,0,0,0,1,0,0,1,1,1]]",cfe5c77c15ca9a23a843504fc515b4659da222d68217776e33fd917a5df7358b,15da216552b4cfea918047a7df61cbefcef1478be37754a079fdc1a1303a6d55,merged_copper_v5,"[0.0,3.0,6.0,9.0,12.0,15.0]",classified,6,0.376675313042333,0.283778780612698,0.4956650739517974,0.562517069748307,0.8707406437252049,0.43259185815748724,5.854075672015645,B1,0.43259185815748724,8.394660499994643,3.255390999984229,198.25615649999236,0.22886519998428412,210.86379390003276,25071,48906,896,954,72,4.2,completed,6,,,2026-08-08T16:23:46.988+02:00,2026-08-08T16:23:47.367+02:00,2026-08-08T16:27:26.366+02:00
