candidate_pk,candidate_id,run_id,generation,candidate_order,chromosome_json,chromosome_hash,physical_key_hash,source,parent_candidate_id,parent_rank,clone_index,mutation_operator,mutation_strength,mutation_indices_json,hamming_distance_to_parent,lineage_id,status,validity_status,rejection_reasons_json,duplicate_of_sample_id,torque_ratio,historical_j,fitness_band,created_at,validated_at,completed_at
1,C000001,band_supplement_300_20260808_001,1,1,"[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,0,0,1,1,1,0,1,1,2,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,0,0,0,2,2,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",03e8feb85ae05b45e1531004c2a1b7b412a610906b2d109c6d968950d26c3470,1908b71eb0fe0af518d665e301e830fe36a74c141d67c80c46798211d449cbb9,improved_campaign_offspring,,,1,connected_region_repaint:medium,0.06111111111111111,"[41,42,51,52,53,60,61,62,63,64,70,71,72,73,74]",15,BASE-C000485,completed,valid,[],,0.5751789100788284,4.306090340293977,B2,2026-08-08T16:16:17.308+02:00,2026-08-08T16:16:17.308+02:00,2026-08-08T16:20:30.055+02:00
2,C000002,band_supplement_300_20260808_001,1,2,"[1,1,2,2,2,1,1,1,1,1,1,1,2,0,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,0,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,0,2,2,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",9e55f418163f4d76d9dc8611be7afe93dc9de55cb939e43b8fe38ac455fc6c3f,686e02ef78b2c1f4eae01764c7008e0827e339dbb1a347f81042b08cdc78da2f,improved_campaign_offspring,,,2,boundary_growth:medium,0.05555555555555555,"[2,3,4,12,13,14,15,21,22,23,24]",11,BASE-C000874,completed,valid,[],,0.7986504149820906,1.5974076359805933,B4,2026-08-08T16:16:17.438+02:00,2026-08-08T16:16:17.438+02:00,2026-08-08T16:20:30.055+02:00
3,C000003,band_supplement_300_20260808_001,1,3,"[2,2,2,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,2,2,2,2,0,2,2,0,0,0,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0,0,0,2,1,2,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",fcb475fdb7ac01dd4a7a8ed41ca745cb9baf8e688744717895d4ebd1e12b4c8a,6f8eda3b22723113dd1f1697d1ca5aa14d8fbffcf70be2c2a3898a08886135d5,improved_campaign_offspring,,,3,connected_region_repaint:medium,0.05,"[5,14,15,16,18,26,27,28,29,37,39,45,46,47,48,49,57,58,67,68,77,78,87,88]",24,BASE-C000986,completed,valid,[],,0.14887276960924958,8.422549816556387,B1,2026-08-08T16:16:17.588+02:00,2026-08-08T16:16:17.588+02:00,2026-08-08T16:20:30.055+02:00
4,C000004,band_supplement_300_20260808_001,1,4,"[2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,0,0,1,1,1,1,1,2,0,2,2,0,1,1,1,1,1,2,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1]",d3d2cd58e062afb64f839bc9670f63c303d4294b1dea48c77da668886f234107,8f018c8d010c15bdfbad1c69980fc1e1c35e7e3878e99ffacd1d5d46b8831afd,improved_campaign_offspring,,,4,connected_region_repaint:medium,0.03888888888888889,"[120,121,130,131,132]",5,BASE-C000249,completed,valid,[],,0.8197378112670353,1.1900800100386264,B5,2026-08-08T16:16:17.712+02:00,2026-08-08T16:16:17.712+02:00,2026-08-08T16:20:30.070+02:00
5,C000005,band_supplement_300_20260808_001,1,5,"[2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,0,0,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,0,1,2,2,2,2,2,2,1,1,0,0,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,0,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1]",def714b1bba1a9ce275b739f362a296b270ba2c1f23e97630120cb655dac847c,a29868be40052ae8c0ece82437917c5efcb197b069f4e86577d5eaf4c5f501c9,improved_campaign_offspring,,,1,connected_region_repaint:small,0.016666666666666666,"[68,78,79]",3,BASE-C000174,completed,valid,[],,0.599681026668315,3.748519282996097,B2,2026-08-08T16:20:30.305+02:00,2026-08-08T16:20:30.305+02:00,2026-08-08T16:23:46.628+02:00
6,C000006,band_supplement_300_20260808_001,1,6,"[2,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,0,2,2,2,2,2,1,1,1,1,0,0,0,2,2,2,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1]",6c878caef5cf3d69c0f0c3410d4c352e08364f6fe2025961a7588a83da4b8a68,70f830366fa8f396c52c3319325a28238838985e8c0b534a958ace6aec7abd5d,improved_campaign_offspring,,,2,connected_region_repaint:medium,0.027777777777777776,"[86,87,96,97,106,107]",6,BASE-C000245,completed,valid,[],,0.6454906317381051,3.143688072971766,B3,2026-08-08T16:20:30.405+02:00,2026-08-08T16:20:30.405+02:00,2026-08-08T16:23:46.628+02:00
7,C000007,band_supplement_300_20260808_001,1,7,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,1,1,1,0,2,2,2,0,0,0,1,1,1,0,2,2,2,0,0,0,0,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",c8e7a6e3e39f92849fde0531e52cc773ae8ed4d3edc1d68d677623f5cf637ac6,2672f64e053a6940e18bba411e110fce9deeec5f0e6660026513386cf212fce3,improved_campaign_offspring,,,3,connected_region_repaint:medium,0.03888888888888889,"[6,7,8,9,16,18,19,29]",8,BASE-C000121,completed,valid,[],,0.2753642077138128,7.018042669492626,B1,2026-08-08T16:20:30.506+02:00,2026-08-08T16:20:30.506+02:00,2026-08-08T16:23:46.628+02:00
8,C000008,band_supplement_300_20260808_001,1,8,"[2,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,1,1,1,1,1,2,0,2,2,0,1,1,1,1,1,2,0,0,0,0,1,1,1,1,1,2,2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1]",18061329d473d05e1cc2975f2ab8718de78bea1d03e8fb5438934192cbea60e9,4a2c00f6056d7c6ccc5cf18fb02847b16b942a6c984366918d6838faf40515f9,improved_campaign_offspring,,,1,connected_region_repaint:small,0.011111111111111112,"[7,8,18]",3,BASE-C000699,completed,valid,[],,0.5120536902742866,5.154760028563485,B2,2026-08-08T16:23:46.888+02:00,2026-08-08T16:23:46.888+02:00,2026-08-08T16:28:03.574+02:00
9,C000009,band_supplement_300_20260808_001,1,9,"[1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,0,2,2,2,1,1,1,1,1,1,0,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1]",cfe5c77c15ca9a23a843504fc515b4659da222d68217776e33fd917a5df7358b,145d340794f1c0cbe07e9da9e30302ce332bd9bfd3b413582c154cc2d8bd24db,improved_campaign_offspring,,,2,connected_region_repaint:medium,0.08333333333333333,"[0,4,10,11,12,13,14,20,21,22,23,24,30,34,44]",15,BASE-C000371,completed,valid,[],,0.43259185815748724,5.854075672015645,B1,2026-08-08T16:23:46.988+02:00,2026-08-08T16:23:46.988+02:00,2026-08-08T16:28:03.574+02:00
10,C000010,band_supplement_300_20260808_001,1,10,"[2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,0,0,1,1,1,1,1,2,0,2,2,0,1,1,1,1,1,2,0,0,0,0,1,1,1,1,1,2,2,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,1,0,1,1,2,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1]",654856ba25477f5869bb6100f259565b4151ded6697117761cb10dd919191edb,5c786ecab8ca36ccf59fbe15c8dc1beefd46ce74a2cf6abf13a2140ae7e98e42,improved_campaign_offspring,,,3,boundary_growth:small,0.022222222222222223,[75],1,BASE-C000428,completed,valid,[],,0.7096014098900386,2.4278909948357064,B4,2026-08-08T16:23:47.082+02:00,2026-08-08T16:23:47.082+02:00,2026-08-08T16:28:03.591+02:00
